"author"
"Miguel I. Gomez"
"J.M. Ian Salas"
"Yuxiu Zhang"
"Asuman Ozdaglar"
"Zinovyeva Natalia"
"Hiau Looi Kee"
"Heiwai Tang"
"J. Peter Neary"
"Nicolas Schutz"
"Patten Mahler"
"Rikhil Bhavnani"
"Vijayendra Rao"
"Guilhem Cassan"
"M Dolores Collado"
"Andrés Romeu"
"Veronica Rappoport"
"Veronica Santarosa"
"Markku Kaustia"
"H. Shawn Mobbs"
"E. Han Kim"
"Maxim Mironov"
"Jaehoon Lee"
"Chunhua Lan"
"Paavo Monkkonen"
"Kiplan Womack"
"Tingyu Zhou"
"Gang-Zhi Fan"
"Hartmut Lehmann"
"Anzelika Zaiceva"
"Subhrendu K. Pattanayak"
"Félix Muñoz-García"
"Hanzhe Zhang"
"V. Bhaskar"
"Aloisio Pessoa Araujo"
"Hanwei Huang"
"Yu-Wei Hsieh"
"Zhentao Shi"
"Shuyang Sheng"
"Simon Board"
"Bjorn Imbierowicz"
"Chun-Yu Ho"
"Suhua Tian"
"Márcio Garcia"
"Kyuil Chung"
"Hail Park"
"Edeltraud Hanappi-Egger"
"Sile Padraigin O'Dorchai"
"Danièle Meulders"
"Sanjukta Chaudhuri"
"Platon Tinios"
"J. Adam Cobb"
"Julia Henly"
"Jaeseung Kim"
"Leonard Greenhalgh"
"Jiawen Yang"
"Deepankar Basu"
"Xinshen Diao"
"Nazaire Houssou"
"Kipo Jimah"
"Futoshi Yamauchi"
"Keirjiro Otsuka"
"Binzhen Wu"
"Atheendar S. Venkataramani"
"Nidhiya Menon"
"Monica Deza"
"M. Shahe Emran"
"Yaohui Zhao"
"Jean-Charles Rochet"
"Zhichun Jenny Ying"
"Zhihong Yu"
"Tae-hwan Rhee"
"Tomas Dvorak"
"E. Ray Dorsey"
"Jose Faias"
"Leonard Kostovetsky"
"Tore Leite"
"Avanidhar Subrahmanyam"
"Qianqiu Liu"
"Wenxi Jiang"
"Huijun Wang"
"Lujing Su"
"Patricia Born"
"J. Bradley Karl"
"W. Kip Viscusi"
"J. David Cummins"
"Tzuting Lin"
"Iciar Dominguez Lacasa"
"Jesus Hernandez"
"Erivelthon Santos"
"Qiming Wang"
"Kose John"
"Belton M. Fleisher"
"Tuan-Hwee Sng"
"Yingyao Hu"
"Ji-Liang Shiu"
"Syngjoo Choi"
"Hilde C. Bjornland"
"Sheheryar Banuri"
"Anusua Datta"
"Jose Berrospide"
"Kosali Simon"
"Lorens Helmchen"
"Shin-O Hiraki"
"Norihiko Yamano"
"Hildegunn Kyvik Nordas"
"Hong Ma"
"Kunfu Zhu"
"Jose Cordero"
"Zhongyi Wang"
"Ariun Ishdorj"
"Gayaneh Kyureghian"
"Biplab Ghosh"
"Xiaoxin Zhang"
"Guangzhong Li"
"Yangru Wu"
"Wu-kuang Cun"
"Sucharita Sinha Mukherjee"
"Kaustav Misra"
"Carlena Cochi Ficano"
"Myeong-Su Yun"
"Mywish Maredia"
"Naohisa Hirakata"
"Yuto Iwasaki"
"Adrian Stoian"
"Jee-Yeon K. Lehmann"
"Jan-Emmanuel De Neve"
"Alois Stutzer"
"M.J. Tocci"
"Aniela Pietrasz Pietrasz"
"Orsetta Causa"
"Ludger Woessmann"
"Faustine Perrin"
"Sharun Mukand"
"Kuo-Chiang Wei"
"Ozgur Ince"
"Oguzhan Ozbas"
"Mungo Ivor Wilson"
"Bjorn Eraker"
"Wenyu Wang"
"Hong Liu"
"K.J. Martijn Cremers"
"Vahap Uysal"
"Wenrui Zhang"
"Mufaddal Baxamusa"
"Jarl Kallberg"
"Kiat Ying Seah"
"Jose N. Martinez"
"Neeltje van Horen"
"Luis Locay"
"Wenyi Shen"
"Shu-Chun Susan Yang"
"Simon Wren-Lewis"
"Thien Tung Nguyen"
"Yu-Ning Hwang"
"Ainhoa Aparicio Fenoll"
"Jesus Gonzalo"
"Aureo de Paula"
"zhengtong Lu"
"Xiaoxia Shi"
"Victor Aguirregabiria"
"Leeat Yariv"
"E. Roy Weintraub"
"Bernardino Adao"
"Borghan Najarabad"
"Luis Castro"
"Semoon Chang"
"Lígia Pinto"
"Mechthild Schrooten"
"Liangshu Qi"
"Xiao-Yuan Dong"
"J.Edward Taylor"
"Matteusz Filipski"
"Patricia Toledo"
"Guiying (Laura) Wu"
"Qingyuan Du"
"Peichu Xie"
"Liugang Sheng"
"Deyuan Li"
"Hongyi Li"
"Chicheng Ma"
"Ariell Reshef"
"Yongmin Chen"
"Thesia I. Garner"
"Patricia Ruggles"
"Jorg L. Spenkuch"
"Ingvild Almas"
"Shahe Emran"
"Mirabel Muuls"
"Ozkan Eren"
"University of Michigan"
"Xiaoxia Lou"
"Sjoerd van Bekkum"
"Ningzhong Li"
"Ayse Tuna"
"Madhuparna Kolay"
"Leonce Bargeron"
"Pengcheng Wan"
"Jesus Saurina Salas"
"Malherbe Frederic"
"Radomir Todorov"
"Fangming Xu"
"Huainan Zhao"
"Zackary Hawley"
"Sébastien Houde"
"Lemma W. Senbet"
"Yin-Chi Wang"
"Wehn-Jyuan Tsai"
"Jin-Tan Liu"
"Shin-Yi Chou"
"Chor-yiu Sin"
"Xiaohu Wang"
"Yuet-Yee Linda Wong"
"Pai XU"
"Juanjuan Zhang"
"Tanjim Hossain"
"Fuhai Hong"
"Migiwa Tanaka"
"Jorg Rocholl"
"Aysit Tansel"
"Nezahat Kucuk"
"Kalena Cortes"
"Monica Garcia-Pere"
"Özgür Orhangazi"
"Rulof Burger"
"African Center for Economic Transformation"
"Nicolás M. Depetris Chauvin"
"Xiaoguang Chen"
"Luis Rubalcava"
"Gharad Bryan"
"Mevlude Akbulut-Yuksel"
"Emeric Henry"
"Ivan P. Png"
"Luis Araujo"
"Xingliang Ma"
"Guanming Shi"
"J. Mark Ramseyer"
"Fangwen Lu"
"Junwook Chi"
"Quoc Nguyen"
"Ranadeb Chaudhuri"
"Sugata Ray"
"Jing-Zhi Jay Huang"
"Yuchiro Kawaguchi"
"Xudong An"
"Yongheng Deng"
"A. Jesus Sanchez-Fuentes"
"Ludger Schuknecht"
"Ansgar Belke"
"Iftekhar Hasan"
"Xiumin Martin"
"Western Michigan University"
"Simon Burke"
"Simon Peter Anderson"
"Nisvan Erkal"
"Jidong Zhou"
"Loriano Mancini"
"Eiichiro Kazumori"
"Jihong Lee"
"Luis Von Ahn"
"Yixiao Sun"
"Matias Laryczower"
"Hyungsik Roger Moon"
"Ayşegűl Şahіn"
"Rolland Zullo"
"Monica Garcia Perez"
"J. David Brown"
"Zhun Zhao"
"Simon Mohun"
"Amitrajeet Batabyal"
"Rukmani Gounder"
"Sushanta Mallick"
"Misuru Igami"
"Wooyoung Lim"
"Suehyun Kwon"
"University of Ottawa"
"Marinella Leone"
"Malokele Nanivazo"
"Mwanza Nkusu"
"Leonce Ndikumana"
"Dieynaba Tandian"
"A. G. Malliaris"
"Lucjan Orlowski"
"Cuneyd Kaya"
"Yu-Chieh Hsu"
"Nicolas-Guillaume Martineau"
"Aparajita Dasgupta"
"Athiphat Muthitacharoen"
"Banque de France"
"Shihe Fu"
"M. Kate Bundorf"
"Patricia Yanez-Pagans"
"Parashar Kulkarni"
"Birte Snilstveit"
"Shailender Swaminathan"
"Mengying Wang"
"Zengyuan Sun"
"Ruben Hernandez-Murillo"
"Yildiray Yildirim"
"Pingkang Yu"
"Mingming Zhou"
"Risto Herrala"
"Jooyeoun Suh"
"Ruiqing Miao"
"Kailing Shen"
"Qiuqiong Huang"
"Alpaslan Akay"
"Aubhik Khan"
"Julia K. Thomas"
"TengTeng Xu"
"Ayse Imrohoroglu"
"Minchung Hsu"
"Junsang Lee"
"Andres Aradillas-Lopez"
"Fabian Dunker"
"Bilgehan Karabay"
"Takatoshi Tabuchi"
"Bishnupriya Gupta"
"Sai-Ming Li"
"Fadhel Kaboub"
"Marick Masters"
"J. Ryan Lamare"
"University of Dubai"
"Shawkat Hammoudeh"
"Mwangi wa Githinji"
"Patricia Justino"
"Ainhoa Vega-Bayo"
"Raul Caruso"
"Charalampos Makatsoris"
"Wen-Tai Hsu"
"Apanard Prabha"
"Ramaa Vasudevan"
"Erdogan Bakir"
"J. Paul Dunne"
"Sung-Jin Cho"
"Soohyung Lee"
"Daiji Kawaguchi"
"Mathijs van der Loos"
"Luis Brandao Marques"
"Selver Derya Uysal"
"Gurnain Kaur Pasricha"
"Maik Schmeling"
"Ines Drumond"
"Brigham Russell Frandsen"
"Renos Vakis"
"Pushkar Maitra"
"Subha Mani"
"Ngo Van Long"
"Donghoon Lee"
"Andres Almazan"
"Zhaohui Chen"
"Seppo Ikaheimo"
"Jinqiang Yang"
"Yingcong Lan"
"Vikramaditya Khanna"
"E. Kim"
"Soenke Sievers"
"Merih Sevilir"
"Wen-Chi Liao"
"Frantisek Ricka"
"Jianjun Li"
"Hatthachan Phimphanthavong"
"Olympio Barbanti, Jr"
"Huw Pill"
"Linke Zhu"
"Cesar Martinelli"
"African Capacity Building Foundation"
"Akpan Ekpo"
"Thouraya Triki"
"Deokwoo Nam"
"Jingnan (Cecilia) Chen"
"Kosali I. Simon"
"Rodgrio Pinto"
"Taeree Wang"
"Jose-Maria Fernandez"
"V. Joseph Hotz"
"Rémi Jedwab"
"Pengjie Gao"
"Hayong Yun"
"Swasti Gupta-Mukherjee"
"Haitao Li"
"Zhiliang Li"
"Espen Moen"
"Balázs Égert"
"Jesus Ferreiro"
"H Allen Klaiber"
"Beia Spiller"
"Lucija Muehlenbachs"
"Joep Konings"
"Shutao Cao"
"Damba Lkhagvasuren"
"Bertille Antoine"
"Suchirtra J. Yegnanarayan"
"Taekyoon Lim"
"Mingwei Liu"
"Shisong Qing"
"Tilman Bruck"
"Haiqiang Chen"
"Yongmiao Hong"
"Bhaskaran Swaminathan"
"Yeon-Koo Che"
"Weining Wang"
"Ostap Okhrin"
"Rajashri Chakrabarti"
"Niven Winchester"
"Pabla Guerron"
"Sanjai Bhagat"
"R. Glenn Hubbard"
"Buvaneshwaran Venugopal"
"Julia I. Lane"
"Baixiao Liu"
"Huijing Fu"
"Shage Zhang"
"Zhichuan Li"
"Ekkehart Boehmer"
"Victor Martinez"
"Ioanid Rosu"
"Jongha Lim"
"Stephan Dieckmann"
"Yanchun Zhang"
"Viridiana Garcia"
"Degol Hailu"
"F. Gregory Hayden"
"Botond Koszegi"
"Jose Scheinkman"
"Matias Damian Cattaneo"
"Kyoto Yamazaki"
"Nurhaizal Azam bin Arif"
"Masaharu Kuhara"
"Phanindra V. Wunnava"
"Xiaoyu Huang"
