firstname,total_male,total_female,prob_male,prob_female,total_names,male_75,female_75,male_95,female_95
"MICHAEL",8564,10,.9988337,.0011663,8574,1,0,1,0
"DAVID",6164,8,.9987038,.0012962,6172,1,0,1,0
"JOHN",6478,13,.9979972,.0020028,6491,1,0,1,0
"JENNIFER",3,3933,.0007622,.9992378,3936,0,1,0,1
"CHRIS",3688,122,.967979,.032021,3810,1,0,1,0
"JESSICA",1,2965,.0003372,.9996628,2966,0,1,0,1
"LISA",2,3159,.0006327,.9993673,3161,0,1,0,1
"MIKE",3226,5,.9984525,.0015475,3231,1,0,1,0
"ANTHONY",3576,4,.9988827,.0011173,3580,1,0,1,0
"JAMES",3510,13,.9963099,.00369,3523,1,0,1,0
"ROBERT",3687,3,.999187,.000813,3690,1,0,1,0
"JASON",3064,2,.9993477,.0006523,3066,1,0,1,0
"BRIAN",2910,1,.9996565,.0003435,2911,1,0,1,0
"KEVIN",3022,5,.9983482,.0016518,3027,1,0,1,0
"ANDREW",2778,5,.9982034,.0017966,2783,1,0,1,0
"MICHELLE",2,2503,.0007984,.9992016,2505,0,1,0,1
"DANIEL",2802,6,.9978632,.0021368,2808,1,0,1,0
"MARIA",3,2725,.0010997,.9989003,2728,0,1,0,1
"NICOLE",2,2213,.0009029,.999097,2215,0,1,0,1
"ALEX",2203,205,.9148671,.0851329,2408,1,0,0,0
"MELISSA",2,2107,.0009483,.9990517,2109,0,1,0,1
"ERIC",2417,1,.9995865,.0004136,2418,1,0,1,0
"SARAH",3,1837,.0016304,.9983696,1840,0,1,0,1
"MARK",2561,5,.9980515,.0019486,2566,1,0,1,0
"JOE",2578,4,.9984508,.0015492,2582,1,0,1,0
"JOSEPH",2870,4,.9986082,.0013918,2874,1,0,1,0
"STEPHANIE",1,2043,.0004892,.9995108,2044,0,1,0,1
"PAUL",2526,0,1,0,2526,1,0,1,0
"PETER",2514,4,.9984114,.0015886,2518,1,0,1,0
"JONATHAN",2402,2,.999168,.0008319,2404,1,0,1,0
"CHRISTOPHER",2423,3,.9987634,.0012366,2426,1,0,1,0
"LAUREN",4,1554,.0025674,.9974326,1558,0,1,0,1
"LAURA",0,1822,0,1,1822,0,1,0,1
"ELIZABETH",0,2022,0,1,2022,0,1,0,1
"MATTHEW",2048,3,.9985373,.0014627,2051,1,0,1,0
"RICHARD",2395,0,1,0,2395,1,0,1,0
"MATT",1845,3,.9983766,.0016234,1848,1,0,1,0
"STEVEN",2202,2,.9990926,.0009074,2204,1,0,1,0
"MARY",2,2036,.0009814,.9990187,2038,0,1,0,1
"ADAM",1802,4,.9977852,.0022148,1806,1,0,1,0
"KAREN",5,1875,.0026596,.9973404,1880,0,1,0,1
"AMY",2,1429,.0013976,.9986024,1431,0,1,0,1
"CHRISTINE",1,1669,.0005988,.9994012,1670,0,1,0,1
"AMANDA",4,1461,.0027304,.9972696,1465,0,1,0,1
"RACHEL",2,1377,.0014503,.9985497,1379,0,1,0,1
"SUSAN",0,1877,0,1,1877,0,1,0,1
"RYAN",1653,34,.9798459,.0201541,1687,1,0,1,0
"CHRISTINA",3,1447,.002069,.9979311,1450,0,1,0,1
"DANIELLE",0,1350,0,1,1350,0,1,0,1
"STEVE",1762,1,.9994328,.0005672,1763,1,0,1,0
"EMILY",0,1222,0,1,1222,0,1,0,1
"WILLIAM",1874,2,.9989339,.0010661,1876,1,0,1,0
"JOSÃ‰",2012,5,.997521,.0024789,2017,1,0,1,0
"SEAN",1611,9,.9944444,.0055556,1620,1,0,1,0
"SCOTT",1526,2,.9986911,.0013089,1528,1,0,1,0
"ANNA",1,1360,.0007348,.9992653,1361,0,1,0,1
"FRANK",1806,3,.9983416,.0016584,1809,1,0,1,0
"THOMAS",1728,8,.9953917,.0046083,1736,1,0,1,0
"NICK",1499,5,.9966756,.0033245,1504,1,0,1,0
"JUSTIN",1480,4,.9973046,.0026954,1484,1,0,1,0
"ASHLEY",42,1260,.0322581,.9677419,1302,0,1,0,1
"DAN",1352,12,.9912024,.0087977,1364,1,0,1,0
"LINDA",1,1593,.0006274,.9993727,1594,0,1,0,1
"ANDREA",95,1197,.0735294,.9264706,1292,0,1,0,0
"JEFF",1374,0,1,0,1374,1,0,1,0
"GEORGE",1523,8,.9947746,.0052253,1531,1,0,1,0
"PATRICK",1392,3,.9978495,.0021505,1395,1,0,1,0
"ANGELA",4,1294,.0030817,.9969183,1298,0,1,0,1
"TOM",1371,3,.9978166,.0021834,1374,1,0,1,0
"KELLY",71,1067,.0623902,.9376099,1138,0,1,0,0
"KATIE",0,928,0,1,928,0,1,0,1
"STEPHEN",1409,0,1,0,1409,1,0,1,0
"Ä_Ä¨Ã„ÅƒÃ…",1,1247,.0008013,.9991987,1248,0,1,0,1
"BARBARA",0,1577,0,1,1577,0,1,0,1
"SAMANTHA",3,1055,.0028355,.9971645,1058,0,1,0,1
"NANCY",1,1364,.0007326,.9992674,1365,0,1,0,1
"PATRÃçCIA",1,1457,.0006859,.9993141,1458,0,1,0,1
"JULIE",1,971,.0010288,.9989712,972,0,1,0,1
"CARLOS",1450,6,.9958791,.0041209,1456,1,0,1,0
"REBECCA",1,949,.0010526,.9989474,950,0,1,0,1
"SARA",2,937,.0021299,.9978701,939,0,1,0,1
"LUÃçS",1444,3,.9979268,.0020733,1447,1,0,1,0
"JAY",1202,50,.9600639,.0399361,1252,1,0,1,0
"DENISE",2,1238,.0016129,.9983871,1240,0,1,0,1
"KIM",65,1023,.0597426,.9402574,1088,0,1,0,0
"ROB",1060,0,1,0,1060,1,0,1,0
"DANNY",1139,10,.9912968,.0087032,1149,1,0,1,0
"ERIN",17,817,.0203837,.9796163,834,0,1,0,1
"BEN",979,2,.9979613,.0020387,981,1,0,1,0
"HEATHER",1,871,.0011468,.9988532,872,0,1,0,1
"VANESSA",1,997,.001002,.998998,998,0,1,0,1
"CHARLES",1190,1,.9991603,.0008396,1191,1,0,1,0
"KATE",1,743,.0013441,.9986559,744,0,1,0,1
"KIMBERLY",1,941,.0010616,.9989384,942,0,1,0,1
"TONY",1198,3,.9975021,.0024979,1201,1,0,1,0
"TIFFANY",0,949,0,1,949,0,1,0,1
"JUAN",1205,8,.9934048,.0065952,1213,1,0,1,0
"SAM",849,115,.8807054,.1192946,964,1,0,0,0
"DONNA",1,1242,.0008045,.9991955,1243,0,1,0,1
"ERICA",1,838,.0011919,.9988081,839,0,1,0,1
"JEFFREY",1106,0,1,0,1106,1,0,1,0
"GREG",954,0,1,0,954,1,0,1,0
"JOSHUA",1013,3,.9970472,.0029528,1016,1,0,1,0
"JOSH",910,0,1,0,910,1,0,1,0
"SANDRA",0,1076,0,1,1076,0,1,0,1
"SHARON",11,1014,.0107317,.9892683,1025,0,1,0,1
"JENNY",2,799,.0024969,.9975031,801,0,1,0,1
"LIZ",1,791,.0012626,.9987374,792,0,1,0,1
"JÃ_LIA",1,761,.0013123,.9986877,762,0,1,0,1
"JAMIE",242,556,.3032582,.6967419,798,0,0,0,0
"TIM",893,1,.9988815,.0011186,894,1,0,1,0
"MICHELE",29,856,.0327684,.9672316,885,0,1,0,1
"MARC",914,1,.9989071,.0010929,915,1,0,1,0
"AARON",880,1,.9988649,.0011351,881,1,0,1,0
"JIM",993,2,.99799,.00201,995,1,0,1,0
"DAVE",882,0,1,0,882,1,0,1,0
"VICTORIA",4,775,.0051348,.9948652,779,0,1,0,1
"CHRISTIAN",905,12,.9869139,.0130862,917,1,0,1,0
"MEGAN",4,648,.006135,.993865,652,0,1,0,1
"JON",849,2,.9976498,.0023502,851,1,0,1,0
"BILL",958,1,.9989573,.0010428,959,1,0,1,0
"ALLISON",1,622,.0016051,.9983948,623,0,1,0,1
"ANDY",828,27,.968421,.0315789,855,1,0,1,0
"CAROL",1,1019,.0009804,.9990196,1020,0,1,0,1
"GARY",971,2,.9979445,.0020555,973,1,0,1,0
"DIANE",1,955,.001046,.998954,956,0,1,0,1
"JACKIE",31,712,.0417227,.9582772,743,0,1,0,1
"CATHERINE",0,784,0,1,784,0,1,0,1
"TARA",0,698,0,1,698,0,1,0,1
"NATALIE",0,685,0,1,685,0,1,0,1
"VÃçCTOR",974,1,.9989744,.0010256,975,1,0,1,0
"KEITH",869,3,.9965596,.0034404,872,1,0,1,0
"EDWARD",956,0,1,0,956,1,0,1,0
"JACK",868,7,.992,.008,875,1,0,1,0
"GINA",1,711,.0014045,.9985955,712,0,1,0,1
"DANA",57,551,.09375,.90625,608,0,1,0,0
"JEREMY",740,5,.9932886,.0067114,745,1,0,1,0
"NICHOLAS",837,0,1,0,837,1,0,1,0
"KRISTEN",5,580,.008547,.991453,585,0,1,0,1
"ANA",2,788,.0025316,.9974684,790,0,1,0,1
"KATHY",2,838,.002381,.997619,840,0,1,0,1
"BRANDON",741,5,.9932976,.0067024,746,1,0,1,0
"ALEXANDRA",1,606,.0016474,.9983525,607,0,1,0,1
"ANNE",3,733,.0040761,.9959239,736,0,1,0,1
"CYNTHIA",0,761,0,1,761,0,1,0,1
"MÃ“NICA",0,676,0,1,676,0,1,0,1
"VINCENT",868,0,1,0,868,1,0,1,0
"JACQUELINE",2,720,.0027701,.9972299,722,0,1,0,1
"MARIE",1,793,.0012594,.9987406,794,0,1,0,1
"DEBORAH",0,806,0,1,806,0,1,0,1
"KATHERINE",0,624,0,1,624,0,1,0,1
"WENDY",3,685,.0043605,.9956396,688,0,1,0,1
"EDDIE",778,2,.9974359,.0025641,780,1,0,1,0
"CINDY",3,660,.0045249,.9954751,663,0,1,0,1
"ALAN",759,0,1,0,759,1,0,1,0
"DEBBIE",0,732,0,1,732,0,1,0,1
"TINA",1,646,.0015456,.9984544,647,0,1,0,1
"JIMMY",695,3,.995702,.004298,698,1,0,1,0
"DAWN",2,708,.0028169,.9971831,710,0,1,0,1
"KATHLEEN",0,708,0,1,708,0,1,0,1
"DENNIS",801,3,.9962686,.0037313,804,1,0,1,0
"CRYSTAL",2,676,.0029499,.9970502,678,0,1,0,1
"LESLIE",69,564,.1090047,.8909953,633,0,1,0,0
"JILL",2,560,.0035587,.9964413,562,0,1,0,1
"ROBIN",103,580,.1508053,.8491947,683,0,1,0,0
"BRYAN",643,2,.9968992,.0031008,645,1,0,1,0
"IAN",621,1,.9983923,.0016077,622,1,0,1,0
"JESSE",621,49,.9268657,.0731343,670,1,0,0,0
"ALEXANDER",702,2,.9971591,.0028409,704,1,0,1,0
"HENRY",718,2,.9972222,.0027778,720,1,0,1,0
"KRISTIN",1,477,.002092,.9979079,478,0,1,0,1
"PAMELA",0,669,0,1,669,0,1,0,1
"BETH",0,533,0,1,533,0,1,0,1
"CRAIG",669,1,.9985074,.0014925,670,1,0,1,0
"JANET",0,716,0,1,716,0,1,0,1
"LORI",3,599,.0049834,.9950166,602,0,1,0,1
"JANE",1,594,.0016807,.9983193,595,0,1,0,1
"GREGORY",718,1,.9986092,.0013908,719,1,0,1,0
"NATASHA",1,603,.0016556,.9983444,604,0,1,0,1
"JEN",3,449,.0066372,.9933628,452,0,1,0,1
"JORDAN",511,91,.8488372,.1511628,602,1,0,0,0
"SHAWN",656,55,.9226441,.0773558,711,1,0,0,0
"KYLE",650,21,.9687034,.0312966,671,1,0,1,0
"THERESA",0,661,0,1,661,0,1,0,1
"CAROLINE",0,505,0,1,505,0,1,0,1
"JOANNE",0,671,0,1,671,0,1,0,1
"JOEL",693,5,.9928367,.0071633,698,1,0,1,0
"ANGEL",631,150,.8079385,.1920615,781,1,0,0,0
"ALICIA",0,594,0,1,594,0,1,0,1
"JOEY",617,34,.9477727,.0522273,651,1,0,0,0
"CARMEN",12,710,.0166205,.9833795,722,0,1,0,1
"KEN",656,2,.9969605,.0030395,658,1,0,1,0
"ELLEN",0,624,0,1,624,0,1,0,1
"LINDSAY",8,415,.0189125,.9810874,423,0,1,0,1
"ANN",1,661,.0015106,.9984894,662,0,1,0,1
"VALERIE",0,618,0,1,618,0,1,0,1
"TRACY",24,555,.0414508,.9585492,579,0,1,0,1
"COURTNEY",87,387,.1835443,.8164557,474,0,1,0,0
"MELANIE",1,524,.0019048,.9980952,525,0,1,0,1
"BENJAMIN",587,1,.9982993,.0017007,588,1,0,1,0
"PHILIP",642,1,.9984448,.0015552,643,1,0,1,0
"JEAN",327,376,.4651494,.5348507,703,0,0,0,0
"KENNETH",704,0,1,0,704,1,0,1,0
"SHANNON",48,424,.1016949,.8983051,472,0,1,0,0
"LARRY",685,2,.9970888,.0029112,687,1,0,1,0
"STACEY",11,517,.0208333,.9791667,528,0,1,0,1
"WILL",552,0,1,0,552,1,0,1,0
"ALISON",2,430,.0046296,.9953704,432,0,1,0,1
"ALEXIS",120,377,.2414487,.7585513,497,0,1,0,0
"BOB",688,4,.9942197,.0057803,692,1,0,1,0
"RAYMOND",618,3,.9951691,.0048309,621,1,0,1,0
"GRACE",1,513,.0019455,.9980545,514,0,1,0,1
"JUDY",0,583,0,1,583,0,1,0,1
"MARGARET",0,605,0,1,605,0,1,0,1
"VERÃ“NICA",1,560,.0017825,.9982175,561,0,1,0,1
"ALI",308,151,.671024,.328976,459,0,0,0,0
"ANNIE",0,462,0,1,462,0,1,0,1
"HELEN",0,564,0,1,564,0,1,0,1
"JORGE",661,1,.9984894,.0015106,662,1,0,1,0
"MAX",513,9,.9827586,.0172414,522,1,0,1,0
"EVAN",516,4,.9923077,.0076923,520,1,0,1,0
"JOHNNY",623,3,.9952077,.0047923,626,1,0,1,0
"CLAUDIA",0,512,0,1,512,0,1,0,1
"JOANNA",0,430,0,1,430,0,1,0,1
"CAROLYN",0,522,0,1,522,0,1,0,1
"ERIKA",1,457,.0021834,.9978166,458,0,1,0,1
"RON",569,1,.9982456,.0017544,570,1,0,1,0
"TIMOTHY",600,1,.9983361,.0016639,601,1,0,1,0
"JÃ‰RRY",631,3,.9952682,.0047319,634,1,0,1,0
"RAY",590,11,.9816971,.0183028,601,1,0,1,0
"ANDRE",598,5,.9917081,.0082919,603,1,0,1,0
"LOUIS",594,1,.9983193,.0016807,595,1,0,1,0
"RICH",539,1,.9981481,.0018519,540,1,0,1,0
"MARTIN",534,6,.9888889,.0111111,540,1,0,1,0
"TOMMY",520,4,.9923664,.0076336,524,1,0,1,0
"MAUREEN",0,543,0,1,543,0,1,0,1
"MÃèGÃ›Ã‰L",612,2,.9967427,.0032573,614,1,0,1,0
"CHERYL",1,552,.0018083,.9981917,553,0,1,0,1
"CATHY",0,562,0,1,562,0,1,0,1
"EILEEN",0,538,0,1,538,0,1,0,1
"TODD",481,0,1,0,481,1,0,1,0
"BÃèLLY",517,5,.9904215,.0095785,522,1,0,1,0
"TANYA",4,484,.0081967,.9918033,488,0,1,0,1
"PAULA",0,507,0,1,507,0,1,0,1
"SANDY",66,430,.1330645,.8669355,496,0,1,0,0
"SUZANNE",0,448,0,1,448,0,1,0,1
"CHARLIE",494,21,.9592233,.0407767,515,1,0,1,0
"JASMINE",0,469,0,1,469,0,1,0,1
"EVELYN",2,556,.0035842,.9964158,558,0,1,0,1
"SABRINA",1,458,.0021786,.9978213,459,0,1,0,1
"NINA",0,425,0,1,425,0,1,0,1
"RENEE",1,485,.0020576,.9979424,486,0,1,0,1
"RICK",535,2,.9962756,.0037244,537,1,0,1,0
"MONIQUE",0,456,0,1,456,0,1,0,1
"LEE",324,130,.7136564,.2863436,454,0,0,0,0
"BOBBY",517,6,.9885277,.0114723,523,1,0,1,0
"BRITTANY",0,389,0,1,389,0,1,0,1
"ED",491,1,.9979675,.0020325,492,1,0,1,0
"MARIO",548,0,1,0,548,1,0,1,0
"EDWIN",558,2,.9964285,.0035714,560,1,0,1,0
"DEBRA",0,528,0,1,528,0,1,0,1
"DEREK",471,0,1,0,471,1,0,1,0
"STACY",10,397,.02457,.97543,407,0,1,0,1
"JOAN",23,542,.040708,.9592921,565,0,1,0,1
"PAT",241,285,.4581749,.5418251,526,0,0,0,0
"GABRIEL",462,6,.9871795,.0128205,468,1,0,1,0
"KENNY",463,4,.9914347,.0085653,467,1,0,1,0
"OMAR",495,2,.9959759,.0040241,497,1,0,1,0
"JAKE",432,4,.9908257,.0091743,436,1,0,1,0
"JAIME",211,193,.5222772,.4777228,404,0,0,0,0
"LEAH",3,348,.008547,.991453,351,0,1,0,1
"ALICE",0,405,0,1,405,0,1,0,1
"IRENE",1,431,.0023148,.9976852,432,0,1,0,1
"ANTONIO",516,1,.9980658,.0019342,517,1,0,1,0
"MAGGIE",0,360,0,1,360,0,1,0,1
"PHIL",410,2,.9951456,.0048544,412,1,0,1,0
"ERIK",440,0,1,0,440,1,0,1,0
"COLLEEN",0,343,0,1,343,0,1,0,1
"ALYSSA",0,311,0,1,311,0,1,0,1
"RAFAEL",513,1,.9980545,.0019455,514,1,0,1,0
"ROSE",1,492,.0020284,.9979716,493,0,1,0,1
"KRISTINA",0,327,0,1,327,0,1,0,1
"BRUCE",495,0,1,0,495,1,0,1,0
"SAMUEL",461,0,1,0,461,1,0,1,0
"ADRIÃÅN",416,34,.9244444,.0755556,450,1,0,0,0
"SONIA",1,434,.0022989,.9977012,435,0,1,0,1
"NIKKI",5,391,.0126263,.9873737,396,0,1,0,1
"ELAINE",0,469,0,1,469,0,1,0,1
"GLORIA",0,457,0,1,457,0,1,0,1
"BRENDA",0,474,0,1,474,0,1,0,1
"JENNA",0,300,0,1,300,0,1,0,1
"JOYCE",0,461,0,1,461,0,1,0,1
"TERESA",2,402,.0049505,.9950495,404,0,1,0,1
"NEIL",406,0,1,0,406,1,0,1,0
"ELENA",1,387,.0025773,.9974227,388,0,1,0,1
"RONALD",516,0,1,0,516,1,0,1,0
"ALBERT",429,2,.9953596,.0046404,431,1,0,1,0
"MARINA",0,342,0,1,342,0,1,0,1
"CARL",426,1,.9976581,.0023419,427,1,0,1,0
"CLAIRE",1,314,.0031746,.9968254,315,0,1,0,1
"MEREDITH",0,249,0,1,249,0,1,0,1
"RUTH",0,412,0,1,412,0,1,0,1
"RANDY",404,26,.9395349,.0604651,430,1,0,0,0
"IVÃÅN",430,2,.9953704,.0046296,432,1,0,1,0
"JACOB",378,1,.9973615,.0026385,379,1,0,1,0
"JARED",352,1,.9971671,.0028329,353,1,0,1,0
"LAURIE",2,382,.0052083,.9947917,384,0,1,0,1
"HÃ‰CTOR",473,1,.9978903,.0021097,474,1,0,1,0
"MEGHAN",0,256,0,1,256,0,1,0,1
"LYNN",13,360,.0348525,.9651474,373,0,1,0,1
"MIRIAM",1,366,.0027248,.9972752,367,0,1,0,1
"BRAD",359,1,.9972222,.0027778,360,1,0,1,0
"LUCY",0,396,0,1,396,0,1,0,1
"EMMA",1,321,.0031056,.9968944,322,0,1,0,1
"RICARDO",443,1,.9977477,.0022523,444,1,0,1,0
"CARRIE",0,301,0,1,301,0,1,0,1
"BRÃ‹NDAN",346,0,1,0,346,1,0,1,0
"REGINA",1,406,.002457,.997543,407,0,1,0,1
"CRISTINA",1,280,.0035587,.9964413,281,0,1,0,1
"HANNAH",1,286,.0034843,.9965157,287,0,1,0,1
"ARIEL",229,105,.6856288,.3143713,334,0,0,0,0
"ESTHER",0,334,0,1,334,0,1,0,1
"CAITLIN",1,224,.0044444,.9955556,225,0,1,0,1
"COREY",343,34,.9098143,.0901857,377,1,0,0,0
"EVA",0,356,0,1,356,0,1,0,1
"BRETT",296,22,.9308176,.0691824,318,1,0,0,0
"DOUG",357,0,1,0,357,1,0,1,0
"DOUGLAS",391,0,1,0,391,1,0,1,0
"EUGENE",358,7,.9808219,.0191781,365,1,0,1,0
"FRED",429,3,.9930556,.0069444,432,1,0,1,0
"TERRY",236,183,.5632458,.4367542,419,0,0,0,0
"DON",401,5,.9876847,.0123153,406,1,0,1,0
"SIMÃ“N",355,2,.9943978,.0056022,357,1,0,1,0
"RALPH",426,0,1,0,426,1,0,1,0
"SETH",347,2,.9942693,.0057307,349,1,0,1,0
"JANICE",0,397,0,1,397,0,1,0,1
"NATHAN",330,1,.9969789,.0030211,331,1,0,1,0
"MARTHA",1,406,.002457,.997543,407,0,1,0,1
"LORRAINE",1,434,.0022989,.9977012,435,0,1,0,1
"MARISSA",1,249,.004,.996,250,0,1,0,1
"MOLLY",0,230,0,1,230,0,1,0,1
"VIVIAN",2,336,.0059172,.9940829,338,0,1,0,1
"TAMARA",1,313,.0031847,.9968153,314,0,1,0,1
"BARRY",391,4,.9898734,.0101266,395,1,0,1,0
"PETE",361,0,1,0,361,1,0,1,0
"SHEILA",1,397,.0025126,.9974874,398,0,1,0,1
"SOPHIA",1,286,.0034843,.9965157,287,0,1,0,1
"MARILYN",1,424,.0023529,.997647,425,0,1,0,1
"ARTHUR",389,1,.9974359,.0025641,390,1,0,1,0
"LAWRENCE",396,1,.9974811,.0025189,397,1,0,1,0
"OLGA",0,319,0,1,319,0,1,0,1
"TYLER",309,17,.9478528,.0521472,326,1,0,0,0
"Ã“SCAR",388,5,.9872773,.0127226,393,1,0,1,0
"KERRY",71,237,.2305195,.7694805,308,0,1,0,0
"JULIO",423,2,.9952941,.0047059,425,1,0,1,0
"CARLA",0,322,0,1,322,0,1,0,1
"YVONNE",2,389,.0051151,.9948849,391,0,1,0,1
"SASHA",68,230,.2281879,.7718121,298,0,1,0,0
"HARRY",361,3,.9917582,.0082418,364,1,0,1,0
"JULIAN",314,6,.98125,.01875,320,1,0,1,0
"TRAVIS",386,1,.997416,.002584,387,1,0,1,0
"DINA",1,276,.0036101,.9963899,277,0,1,0,1
"RITA",0,370,0,1,370,0,1,0,1
"ROGER",378,1,.9973615,.0026385,379,1,0,1,0
"ANGIE",1,301,.0033113,.9966887,302,0,1,0,1
"JOY",10,314,.0308642,.9691358,324,0,1,0,1
"JUDITH",0,376,0,1,376,0,1,0,1
"NELSON",374,1,.9973333,.0026667,375,1,0,1,0
"APRIL",0,326,0,1,326,0,1,0,1
"ROSA",0,373,0,1,373,0,1,0,1
"ANNETTE",0,372,0,1,372,0,1,0,1
"HOWARD",367,0,1,0,367,1,0,1,0
"SHIRLEY",2,313,.0063492,.9936508,315,0,1,0,1
"ANITA",0,329,0,1,329,0,1,0,1
"MARCUS",352,1,.9971671,.0028329,353,1,0,1,0
"FERNANDO",389,3,.9923469,.0076531,392,1,0,1,0
"GAIL",1,398,.0025063,.9974937,399,0,1,0,1
"DONALD",410,0,1,0,410,1,0,1,0
"RICKY",355,7,.980663,.019337,362,1,0,1,0
"SUE",1,306,.0032573,.9967427,307,0,1,0,1
"MARCO",367,1,.9972826,.0027174,368,1,0,1,0
"WAYNE",390,1,.9974425,.0025575,391,1,0,1,0
"JÃ“HANNA",1,277,.0035971,.9964029,278,0,1,0,1
"TAYLOR",102,167,.3791822,.6208178,269,0,0,0,0
"Ã–LIVIA",0,235,0,1,235,0,1,0,1
"AMBER",1,268,.0037175,.9962825,269,0,1,0,1
"MARISA",0,225,0,1,225,0,1,0,1
"AL",356,9,.9753425,.0246575,365,1,0,1,0
"LINDSEY",6,231,.0253165,.9746835,237,0,1,0,1
"JILLIAN",0,241,0,1,241,0,1,0,1
"NADIA",0,269,0,1,269,0,1,0,1
"ROBERTO",353,0,1,0,353,1,0,1,0
"YVETTE",1,339,.0029412,.9970588,340,0,1,0,1
"FRANCISCO",346,0,1,0,346,1,0,1,0
"HOLLY",2,257,.007722,.992278,259,0,1,0,1
"YOLANDA",0,347,0,1,347,0,1,0,1
"JOANN",0,355,0,1,355,0,1,0,1
"SIMONE",28,281,.0906149,.9093851,309,0,1,0,0
"JESSIE",37,220,.1439689,.8560311,257,0,1,0,0
"ZACH",246,1,.9959514,.0040486,247,1,0,1,0
"ANDRÃ‰S",291,0,1,0,291,1,0,1,0
"PEDRO",358,1,.9972145,.0027855,359,1,0,1,0
"LILY",1,229,.0043478,.9956522,230,0,1,0,1
"DREW",269,9,.9676259,.0323741,278,1,0,1,0
"CHAD",283,2,.9929824,.0070175,285,1,0,1,0
"JAVIER",325,1,.9969325,.0030675,326,1,0,1,0
"FRANCES",0,303,0,1,303,0,1,0,1
"CAROLINA",2,266,.0074627,.9925373,268,0,1,0,1
"KATHRYN",0,256,0,1,256,0,1,0,1
"LEO",308,6,.9808917,.0191083,314,1,0,1,0
"NATALIA",1,264,.0037736,.9962264,265,0,1,0,1
"BONNIE",1,294,.0033898,.9966102,295,0,1,0,1
"CASEY",122,116,.5126051,.487395,238,0,0,0,0
"HEIDI",0,247,0,1,247,0,1,0,1
"JOSEPHINE",0,326,0,1,326,0,1,0,1
"NAOMI",2,269,.0073801,.9926199,271,0,1,0,1
"MANUEL",338,2,.9941176,.0058824,340,1,0,1,0
"WALTER",345,1,.9971098,.0028902,346,1,0,1,0
"TRACEY",11,274,.0385965,.9614035,285,0,1,0,1
"DARREN",289,0,1,0,289,1,0,1,0
"GLENN",304,4,.987013,.012987,308,1,0,1,0
"LUKE",278,0,1,0,278,1,0,1,0
"ALLEN",303,4,.9869707,.0130293,307,1,0,1,0
"CAMILLE",6,309,.0190476,.9809524,315,0,1,0,1
"SALLY",1,281,.0035461,.9964539,282,0,1,0,1
"SYLVIA",0,312,0,1,312,0,1,0,1
"FELICIA",0,305,0,1,305,0,1,0,1
"IRIS",1,316,.0031546,.9968454,317,0,1,0,1
"BIANCA",1,249,.004,.996,250,0,1,0,1
"FELIX",326,1,.9969419,.0030581,327,1,0,1,0
"ARLENE",0,328,0,1,328,0,1,0,1
"KARINA",0,249,0,1,249,0,1,0,1
"COLIN",258,0,1,0,258,1,0,1,0
"BROOKE",4,212,.0185185,.9814815,216,0,1,0,1
"ABBY",7,208,.0325581,.9674419,215,0,1,0,1
"MORGAN",88,133,.3981901,.60181,221,0,0,0,0
"TED",283,0,1,0,283,1,0,1,0
"ISAAC",271,2,.992674,.007326,273,1,0,1,0
"JODI",6,235,.0248963,.9751037,241,0,1,0,1
"FRANCESCA",0,223,0,1,223,0,1,0,1
"ADRIENNE",0,250,0,1,250,0,1,0,1
"ANGELO",293,1,.9965987,.0034014,294,1,0,1,0
"ELI",211,10,.9547511,.0452489,221,1,0,1,0
"RUSSELL",273,0,1,0,273,1,0,1,0
"ADRIANA",1,255,.0039063,.9960938,256,0,1,0,1
"CÃ‰SAR",295,2,.993266,.006734,297,1,0,1,0
"TONI",20,281,.0664452,.9335548,301,0,1,0,0
"WANDA",1,323,.0030864,.9969136,324,0,1,0,1
"SAL",285,0,1,0,285,1,0,1,0
"VIRGINIA",0,286,0,1,286,0,1,0,1
"AUDREY",0,258,0,1,258,0,1,0,1
"JENN",1,190,.0052356,.9947644,191,0,1,0,1
"CHELSEA",1,168,.0059172,.9940829,169,0,1,0,1
"LATOYA",0,281,0,1,281,0,1,0,1
"DANIELA",2,210,.009434,.990566,212,0,1,0,1
"TRICIA",0,232,0,1,232,0,1,0,1
"SHANE",259,10,.9628253,.0371747,269,1,0,1,0
"DESIREE",0,256,0,1,256,0,1,0,1
"BETTY",0,284,0,1,284,0,1,0,1
"JANINE",0,231,0,1,231,0,1,0,1
"CONNIE",0,265,0,1,265,0,1,0,1
"KARA",1,186,.0053476,.9946524,187,0,1,0,1
"CASSANDRA",0,264,0,1,264,0,1,0,1
"JEANETTE",0,276,0,1,276,0,1,0,1
"BECKY",0,201,0,1,201,0,1,0,1
"RAQUEL",0,249,0,1,249,0,1,0,1
"PEGGY",1,279,.0035714,.9964285,280,0,1,0,1
"PHILLIP",278,0,1,0,278,1,0,1,0
"KEISHA",1,273,.0036496,.9963503,274,0,1,0,1
"VICKY",2,216,.0091743,.9908257,218,0,1,0,1
"GABRIELLE",0,202,0,1,202,0,1,0,1
"MARLENE",0,250,0,1,250,0,1,0,1
"STEFANIE",1,173,.0057471,.9942529,174,0,1,0,1
"TAMMY",0,230,0,1,230,0,1,0,1
"VINNY",266,4,.9851852,.0148148,270,1,0,1,0
"JESS",21,162,.1147541,.8852459,183,0,1,0,0
