"author","gender"
"Aaron Bodoh-Creed","Male"
"Aaron Cornell","Male"
"Aaron Pancost","Male"
"Aaron Chaflin","Male"
"Abdullah Yavas","Male"
"Abel Brodeur","Male"
"Abigail Wozniak","Female"
"Abraham S. Ravid","Male"
"Adam Looney","Male"
"Adam McCloskey","Male"
"Adam Ozimek","Male"
"Adela Luque","?"
"Adele Morris","Female"
"Aditi Sen","?"
"Aditi Sengupta","?"
"Adriana Robertson","Female"
"Adrienne Colella","Female"
"Agnieszka Chlon-Dominczak","Female"
"Ahmad Peivandi","Male"
"Ahmad Osmani","Male"
"Ai He","?"
"Ajit Zacharias","Male"
"Akio Yamazaki","?"
"Alain Naef","Male"
"Alan Kwan","Male"
"Alan Morrison","Male"
"Alan Blinder","Male"
"Alan Fox","Male"
"Albert Park","Male"
"Albert Okunade","Male"
"Albert S. Kyle","Male"
"Albert Zevelev","Male"
"Alberto Rossi","Male"
"Alberto Martin-Utrera","Male"
"Alejandro Dellachiesa","Male"
"Alejandro Van der Ghote","Male"
"Aleksandar Stojkov","Male"
"Aleksandr Gevorkyan","Male"
"Alessandra Casarico","Female"
"Alessio Ruzza","Male"
"Alex Rowell","?"
"Alex Bell","?"
"Alex Imas","?"
"Alex Hsu","?"
"Alex Anas","?"
"Alex Minne","?"
"Alexander Willen","Male"
"Alexander McQuoid","Male"
"Alexander Muermann","Male"
"Alexander J. Field","Male"
"Alexander Plekhanov","Male"
"Alexander Wagner","Male"
"Alexander K. Zentefis","Male"
"Alexander Guschanski","Male"
"Alexander Hertel-Fernandez","Male"
"Alexander Mende","Male"
"Alexander Ufier","Male"
"Alexandra Tsvetkova","Female"
"Alexandre Poirier","Male"
"Alexandre Ziegler","Male"
"Alexandre N. Kohlhas","Male"
"Alexei Alexandrov","?"
"Alexei Karas","?"
"Alexey Makarin","Male"
"Alexey Zhdanov","Male"
"Alexey Ivashchenko","Male"
"Alexis Stenfors","?"
"Alfonso Flores-Lagunes","Male"
"Alfredo Roa-Henriquez","Male"
"Ali Fakih","?"
"Alice Kassens","Female"
"Alice Bonaime","Female"
"Alice M. Henriques","Female"
"Alice Zulkarnain","Female"
"Alice H. Wu","Female"
"Alicia Girón","Female"
"Alistair Wilson","Male"
"Allen Bellas","Male"
"Allison Shwachman Kaminaga","Female"
"Allison Nunez","Female"
"Ally Quan Zhang","?"
"Alok Kumar","Male"
"Alonso Villacorta","Male"
"Alonso de Gortari","Male"
"Alvaro Taboada","Male"
"Alvin E. Roth","Male"
"Amal Harrati","?"
"Amanda Gregg","Female"
"Amanda Sheely","Female"
"Amanda Ross","Female"
"Amelie F. Constant","Female"
"Amy Henderson","Female"
"An Le","?"
"An Yan","?"
"Ana Gazmuri","Female"
"Ana Babus","Female"
"Anastassia Fedyk","Female"
"Anca Cotet-Grecu","Female"
"Ander Perez-Orive","?"
"Anders Trolle","Male"
"Anders Munk-Nielsen","Male"
"Andras Komaromi","Male"
"Andre Silva","Male"
"Andre de Palma","Male"
"Andrea Presbitero","?"
"Andrea Canidio","?"
"Andrea Austin","?"
"Andrea Baranzini","?"
"Andrea Barbon","?"
"Andrea Velasquez","?"
"Andreas Westphal","Male"
"Andreas Schrimpf","Male"
"Andreas Hoepner","Male"
"Andrew Filardo","Male"
"Andrew MacKinlay","Male"
"Andrew T. Hill","Male"
"Andrew Chen","Male"
"Andrew Ju","Male"
"Andrew Harrison McCallum","Male"
"Andrew Berg","Male"
"Andrew Brudevold-Newman","Male"
