"author"
"Yutec Sun"
"Miguel Garcia-Posada"
"Oscar Arce"
"Moundir Lassassi"
"Robynn Cox"
"Jamein Cunningham"
"Agustin Hurtado"
"José Tessada"
"Zixia Sheng"
"Veronica Rappoport"
"Yasuke Kuroishi"
"Hsi-Wei Wang"
"Phumsith Mahasuweerachai"
"Anucha Mahariwirasami"
"José Luis Montiel Olea"
"Ciamac Moallemi"
"Xuetao Huang"
"Braz Camargo"
"Juhani Linnainmaa"
"Yingguang Zhang"
"Tse-Chun Lin"
"Vesa Pursiainen"
"Danqi Hu"
"Marie-Aude Laguna"
"Huancheng Du"
"Jinfan Zhang"
"Youchang Wu"
"Jiro Yoshida"
"Dionissi Aliprantis"
"Yasutoshi Noshita"
"Dorothée Brécard"
"Jiafeng Chen"
"Botond Koszegi"
"Joao Brogueira de Sousa"
"Miguel Gouveia"
"Gertjan Verdickt"
"Andrés Gonzalez Gomez"
"Artashes Karapetyan"
"Sudipto Karmakar"
"Maik Schmeling"
"D. Wade Hands"
"Cecere Grazia"
"Hideaki Miyajima"
"Hideo Owan"
"Matias Busso"
"Naercio A. Menezes Filho"
"Zhihong Yu"
"Akpan H. Ekpo"
"Douglason G. Omotor"
"Uduakobong Inam"
"Mevlude Akbulut-Yuksel"
"Raul Caruso"
"Chacko George"
"Khaing Zaw"
"Manoel Bittencourt"
"Tendai Zawaira"
"Sumire Stanislawski"
"Wuyang Hu"
"Julia Belau"
"Cortnie Shupe"
"Pallab Ghosh"
"Zexuan Liu"
"Uttara Balakrishnan"
"Diana Farrell"
"Hong Ma"
"Hervé Le Bihan"
"Stéphane Dupraz"
"Jón Steinsson"
"Cagatay Bircan"
"Narasimhan Jegadeesh"
"Hongxun Ruan"
"Yanhao Wei"
"Qifei Zhu"
"Jiagnze Bian"
"Dorinth Van Dijk"
"Hongbiao Zhao"
"C.Y. Choi"
"Jose M. Fernandez"
"Stephan Gohmann"
"Kodjo Aflagah"
"Lucjan T. Orlowski"
"Evzen Kocenda"
"Monica Capra"
"Yuxin Su"
"Prasenjit N. Ghosh"
"Ruiqing Miao"
"Kose John"
"Jongsub Lee"
"Tengyuan Liang"
"Yingyao Hu"
"Zhongjian Lin"
"Espen Moen"
"Hyungseok Joo"
"Hidehiko Matsumoto"
"S Fleur W. Meddens"
"Robbee Wedow"
"Ragan Petrie"
"Yongjoon Park"
"J. J. Prescott"
"Adji Fatou Diagne"
"Lakitquana Leal"
"Shinichi Kamiya"
"Oscar David Barrera Rodriguez"
"Ott Toomet"
"Hangjun Yang"
"Anming Zhang"
"Chun-Yu Ho"
"Yanhao Wang"
"Robel Alemu"
"Kwaw S. Andam"
"Faaiqa Hartley"
"Fabian Amico"
"Lingyu Kong"
"Jørgen Modalsli"
"Pengfei Liu"
"Yueming (Lucy) Qiu"
"Fareena Noor Malhi"
"Kebin Ma"
"Pompeo Della Posta"
"Lung-Fei Lee"
"Hanbat Jeong"
"Badi H. Baltagi"
"Hyungsik Roger Moon"
"Yongcheol Shin"
"Thiagu Ranganathan"
"Awudu Abdulai"
"Victor Owusu"
"Charity-Joy Acchairdo"
"G. Dirk Mateer"
"Chandini Sankaran"
"Hang-Wei Hao"
"Yabisi Wen"
"Areerat Kichkha"
"Marieta Velikova"
"Clémentine Van Effenterre"
"Per-Anders Edin"
"Tiernan Evans"
"Tirupam Goel"
