author,firstname,gender
"JOSEPH HOTZ","JOSEPH","Male"
"JANET CURRIE","JANET","Female"
"LENA EDLUND","LENA","Female"
"THOMAS KANE","THOMAS","Male"
"DOUGLAS STAIGER","DOUGLAS","Male"
"SUSAN DYNARSKI","SUSAN","Female"
"DAN LEVY","DAN","Male"
"MICHAEL KREMER","MICHAEL","Male"
"PAUL GOMPERS","PAUL","Male"
"ANDREW METRICK","ANDREW","Male"
"SENDHIL MULLAINATHAN","SENDHIL","Male"
"JOY ISHII","JOY","Female"
"BERNADETTE MINTON","BERNADETTE","Female"
"JEFF WURGLER","JEFF","Male"
"KAREN WRUCK","KAREN","Female"
"MATTHIAS KAHL","MATTHIAS","Male"
"MANJU PURI","MANJU","Female"
"AYDOGAN ALTI","AYDOGAN","Male"
"AMNON LEVY","AMNON","Male"
"THOMAS HUBBARD","THOMAS","Male"
"GEORGE BAKER","GEORGE","Male"
"CHESTER SPATT","CHESTER","Male"
"ROBERT MCDONALD","ROBERT","Male"
"SIMEON DJANKOV","SIMEON","Male"
"ANDREI SHLEIFER","ANDREI","Male"
"TATIANA NENOVA","TATIANA","Female"
"CARLEE MCLEISH","CARLEE","Female"
"REBECCA MENES","REBECCA","Female"
"RYAN JOHNSON","RYAN","Male"
"PAUL RHODE","PAUL","Male"
"KOLEMAN STRUMPH","KOLEMAN","Male"
"JOHN WALLIS","JOHN","Male"
"CHRISTOPHER MEISSNER","CHRISTOPHER","Male"
"MELISSA THOMASSON","MELISSA","Female"
"WILLIAM COLLINS","WILLIAM","Male"
"PETER ROUSSEAU","PETER","Male"
"RICHARD SYLLA","RICHARD","Male"
"EMMANUEL SAEZ","EMMANUEL","Male"
"THOMAS PIKETTY","THOMAS","Male"
"CAROLYN MOEHLING","CAROLYN","Female"
"SHAWN KANTOR","SHAWN","Male"
"PRICE FISHBACK","PRICE","Male"
"WILLIAM HORRACE","WILLIAM","Male"
"ROBERT MARGO","ROBERT","Male"
"DARON ACEMOGLU","DARON","Male"
"BENJAMIN CHABOT","BENJAMIN","Male"
"FARLEY GRUBB","FARLEY","Male"
"LANCE DAVIS","LANCE","Male"
"LARRY NEAL","LARRY","Male"
"EUGENE WHITE","EUGENE","Male"
"DOUGLAS IRWIN","DOUGLAS","Male"
"MARC WEIDENMIER","MARC","Male"
"JOSEPH FERRIE","JOSEPH","Male"
"LEE ALSTON","LEE","Male"
"GARY LIBECAP","GARY","Male"
"MATTHEW KAHN","MATTHEW","Male"
"DORA COSTA","DORA","Female"
"THOMAS COOLEY","THOMAS","Male"
"NEZIH GUNER","NEZIH","Male"
"RAQUEL FERNÁNDEZ","RAQUEL","Female"
"JOHN KNOWLES","JOHN","Male"
"ROBERT E. HALL","ROBERT","Male"
"MUHAMMET FATIH GUVENEN","MUHAMMET","Male"
"ATHANASIOS ORPHANIDES","ATHANASIOS","Male"
"ERIC LEEPER","ERIC","Male"
"JOHN COCHRANE","JOHN","Male"
"BENNETT MCCALLUM","BENNETT","Male"
"STEPHANIE SCHMITT-GROHE","STEPHANIE","Female"
"V.V. CHARI","CHAR","Male"
"MARTIN URIBE","MARTIN","Male"
"KARL WHELAN","KARL","Male"
"DAVID WEIL","DAVID","Male"
"TOR KLETTE","TOR","Male"
"SAMUEL KORTUM","SAMUEL","Male"
"CHANG-TAI HSIEH","CHAN","Male"
"JONATHAN PARKER","JONATHAN","Male"
"FLORENCIO LOPEZ-DE-SILANES","FLORENCIO","Male"
"RAFAEL LA PORTA","RAFAEL","Male"
"JOHN C. WILLIAMS","JOHN","Male"
"SIMON GILCHRIST","SIMON","Male"
"JON BAKIJA","JON","Male"
"JULIE BERRY CULLEN","JULIE","Female"
"ROGER GORDON","ROGER","Male"
"JOHN KARL SCHOLZ","JOHN","Male"
"MELVIN STEPHENS","MELVIN","Male"
"JENNIFER WARD-BATTS","JENNIFER","Female"
"AUSTAN GOOLSBEE","AUSTAN","Male"
"ROBERT INMAN","ROBERT","Male"
"WALLACE OATES","WALLACE","Male"
"MICHAEL GREENSTONE","MICHAEL","Male"
"VERNON HENDERSON","VERNON","Male"
"KENNETH CHAY","KENNETH","Male"
"GEOFFREY HEAL","GEOFFREY","Male"
"TALBOT PAGE","TALBOT","Male"
"NATHANIEL KEOHANE","NATHANIEL","Male"
"BENJAMIN VAN ROY","BENJAMIN","Male"
"CAROLYN FISCHER","CAROLYN","Female"
"RICHARD ZECKHAUSER","RICHARD","Male"
"SARAH WEST","SARAH","Female"
"KENNETH SMALL","KENNETH","Male"
"IAN PARRY","IAN","Male"
"ARIK LEVINSON","ARIK","Male"
"GILBERT METCALF","GILBERT","Male"
"SCOTT NIEMANN","SCOTT","Male"
"CHARLES MASON","CHARLES","Male"
"JOHN LIST","JOHN","Male"
"V. KERRY SMITH","KERRY","Male"
"JASON SHOGREN","JASON","Male"
"CHAD SETTLE","CHAD","Male"
"HELMUTH CREMER","HELMUTH","Male"
"FIROUZ GAHVARI","FIROUZ","Male"
"NORBERT LADOUX","NORBERT","Male"
"ROBERTON WILLIAMS","ROBERTON","Male"
"DAVID KELLY","DAVID","Male"
"CHARLES KOLSTAD","CHARLES","Male"
"RICHARD NEWELL","RICHARD","Male"
"JAMES HAMMITT","JAMES","Male"
"MUSHFIQ MOBARAK","MUSHFIQ","Male"
"MAUREEN CROPPER","MAUREEN","Female"
"KATJA VINHA","KATJA","Female"
"ANTONIO BENTO","ANTONIO","Male"
"ALAN KRUPNICK","ALAN","Male"
"NATHALIE SIMON","NATHALIE","Female"
"ANNA ALBERINI","ANNA","Female"
"NORMAN SWANSON","NORMAN","Male"
"PETER REINHARD HANSEN","PETER","Male"
"JERRY HAUSMAN","JERRY","Male"
"GUIDO KUERNSTEINER","GUIDO","Male"
"ATSUSHI INOUE","ATSUSHI","Male"
"JONATHAN WRIGHT","JONATHAN","Male"
"JAMES STOCK","JAMES","Male"
"MARK WATSON","MARK","Male"
"JUSHAN BAI","JUSHAN","Male"
"BRIAN SACK","BRIAN","Male"
"ROBERTO RIGOBON","ROBERTO","Male"
"FRANK DIEBOLD","FRANK","Male"
"TORBEN ANDERSEN","TORBEN","Male"
"PAUL LABYS","PAUL","Male"
"TIMOTHY BOLLERSLEV","TIMOTHY","Male"
"GRAHAM ELLIOT","GRAHAM","Male"
"ALLAN TIMMERMAN","ALLAN","Male"
"MICHAEL JANSSON","MICHAEL","Male"
"ERIC GHYSELS","ERIC","Male"
"L. MOON","MOO","Unknown"
"P. MOISE","MOIS","Male"
"M. JEE-HUGUES","JE","Male"
"STEPHANE JACOBZONE","STEPHANE","Male"
"ROBERT TOWN","ROBERT","Male"
"GAUTUM GOWRISANKARAN","GAUTUM","Male"
"WILLARD MANNING","WILLARD","Male"
"JEANETTE MORRISON","JEANETTE","Female"
"DAVID MELTZER","DAVID","Male"
"THOMAS MROZ","THOMAS","Male"
"DONNA GILLESKIE","DONNA","Female"
"ROBERT HUCKMAN","ROBERT","Male"
"JOHN MULLAHY","JOHN","Male"
"AMY FINKELSTEIN","AMY","Female"
"DANA GOLDMAN","DANA","Male"
"IVO WELCH","IVO","Male"
"SUSHIL BIKHCHANDANI","SUSHIL","Male"
"AMITABH CHANDRA","AMITABH","Male"
"JONATHAN GRUBER","JONATHAN","Male"
"LAURENCE BAKER","LAURENCE","Male"
"SANDRA DECKER","SANDRA","Female"
"ABIGAIL TAY","ABIGAIL","Female"
"JOHN CAWLEY","JOHN","Male"
