author,firstname,gender
"JUAN CARLOS ECHEVERRY","JUAN","Male"
"ROBERTO STEINER","ROBERTO","Male"
"LEOPOLDO FERGUSSON","LEOPOLDO","Male"
"SEEMA JAYACHANDRAN","SEEMA","Female"
"LAURA ALFARO","LAURA","Female"
"EDUARDO LEVY-YEYATI","EDUARDO","Male"
"FABIO KANCZUK","FABIO","Male"
"GASTON GELOS","GASTON","Male"
"GUIDO LORENZONI","GUIDO","Male"
"ANDREWHALDANE","ANDREWHALDAN","Male"
"ROBERTORIGOBON","ROBERTORIGOBO","Male"
"ANNA PAVLOVA","ANNA","Female"
"GALINA HALE","GALINA","Female"
"YIN- WONG CHEUNG","YI","Male"
"ANTONIOGARCIA PASCUAL","ANTONIOGARCIA","Male"
"MENZIED. CHINN","MENZIE","Male"
"GIAN-MARIAMILESI-FERETTI","GIA","Female"
"PHILLIPLANE","PHILLIPLAN","Male"
"JOSEPH JOYCE","JOSEPH","Male"
"JON FAUST","JON","Male"
"MICHAELKUMHOF","MICHAELKUMHO","Male"
"VADYM VOLOSOVYCH","VADYM","Male"
"SEBNEMKALEMLI- OZCAN","SEBNEMKALEML","Female"
"MICHAEL KEANE","MICHAEL","Male"
"ALEXANDRE SKIBA","ALEXANDRE","Male"
"CHRISTIAN BRODA","CHRISTIAN","Male"
"POL ANTRAS","POL","Male"
"NUNO LIMAÌƒO","NUNO","Male"
"VINCENT DUPONT","VINCENT","Male"
"PHILIPPE MARTIN","PHILIPPE","Male"
"RIKARD FORSLID","RIKARD","Male"
"DARIA TAGLIONI","DARIA","Female"
"ROBERT ANDERTON","ROBERT","Male"
"RICHARD BALDWIN","RICHARD","Male"
"JOHN BOUND","JOHN","Male"
"SARAH TURNER","SARAH","Female"
"THOMAS LEMIEUX","THOMAS","Male"
"JAMES HECKMAN","JAMES","Male"
"MADELINE ZAVODNY","MADELINE","Female"
"PIA ORRENIUS","PIA","Female"
"ARA STEPANYAN","ARA","Unknown"
"MELISSA S. KEARNEY","MELISSA","Female"
"ROLAND FRYER","ROLAND","Male"
"GEORGE BORJAS","GEORGE","Male"
"ALEX BRYSON","ALEX","Male"
"DAVID BLANCHFLOWER","DAVID","Male"
"TANYA ROSENBLAT","TANYA","Female"
"SATURDAY","SATURDA","Unknown"
"FELIX OBERHOLZER-GEE","FELIX","Male"
"KIP VISCUSI","KIP","Male"
"MIKI MITSUNARI","MIKI","Female"
"JONI HERSCH","JONI","Female"
"BRUCE HAY","BRUCE","Male"
"PAUL RUBIN","PAUL","Male"
"BENJAMIN ZELIGER","BENJAMIN","Male"
"SOURAV RAY","SOURAV","Male"
"PAUL MAHONEY","PAUL","Male"
"RONALD GILSON","RONALD","Male"
"JAN EECKHOUT","JAN","Male"
"TRICIA GLADDEN","TRICIA","Female"
"MICHELLE ALEXOPOULIS","MICHELLE","Female"
"IOURRI MANOVSKI","IOURRI","Male"
"GUEORGUI KAMBOUROV","GUEORGUI","Male"
"IVAN WERNING","IVAN","Male"
"CHRIS PISSARIDES","CHRIS","Male"
"RACHEL NGAI","RACHEL","Female"
"JOHANNES HORNER","JOHANNES","Male"
"KENNETH BURDETT","KENNETH","Male"
"GEORGE ALESSANDRIA","GEORGE","Male"
"LARRY JONES","LARRY","Male"
"RODOLFO MANUELLI","RODOLFO","Male"
"JOEL HASBROUCK","JOEL","Male"
"ANDREW ELLUL","ANDREW","Male"
"PANKAJ JAIN","PANKAJ","Male"
"ROBERT JENNINGS","ROBERT","Male"
"PAUL IRVINE","PAUL","Male"
"HANS G. HEIDLE","HANS","Male"
"XI LI","XI","Male"
"EUGENE KANDEL","EUGENE","Male"
"VENKATESH PANCHAPAGESAN","VENKATESH","Male"
"LESLIE M. MARX","LESLIE","Female"
"ANANTH MADHAVAN","ANANTH","Male"
"HENDRIK BESSEMBINDER","HENDRIK","Male"
"EKKEHART BOEHMER","EKKEHART","Male"
"G. GEOFFREY BOOTH","GEOFFREY","Male"
"CHARLES CAO","CHARLES","Male"
"CHARLES M. JONES","CHARLES","Male"
"KUMAR VENKATARAMAN","KUMAR","Male"
"MARC L. LIPSON","MARC","Male"
"JEFFREY C. FUHRER","JEFFREY","Male"
"GLENN D. RUDEBUSCH","GLENN","Male"
"MAURICE OBSTFELD","MAURICE","Male"
"ALAN J. AUERBACH","ALAN","Male"
"MICHAEL WOODFORD","MICHAEL","Male"
"DANIEL J. VINE","DANIEL","Male"
"VALERY A. RAMEY","VALERY","Female"
"STEPHEN R. BOND","STEPHEN","Male"
"JASON G. CUMMINS","JASON","Male"
"KENNETH N. KUTTNER","KENNETH","Male"
"JACK E. TRIPLETT","JACK","Male"
"KARI MANNINEN","KARI","Male"
"MANUEL TRAJTENBERG","MANUEL","Male"
"TED TO","TED","Male"
"TEAGUE RUDER","TEAGUE","Male"
"DANIEL SICHEL","DANIEL","Male"
"ROBERT C. INKLAAR","ROBERT","Male"
"SEAN DOUGHERTY","SEAN","Male"
"BART VAN ARK","BART","Male"
"JEFFREY BERNSTEIN","JEFFREY","Male"
"ROBERT MCGUCKIN","ROBERT","Male"
"FRANK C. WYKOFF","FRANK","Male"
"JAISON ABEL","JAISON","Male"
"ALAN G. WHITE","ALAN","Male"
"MAURY GITTLEMAN","MAURY","Male"
"EDWARD N. WOLFF","EDWARD","Male"
"THIJS TEN RAA","THIJS","Male"
"CINDY ZOGHI","CINDY","Female"
"MICHAEL GIBBS","MICHAEL","Male"
"KATHRYN IERULLI","KATHRYN","Female"
"SIMON WOODCOCK","SIMON","Male"
"BRUCE FALLICK","BRUCE","Male"
"JOHN ABOWD","JOHN","Male"
"AXEL WERWATZ","AXEL","Male"
"NANCY BEAULIEU","NANCY","Female"
"PETER J. KLENOW","PETER","Male"
"SILVANA TENREYRO","SILVANA","Female"
"LOREN BRANDT","LOREN","Male"
"SUSAN CHUN ZHU","SUSAN","Female"
"LEONARD NAKAMURA","LEONARD","Male"
"JOSHUA LINN","JOSHUA","Male"
"2.00 PMSHARON NOVAK","PMSHARON","Female"
"GERALD MARSCHKE","GERALD","Male"
"1.00 PMPASCAL COURTY","PMPASCAL","Male"
"9.00 AMMANUEL AMADOR","AMMANUEL","Male"
"DAVID SCHARFSTEIN","DAVID","Male"
"10.00 AMPAUL GOMPERS","AMPAUL","Male"
"11.15 AMJANET BERCOVITZ","AMJANET","Female"
"JESSE ROTHSTEIN","JESSE","Male"
"FERNANDO FERREIRA","FERNANDO","Male"
"YONGHENG DENG","YONGHENG","Male"
"JOHN QUIGLEY","JOHN","Male"
"STUART GABRIEL","STUART","Male"
"BRIAN KNIGHT","BRIAN","Male"
"RAVEN SAKS","RAVEN","Female"
"JEFF DOMINITZ","JEFF","Male"
"JORDAN HEINZ","JORDAN","Male"
"CHARLES MANSKI","CHARLES","Male"
"MIKHAIL GOLOSOV","MIKHAIL","Male"
"JEFFREY KUBIK","JEFFREY","Male"
"YANNIS BILIAS","YANNIS","Male"
"DIMITRIS GEORGARAKOS","DIMITRIS","Male"
"GIOVANNI VALLIPOLI","GIOVANNI","Male"
"SOREN LETH-PETERSEN","SOREN","Male"
"JUAN CARLOS CONESA","JUAN","Male"
"ALEX MICHAELIDES","ALEX","Male"
"THOMAS KREBS","THOMAS","Male"
"HIDEHIKO ICHIMURA","HIDEHIKO","Male"
"JOSHUA M. POLLET","JOSHUA","Male"
"STEFANO DELLAVIGNA","STEFANO","Male"
"BO HONORE","BO","Male"
"PHILLIP B. LEVINE","PHILLIP","Male"
"WILLIAM MARDER","WILLIAM","Male"
"MICHAEL D. HURD","MICHAEL","Male"
"SHINICHI NISHIYAMA","SHINICHI","Male"
"MICHAEL BAKER","MICHAEL","Male"
"KEVIN MILLIGAN","KEVIN","Male"
"KRISTIN KLEINJANS","KRISTIN","Female"
"WILLIAM VOGT","WILLIAM","Male"
"CASSIO TURRA","CASSIO","Male"
"WILLIAM G. GALE","WILLIAM","Male"
"KAREN M. PENCE","KAREN","Female"
"JAMES BANKS","JAMES","Male"
"JAMES P. SMITH","JAMES","Male"
"ARTHUR VAN SOEST","ARTHUR","Male"
"DAVID GRABOWSKI","DAVID","Male"
"JON GRUBER","JON","Male"
"DORA L. COSTA","DORA","Female"
"MARTIN FELDSTEIN","MARTIN","Male"
"DANIEL MCFADDEN","DANIEL","Male"
"GUAN GONG","GUAN","Male"
"LI GAN","LI","Male"
"JULIA I. LANE","JULIA","Female"
"JOHN M. ABOWD","JOHN","Male"
"KEVIN L. MCKINNEY","KEVIN","Male"
"STEPHANE ZUBER","STEPHANE","Male"
"TIMOTHY MILLER","TIMOTHY","Male"
"ANTOINE BOMMIER","ANTOINE","Male"
"JEFFERY R. BROWN","JEFFERY","Male"
"CHARLES I. JONES","CHARLES","Male"
"ADAM SZEIDL","ADAM","Male"
"RAJ CHETTY","RAJ","Male"
"LARS HANSEN","LARS","Male"
"NAN LI","NAN","Female"
"FRANCIS LONGSTAFF","FRANCIS","Male"
"ANTJE BERNDT","ANTJE","Female"
"ROHAN DOUGLAS","ROHAN","Male"
"DAVID SCHRANZ","DAVID","Male"
"MARK FERGUSON","MARK","Male"
"LEI FENG","LEI","Female"
"STEVE GRENADIER","STEVE","Male"
"ERIC ENGSTROM","ERIC","Male"
"JESSICA WACHTER","JESSICA","Female"
"PINGÂ HE","PIN","Male"
"ROBERT DAMMON","ROBERT","Male"
"MICHAEL HANSON","MICHAEL","Male"
"NICK BLOOM","NICK","Male"
"CLAUDIO MICHELACCI","CLAUDIO","Male"
"DEBORAHÂ LUCAS","DEBORA","Female"
"JOHN LAITNER","JOHN","Male"
"PHILIP LEVINE","PHILIP","Male"
"ELIZABETH OLTMANS ANANAT","ELIZABETH","Female"
"ANNA AIZER","ANNA","Female"
"MARK STABILE","MARK","Male"
"NACI MOCAN","NACI","Male"
"MIKE VISSER","MIKE","Male"
"BILL HARBAUGH","BILL","Male"
"JOE DOYLE","JOE","Male"
"HISAHIRO NAITO","HISAHIRO","Male"
"KEN YAMADA","KEN","Male"
"ELIZABETH CASCIO","ELIZABETH","Female"
"ROBERTA GATTI","ROBERTA","Female"
"KATHLEEN BEEGLE","KATHLEEN","Female"
"MELISSA KEARNEY","MELISSA","Female"
"JOHN MOORE","JOHN","Male"
"RAGHURAM RAJAN","RAGHURAM","Male"
"JULIE WULF","JULIE","Female"
"NING ZHU","NING","Male"
"ILAN GUEDJ","ILAN","Male"
"RAPHAEL AMIT","RAPHAEL","Male"
"KENNETH AYOTTE","KENNETH","Male"
"HAYONG YUN","HAYONG","Male"
"DAVID ROBINSON","DAVID","Male"
"MATTHEW RHODES-KROPF","MATTHEW","Male"
"ALMA COHEN","ALMA","Female"
"DAVID YERMACK","DAVID","Male"
"WAYNE GUAY","WAYNE","Male"
"JOHN CORE","JOHN","Male"
"LAURA T. STARKS","LAURA","Female"
"STUART L. GILLAN","STUART","Male"
"JAY C. HARTZELL","JAY","Male"
"PAUL A. GOMPERS","PAUL","Male"
"HASUNG JANG","HASUNG","Male"
"WOOCHAN KIM","WOOCHAN","Male"
"BERNARD BLACK","BERNARD","Male"
"K.J. MARTIJN CREMERS","MARTIJN","Male"
"CHENYANG WEI","CHENYANG","Male"
"VINAY NAIR","VINAY","Male"
"BENJAMIN HERMALIN","BENJAMIN","Male"
"CRAIG DOIDGE","CRAIG","Male"
"G. ANDREW KAROLYI","ANDREW","Male"
"LEAH PLATT","LEAH","Female"
"GREGORY STUTES","GREGORY","Male"
"JOSE ERNESTO LOPEZ CORDOVA","JOSE","Male"
"CHRIS MEISSNER","CHRIS","Male"
"FRANCISCO GALLEGO","FRANCISCO","Male"
"CAROLA FRYDMAN","CAROLA","Female"
"VALERIE SUSLOW","VALERIE","Female"
"MARGARET LEVENSTEIN","MARGARET","Female"
"CAROL SHIUE","CAROL","Female"
"MARTHA BAILEY","MARTHA","Female"
"JOE DAVIS","JOE","Male"
"CHRIS HANES","CHRIS","Male"
"JARET TREBER","JARET","Male"
"DHANOOS SUTTHIPHISAL","DHANOOS","Female"
"HUGH ROCKOFF","HUGH","Male"
"GARY D. LIBECAP","GARY","Male"
"DAVID ROMER","DAVID","Male"
"EDUARDO ENGEL","EDUARDO","Male"
"NICOLA FUCHS-SCHUNDELN","NICOLA","Female"
"STEPHEN COATE","STEPHEN","Male"
"MARCO BATTAGLINI","MARCO","Male"
"PIERRE-DANIEL SARTE","PIERR","Male"
"GIORGIO PRIMICERI","GIORGIO","Male"
"DENNIS TAO YANG","DENNIS","Male"
"XIAODONG ZHU","XIAODONG","Male"
"ROCHELLE EDGE","ROCHELLE","Female"
"THOMAS LAUBACH","THOMAS","Male"
"ALWYN YOUNG","ALWYN","Male"
"EDWARD PRESCOTT","EDWARD","Male"
"BHAVEN SAMPAT","BHAVEN","Male"
"MINYUAN ZHAO","MINYUAN","Female"
"ROSEMARIE HAM ZIEDONIS","ROSEMARIE","Female"
"MICHELLE GITTELMAN","MICHELLE","Female"
"JUAN ALCACER","JUAN","Male"
"RUPERT HARRISON","RUPERT","Male"
"HOWARD KUNREUTHER","HOWARD","Male"
"ALAN KRUEGER","ALAN","Male"
"DAVID LAITIN","DAVID","Male"
"JESSE SHAPIRO","JESSE","Male"
"MATTHEW GENTZKOW","MATTHEW","Male"
"JOHAN PLESNER","JOHAN","Male"
"DAVID EVANS","DAVID","Male"
"STEPHEN DONALD","STEPHEN","Male"
"CHRISTOPHER TABER","CHRISTOPHER","Male"
"SANDRA MCNALLY","SANDRA","Female"
"STEPHEN MACHIN","STEPHEN","Male"
"JARED CARBONE","JARED","Male"
"MICHAEL R. MOORE","MICHAEL","Male"
"ERIN MANSUR","ERIN","Female"
"JUSTIN GALLAGHER","JUSTIN","Male"
"EDWARD BARBIER","EDWARD","Male"
"SHELBY GERKING","SHELBY","Male"
"MITCH KUNCE","MITCH","Male"
"STEVE HAMILTON","STEVE","Male"
"RONALD SHADBEGIAN","RONALD","Male"
"WAYNE GRAY","WAYNE","Male"
"CYNTHIA MORGAN","CYNTHIA","Female"
"SHUGUANG LIU","SHUGUANG","Male"
"SUZI KERR","SUZI","Female"
"ALEXANDER PFAFF","ALEXANDER","Male"
"JOANNA HENDY","JOANNA","Female"
"DON FULLERTON","DON","Male"
"YE FENG","YE","Male"
"SEBASTIAN GALIANI","SEBASTIAN","Male"
"MEGHAN BUSSE","MEGHAN","Female"
"ULRICH MUÌˆLLER","ULRICH","Male"
"GRAHAM ELLIOTT","GRAHAM","Male"
"ALLAN TIMMERMANN","ALLAN","Male"
"IVANA KOMUNJER","IVANA","Female"
"THOMAS LUBIK","THOMAS","Male"
"LAN ZHANG","LAN","Female"
"PER MYKLAND","PER","Male"
"LUCA BENATI","LUCA","Male"
"JAMES NASON","JAMES","Male"
"ASGER LUNDE","ASGER","Male"
"JOON PARK","JOON","Male"
"YOOSOON CHANG","YOOSOON","Female"
"SEAN CAMPBELL","SEAN","Male"
"SUKYUNG CHUNG","SUKYUNG","Female"
"FRANK SLOAN","FRANK","Male"
"AHMED KHWAJA","AHMED","Male"
"KENNETH LEONARD","KENNETH","Male"
"JOSHUA GRAFF ZIVIN","JOSHUA","Male"
"DAVID CARD","DAVID","Male"
"CARLOS DOBKIN","CARLOS","Male"
"NICOLE MAESTAS","NICOLE","Female"
"DAVID CUTLER","DAVID","Male"
"DANI TSIDDON","DANI","Male"
"ALEXEI ONATSKI","ALEXEI","Male"
"ANDREW LEVIN","ANDREW","Male"
"GUILLAME ROCHETEAU","GUILLAME","Male"
"MARC J. MELITZ","MARC","Male"
"FABIO GHIRONI","FABIO","Male"
"DAVID LOPEZ-SALIDO","DAVID","Male"
"GAUTI EGGERTSON","GAUTI","Male"
"HARALD STAHL","HARALD","Male"
"IGNACIO HERNANDO","IGNACIO","Male"
"LUIS ALVAREZ","LUIS","Male"
"CHRISTOPHER PHELAN","CHRISTOPHER","Male"
"SILVIA FABIANI","SILVIA","Female"
"ROBERTO SABBATINI","ROBERTO","Male"
"ANGELA GATULLI","ANGELA","Female"
"GERARD PADRO-I-MIGUEL","GERARD","Male"
"ALAIN TRANNOY","ALAIN","Male"
"GEORGE-MARIOS ANGELETOS","GEORG","Male"
"GINO GANCIA","GINO","Male"
"RETO FOELLMI","RETO","Male"
"JOSEF ZWEIMULLER","JOSEF","Male"
"FILIPE R.CAMPANTE","FILIPE","Male"
"FRANCISCO FERREIRA","FRANCISCO","Male"
"NILS-PETTER LAGERLOF","NIL","Female"
"MATHIAS THOENIG","MATHIAS","Male"
"AVI SIMHON","AVI","Male"
"ROBERT TAMURA","ROBERT","Male"
"NEIL CANADAY","NEIL","Male"
"ERIC ZITZEWITZ","ERIC","Male"
"JONATHAN REUTER","JONATHAN","Male"
"GINGER JIN","GINGER","Female"
"ANDREW KATO","ANDREW","Male"
"KIRA MARKIEWICZ","KIRA","Female"
"NANCY ROSE","NANCY","Female"
"CHRIS KNITTEL","CHRIS","Male"
"JEFF PRINCE","JEFF","Male"
"HIU MAN CHAN","HIU","Female"
"GEORGE HALL","GEORGE","Male"
"ENRIQUE SEIRA","ENRIQUE","Male"
"LINDA COHEN","LINDA","Female"
"PAROMA SANYAL","PAROMA","Female"
"ARI GOLDFARB","ARI","Male"
"BEN JONES","BEN","Male"
"MICHAEL PORTER","MICHAEL","Male"
"MARTIN BLUME","MARTIN","Male"
"JOHN ROGERS","JOHN","Male"
"JACQUES MINIANE","JACQUES","Male"
"ASSAF RAZIN","ASSAF","Male"
"JOSE WYNNE","JOSE","Male"
"FEDERICO WEINSCHELBAUM","FEDERICO","Male"
"EMANUEL KOHLSCHEEN","EMANUEL","Male"
"ANDRES VELASCO","ANDRES","Male"
"ALEJANDRO NEUT","ALEJANDRO","Male"
"JUAN CARLOS BERGANZA","JUAN","Male"
"ALICIA GARCIA HERRERO","ALICIA","Female"
"EDUARDO LEVY YEYATI","EDUARDO","Male"
"Z. VIVIAN YUE","VIVIAN","Female"
"PAIGE OUIMET","PAIGE","Female"
"LINDA TESAR","LINDA","Female"
"CRISTINA ARELLANO","CRISTINA","Female"
"ALEJANDRO IZQUIERDO","ALEJANDRO","Male"
"LUIS MEJIA","LUIS","Male"
"MARIO CRUCINI","MARIO","Male"
"JEAN IMBS","JEAN","Male"
"HAROON MUMTAZA","HAROON","Male"
"MORTEN RAVN","MORTEN","Male"
"KANDA NAKNOI","KANDA","Male"
"CEDRIC TILLE","CEDRIC","Male"
"PATRICK BOLTON","PATRICK","Male"
"JUDITH DEAN","JUDITH","Female"
"MARY LOVELY","MARY","Female"
"HUA WANG","HUA","Male"
"HAIYAN DENG","HAIYAN","Female"
"ALAN HESTON","ALAN","Male"
"ROBERT FEENSTRA","ROBERT","Male"
"MARCEL TIMMER","MARCEL","Male"
"IRENE BRAMBILLA","IRENE","Female"
"KATHERYN RUSS","KATHERYN","Female"
"JAMES HARRIGAN","JAMES","Male"
"ANTHONY VENEBLES","ANTHONY","Male"
"CASEY ICHNIOWSKI","CASEY","Male"
"ANN BARTEL","ANN","Female"
"NICOLE FORTIN","NICOLE","Female"
"JUSTIN WOLFERS","JUSTIN","Male"
"STEVEN HAIDER","STEVEN","Male"
"GARY SOLON","GARY","Male"
"SUMAN GHOSH","SUMAN","Male"
"MICHAEL WALDMAN","MICHAEL","Male"
"PETER THOMPSON","PETER","Male"
"CHINHUI JUHN","CHINHUI","Female"
"LARS LEFGREN","LARS","Male"
"CANICE PENDERGAST","CANICE","Male"
"BRUCE MEYER","BRUCE","Male"
"JAMES X. SULLIVAN","JAMES","Male"
"KEVIN M. MURPHY","KEVIN","Male"
"PAUL HEATON","PAUL","Male"
"CINDY ZHGHI","CINDY","Female"
"DAVID SCARBOROUGH","DAVID","Male"
"JUDITH HELLERSTEIN","JUDITH","Female"
"TOLGE YURET","TOLGE","Male"
"GLENN LOURY","GLENN","Male"
"KATHERINE BAICKER","KATHERINE","Female"
"SURAJEET CHAKRAVORTY","SURAJEET","Male"
"NASSER ZAKARIYA","NASSER","Male"
"FRED VARS","FRED","Male"
"CHRIS SANCHIRICO","CHRIS","Male"
"ALBERT CHOI","ALBERT","Male"
"GREG RIDGEWAY","GREG","Male"
"CRAIG DODGE","CRAIG","Male"
"IOURRI MANOVSKII","IOURRI","Male"
"JONATHAN WILLIS","JONATHAN","Male"
"JASON FABERMAN","JASON","Male"
"NICOLA PAVONI","NICOLA","Male"
"TAO WU","TAO","Male"
"LARS E.O. SVENSSON","LARS","Male"
"IGNAZIO ANGELONI","IGNAZIO","Male"
"JULIAN DI GIOVANNI","JULIAN","Male"
"JUSTIN MCCRARY","JUSTIN","Male"
"TILL VON WACHTER","TILL","Male"
"ERIC SWANSON","ERIC","Male"
"JOHN M. ROBERTS","JOHN","Male"
"OLEKSIY KRYVTSOV","OLEKSIY","Male"
"CHRISTOPHER R. KNITTEL","CHRISTOPHER","Male"
"RALF MARTIN","RALF","Male"
"ARTURO ESTRELLA","ARTURO","Male"
"HYOWOOK CHIANG","HYOWOOK","Male"
"JEONGIL SEO","JEONGIL","Male"
"LARRY HUNTER","LARRY","Male"
"NICOLE NESTORIAK","NICOLE","Female"
"RON JARMIN","RON","Male"
"CHERYL GRIM","CHERYL","Female"
"ALAN WHITE","ALAN","Male"
"CORY MONROE","CORY","Male"
"ELIZABETH DAVIS","ELIZABETH","Female"
"JULIA LANE","JULIA","Female"
"NICOLA NESTORIAK","NICOLA","Female"
"MATTHEW FREEDMAN","MATTHEW","Male"
"BRIAN MCCALL","BRIAN","Male"
"TIMOTHY PARK","TIMOTHY","Male"
"CHIP HUNTER","CHIP","Male"
"PETER B. MEYER","PETER","Male"
"MIKE HARPER","MIKE","Male"
"CAROL CORRADO","CAROL","Female"
"FREDRIK ANDERSSON","FREDRIK","Male"
"CLAIR BROWN","CLAIR","Female"
"BENJAMIN CAMPBELL","BENJAMIN","Male"
"MIKE BELZER","MIKE","Male"
"YOOKI PARK","YOOKI","Unknown"
"STAN SEDO","STAN","Male"
"ROOPE UUSITALO","ROOPE","Male"
"JUHANA VARTAINEN","JUHANA","Male"
"CANICE PRENDERGAST","CANICE","Male"
"BERTIL HOLMLUND","BERTIL","Male"
"PER-ANDERS EDIN","PE","Male"
"OSKAR NORDSTROÌˆM SKANS","OSKAR","Male"
"BRUNO CONTINI","BRUNO","Male"
"ROBERTO LEOMBRUNI","ROBERTO","Male"
"SUNIL MULANI","SUNIL","Male"
"ZHU WANG","ZHU","Male"
"XU YI","XU","Male"
"ZAUR RZAKHANOV","ZAUR","Male"
"CHIARA CRISCUOLO","CHIARA","Female"
"MATTHEW STROBECK","MATTHEW","Male"
"ADRIAN GOTTSCHALK","ADRIAN","Male"
"NANCY WALLACE","NANCY","Female"
"DONALD WALLS","DONALD","Male"
"JONAH ROCKOFF","JONAH","Male"
"STEPHEN CALABRESE","STEPHEN","Male"
"DENNIS EPPLE","DENNIS","Male"
"ILYANA KUZIEMKO","ILYANA","Female"
"VICTOR RIOS-RULL","VICTOR","Male"
"VIRGINIA SANCHEZ-MARCOS","VIRGINIA","Female"
"YAZ TERAJIMA","YAZ","Male"
"CESAIRE MEH","CESAIRE","Male"
"DON SCHLAGENHAUF","DON","Male"
"CARLOS GARRIGA","CARLOS","Male"
"MATT CHAMBERS","MATT","Male"
"MARTIN GERVAIS","MARTIN","Male"
"JIRI SLACALEK","JIRI","Male"
"HELENA SKYT NIELSEN","HELENA","Female"
"ERWAN QUINTAN","ERWAN","Male"
"DEAN CORBAE","DEAN","Male"
"THOMAS CROSSLEY","THOMAS","Male"
"FRANCISCO COVAS","FRANCISCO","Male"
"ROGER FELDMAN","ROGER","Male"
"ESTELLE JAMES","ESTELLE","Female"
"ALEJANDRA COX EDWARDS","ALEJANDRA","Female"
"JOHN RIZZO","JOHN","Male"
"LEEMORE DAFNY","LEEMORE","Female"
"DAVID DRANOVE","DAVID","Male"
"VINCENZO ATELLA","VINCENZO","Male"
"SCOTT WEISBENNER","SCOTT","Male"
"VAN V. BRANTNER","VAN","Male"
"CHRISTOPHER ADAMS","CHRISTOPHER","Male"
"JAMES B. REBITZER","JAMES","Male"
"JONATHAN C. JAVITT","JONATHAN","Male"
"LONNY REISMAN","LONNY","Male"
"RICHARD WANG","RICHARD","Male"
"PHIL DECICCA","PHIL","Male"
"JAE SONG","JAE","Male"
"JOYCE MANCHESTER","JOYCE","Female"
"ISAAC EHRLICH","ISAAC","Male"
"JINYOUNG KIM","JINYOUNG","Female"
"JASON BARRO","JASON","Male"
"KATE BUNDORF","KATE","Female"
"PERRY SINGLETON","PERRY","Male"
"KATHERINE BAIKER","KATHERINE","Female"
"MARTIN BROWN","MARTIN","Male"
"NICOLAE GARLEANU","NICOLAE","Male"
"DIMITRI VAYANOS","DIMITRI","Male"
"PIERRE-OLIVIER WEILL","PIERR","Male"
"CHRISTOPHER POLK","CHRISTOPHER","Male"
"TUOMO VUOLTEENAHO","TUOMO","Male"
"CHRISTOPHER MALLOY","CHRISTOPHER","Male"
"LASSE HEJE PEDERSEN","LASSE","Male"
"JIANPING MEI","JIANPING","Female"
"KOSE JOHN","KOSE","Male"
"ANNETTE VISSING JORGENSON","ANNETTE","Female"
"K. J. MARTIJN CREMERS","MARTIJN","Male"
"MIKLOS KOREN","MIKLOS","Male"
"KEVIN COWAN","KEVIN","Male"
"JAE SIM","JAE","Male"
"LUIS VICIERA","LUIS","Male"
"MATTEO IACOVIELLO","MATTEO","Male"
"ADLAI FISHER","ADLAI","Male"
"STAVROS PANAGEAS","STAVROS","Male"
"JOHN BOYD","JOHN","Male"
"WEI XIONG","WEI","Male"
"ALEXANDER KURSHEV","ALEXANDER","Male"
"RAMAN UPPAL","RAMAN","Male"
"RICHARD AKRESH","RICHARD","Male"
"MARIANNE SUNDSTROM","MARIANNE","Female"
"DONNA GINTHER","DONNA","Female"
"ANDERS BJORKLUND","ANDERS","Male"
"JOSEPH PRICE","JOSEPH","Male"
"JOSH ANGRIST","JOSH","Male"
"ANALIA SCHLOSSER","ANALIA","Female"
"DALTON CONLEY","DALTON","Male"
"REBECCA GLAUBER","REBECCA","Female"
"GORDON DAHL","GORDON","Male"
"META BROWN","META","Female"
"KAIVAN MUNSHI","KAIVAN","Male"
"NANCY LUKE","NANCY","Female"
"JOSH COVAL","JOSH","Male"
"DAVID SRAER","DAVID","Male"
"MITCH PETERSEN","MITCH","Male"
"JOSE LIBERTI","JOSE","Male"
"PHILIP STRAHAN","PHILIP","Male"
"MARIASSUNTA GIANNETTI","MARIASSUNTA","Female"
"STEVEN ONGENA","STEVEN","Male"
"MURILLO CAMPELLO","MURILLO","Male"
"HEITOR ALMEIDA","HEITOR","Male"
"JOSH RAUH","JOSH","Male"
"GEOFFREY TATE","GEOFFREY","Male"
"JOHN GRAHAM","JOHN","Male"
"ALAN TUCKER","ALAN","Male"
"ASIM IJAZ KHWAJA","ASIM","Male"
"PER STROMBERG","PER","Male"
"MICHAEL WEISBACH","MICHAEL","Male"
"ULF AXELSON","ULF","Male"
"TODD MILBOURN","TODD","Male"
"SERGEY CHERNENKO","SERGEY","Male"
"ARMANDO GOMES","ARMANDO","Male"
"GORDON PHILLIPS","GORDON","Male"
"ZVIKA NEEMAN","ZVIKA","Male"
"STEWART MYERS","STEWART","Male"
"MILTON HARRIS","MILTON","Male"
"RAVI SINGH","RAVI","Male"
"ARTUR RAVIV","ARTUR","Male"
"ERIC WRUCK","ERIC","Male"
"MICHAEL JENSEN","MICHAEL","Male"
"LUBOMIR P. LITOV","LUBOMIR","Male"
"VINAY B. NAIR","VINAY","Male"
"MARIASSUNTA GIANNETTTI","MARIASSUNTA","Female"
"LI JIN","LI","Male"
"AMY DITTMAR","AMY","Female"
"JAN MAHRT-SMITH","JAN","Male"
"VOJISLAV MAKSIMOVIC","VOJISLAV","Male"
"RANDALL MORCK","RANDALL","Male"
"MEGHANA AYYAGARI","MEGHANA","Female"
