author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4
Daniel Carvalho,The Impact of Bank Credit on Labor Reallocation and Aggregate Industry Productivity,University of Southern California,Jan 03 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 5 & 6",American Finance Association,Finance and the Firm's Workforce,G3,David Matsa,Northwestern University,John Haltiwanger,University of Maryland,Jonathan Parker,Massachusetts Institute of Technology,Thomas Lemieux,University of British Columbia,,,,,Daniel Carvalho,Male,,,,,,NA,NA,NA,NA,NA
Daniel Chen,The Political Economy of Beliefs: Why Fiscal and Social Conservatives/Liberals Come Hand-in-Hand,ETH Zurich,Jan 04 2016,10:15 AM,"Marriott Marquis, Pacific C",Association of Christian Economists,Religion and Social Insurance: Evidence from Across Time and Place,Z1,Daniel Hungerman,University of Notre Dame,David Yanagizawa-Drott,Harvard University,Markus Brueckner,University of Queensland,Jorg Spenkuch,Northwestern University,,,,,DANIEL CHEN,Male,,,,,,NA,NA,NA,NA,NA
Daniel Chen,"Decision-Making under the Gambler’s Fallacy: Evidence from Asylum Judges, Loan Officers, and Baseball Umpires",Toulouse Institute for Advanced Studies,Jan 04 2016,2:30 PM,"Hilton Union Square, Continental – Parlor 3",American Economic Association,Behavioral Finance,G1,Brigitte Madrian,Harvard University,,,,,,,,,,,DANIEL CHEN,Male,,,,,,NA,NA,NA,NA,NA
Daniel Diermeier,A Bargaining Model of Endogenous Procedures,University of Chicago,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 13",American Economic Association,Strategic Games,D4,Alison Watts,Southern Illinois University-Carbondale,,,,,,,,,,,DANIEL DIERMEIER,Male,,,,,,NA,NA,NA,NA,NA
Daniel Garcia-Macia,How Destructive is Innovation?,Stanford University,Jan 03 2016,10:15 AM,"Parc 55, Divisadero",Chinese Economic Association in North America/American Economic Association,"Innovation, Growth and Development (O3, O1)",,Ping Wang,Washington University-St. Louis,Been-Lon Chen,Academia Sinica,Zheng Song,Chinese University of Hong Kong,Minchung Hsu,"National Graduate Institute for Policy Studies, Japan",Douglas Almond,Columbia University,,,Daniel Garcia-Macia,Male,,,,,,NA,NA,NA,NA,NA
Daniel Gottlieb,Narrow Framing and Long-Term Care Insurance,University of Pennsylvania,Jan 05 2016,10:15 AM,"Hilton Union Square, Continental – Parlor 2",American Economic Association,Intergenerational Transfers,D1,Laurence J. Kotlikoff,Boston University,Meta Brown,Federal Reserve Bank of New York,Barbara Schone,Georgetown University,Mark O. Wilhelm,Indiana University-Purdue University Indianapolis,Robert Willis,University of Michigan,,,Daniel Gottlieb,Male,,,,,,NA,NA,NA,NA,NA
Daniel Gottlieb,The Generalized Informativeness Principle,Washington University in St Louis,Jan 03 2016,8:00 AM,"Hilton Union Square, Union Square 15",Econometric Society,Advances in Contract and Tax Theory,A1,Lars Stole,University of Chicago,,,,,,,,,,,Daniel Gottlieb,Male,,,,,,NA,NA,NA,NA,NA
Daniel Grodzicki,The Effects of Interest Rate Changes and Add-on Fee Regulation on Consumer Behavior in the U.S. Credit Card Market,Pennsylvania State University,Jan 04 2016,2:30 PM,"Hilton Union Square, Union Square 23 & 24",Industrial Organization Society,"Industrial Organization of Financial Services (L1, L8)",,Elizabeth Kiser,Federal Reserve Board,Chaehee Shin,Federal Reserve Board,Marc Rysman,Boston University,Jean Francois Houde,University of Pennsylvania,Judith Chevalier,Yale University,,,Daniel Grodzicki,Male,,,,,,NA,NA,NA,NA,NA
Daniel Hungerman,What is the Price Elasticity of Charitable Giving? Estimating (Un)Compensated Elasticities from a Tax-Credit Kink,University of Notre Dame,Jan 04 2016,2:30 PM,"Marriott Marquis, Walnut",Association for the Study of Generosity in Economics,"Taxation and Charitable Giving (D6, H2)",,Sarah Smith,University of Bristol,Marit Rehavi,University of British Columbia,Bradley Heim,Indiana University,Caroline Weber,University of Oregon,,,,,DANIEL HUNGERMAN,Male,,,,,,NA,NA,NA,NA,NA
Daniel Metzger,"“Since You’re So Rich, You Must be Really Smart”: Talent and the Finance Wage Premium",Stockholm School of Economics,Jan 03 2016,2:30 PM,"Marriott Marquis, Yerba Buena Salons 5 & 6",American Finance Association,Finance and the Firm's Workforce,G3,David Matsa,Northwestern University,John Haltiwanger,University of Maryland,Jonathan Parker,Massachusetts Institute of Technology,Thomas Lemieux,University of British Columbia,,,,,Daniel Metzger,Male,,,,,,NA,NA,NA,NA,NA
