,author,year,gender
472,Jarl Kallberg,2018,M
259,Jean-Charles Rochet,2014,M
474,Jean-Stéphane Mésonnier,2018,M
269,Jeromin Zettelmeyer,2014,M
100,Jerry Hausman,2012,M
170,Jesus Gonzalo,2013,M
178,Jesus Saurina Salas,2013,M
22,Jevgenijs Steinbuks,2011,M
492,Jialu Shen,2019,F
510,Jiangtao Li,2019,M
86,Jianpeng Deng,2012,M
186,Jihong Lee,2013,M
380,Jijun Tan,2016,
292,Jikun Huang,2015,M
415,Jinfei Sheng,2018,M
42,Jing-Zhi Huang,2011,M
133,Jingfeng Lu,2012,M
499,Jingrui Li,2019,F
442,Jingyi Zhang,2018,F
406,Jinhyuk Yoo,2016,M
320,Jiro Yoshida,2015,M
525,João Oliveira,2019,M
205,Joep Konings,2013,M
77,Johanna Storck,2011,M
340,John-Gabriel Licht,2015,M
448,Jongsub Lee,2018,M
180,Jorg Rocholl,2013,M
490,José Azar,2019,M
528,José Luis Montiel Olea,2019,M
102,Jose A. Lopez,2012,M
226,Jose Carrasco-Gallego,2014,M
412,Jose Carrasco-gallego,2016,M
83,Jose L. Fillat,2011,M
17,Jose Lopez,2011,M
350,Jose Luis Peydro,2016,M
432,Jose Maria Barrero,2018,M
348,Jose Martinez,2016,M
28,Joseé Randriamamonjy,2011,M
94,Juann Hung,2012,F
277,Jukka Pirttilä,2014,M
532,Julia Belau,2019,F
158,Julia Henly,2013,F
331,Julia Lane,2015,F
308,Julia M. Schwenkenberg,2015,F
413,Junmin Liao,2016,M
410,Junsen Zhang,2016,M
184,Junwook Chi,2013,M
496,Junyang Yin,2019,
388,Jussi Keppo,2016,M
328,K. Tamara Konetzka,2015,F
443,Kaixing Huang,2018,M
181,Kalena Cortes,2013,F
219,Kari Sigurdsson,2014,M
544,Kassu Hossiso,2019,M
541,Kebin Ma,2019,M
475,Kees van Gool,2018,M
505,Keshab Bhattarai,2019,M
159,Kipo Jimah,2013,
418,Kislaya Prasad,2018,M
88,Kose John,2012,M
367,Kristien Behrens,2016,M
253,Kristle Romero Cortes,2014,F
168,Kuo-Chiang Wei,2013,M
291,Kuochih Huang,2015,M
48,Kyung-Hong Park,2011,M
73,Kyung-Hwan Kim,2011,M
229,L. Randall Wray,2014,M
249,Léonce Ndikumana,2014,M
21,Laping Wu,2011,M
244,LaPorchia Collins,2014,M
7,Leeat Yariv,2011,F
293,Leilei Shen,2015,F
233,Leonard Kiefer,2014,M
173,Liangshu Qi,2013,F
11,Libertad González,2011,F
378,Lingxiao Zhao,2016,F
543,Liping Lu,2019,M
49,Lopo L. Rego,2011,M
101,Lorens Helmchen,2012,M
399,Louis-Philippe Rochon,2016,M
453,Lubomir Petrasek,2018,M
107,Lucija Muehlenbachs,2012,F
204,Lucija Muehlenbachs,2013,F
25,Lucjan Orlowski,2011,M
533,Lucjan T. Orlowski,2019,M
139,Luis Camara Fuertes,2012,M
30,Luis M Pinet-Peralta,2011,M
502,Luis Quintero,2019,M
396,Luise Görges,2016,F
160,M. Shahe Emran,2013,M
165,M.J. Tocci,2013,F
59,M.V. Lee Badgett,2011,F
352,M.V. Lee Badgett,2016,F
264,Malokele Nanivazo,2014,F
354,Malokele Nanivazo,2016,F
366,Manwo Ng,2016,M
16,Maoyong Fan,2011,M
285,Maoyong Fan,2015,M
363,María Bernedo,2016,F
275,Margarida Duarte,2014,F
454,Marinho Bertanha,2018,M
300,Martín Uribe,2015,M
446,Mashfiqur Khan,2018,M
521,Matias Cattaneo,2019,M
187,Matias Laryczower,2013,M
557,Maxim Massenkoff,2019,M
153,Maxim Mironov,2013,M
172,Mechthild Schrooten,2013,F
359,Mehtap Akgüҫ,2016,F
330,Mekongcho T. Metuge,2015,
479,Michaël Bikard,2018,M
387,Miguel Gómez,2016,M
148,Miguel I. Gomez,2013,M
306,Miltiadis Makris,2015,M
13,Mingjun Huang,2011,
357,Minjoon Lee,2016,M
95,Mogens Fosgerau,2012,M
421,Monica Deza,2018,F
182,Monica Garcia-Pere,2013,F
493,Monica Petrescu,2019,F
484,Moundir Lassassi,2018,M
558,Mounu Prem,2019,M
123,Mungo Ivor Wilson,2012,M
433,Munisamy Gopinath,2018,M
238,Myongjin Kim,2014,F
65,Nabamita Dutta,2011,F
515,Nabamita Dutta,2019,F
287,Nagpurnanand Prabhala,2015,M
376,Nanneh Chehras,2016,F
425,Naqun Huang,2018,F
134,Narasimhan Jegadeesh,2012,M
451,Nattavudh Powdthavee,2018,M
268,Nesse Yildiz,2014,F
281,Nicolas Ernesto Magud,2015,M
428,Nicolas Lambert,2018,M
222,Nicolas Magud,2014,M
324,Nicolas Pistolesi,2015,M
47,Nicolas Sahuguet,2011,M
365,Nirvikar Singh,2016,M
19,Niven Winchester,2011,M
524,Novica Supic,2019,M
54,Nune Hovhannisyan,2011,F
64,Nusret Cakici,2011,M
317,Odilon Camara,2015,M
481,Oleksandr Shepotylo,2018,M
289,Olivia Mitchell,2015,F
243,Ophira Vishkin,2014,
554,Orkun Saka,2019,M
545,Ottmar Edenhofer,2019,M
121,Oyvind Norli,2012,M
338,Ozgur Ince,2015,M
465,Ozlem Onaran,2018,F
71,P.J. Lamberson,2011,M
155,Paavo Monkkonen,2013,M
99,Parke Wilde,2012,M
46,Patricia A. Erickson,2011,F
161,Patricia Born,2013,F
174,Patricia Toledo,2013,F
555,Patricia Triunfo,2019,F
225,Pegaret Pichler,2014,F
364,Pei-Ju Liao,2016,F
540,Pengfei Liu,2019,M
201,Pengjie Gao,2013,M
302,Pengjie Gao,2015,M
518,Pengpeng Yue,2019,M
