"","author","year"
"186","Jihong Lee","2013"
"187","Matias Laryczower","2013"
"188","Dieynaba Tandian","2013"
"189","Yu-Chieh Hsu","2013"
"190","Shihe Fu","2013"
"191","Risto Herrala","2013"
"192","Ayse Imrohoroglu","2013"
"193","Bishnupriya Gupta","2013"
"194","Fadhel Kaboub","2013"
"195","Raul Caruso","2013"
"196","Charalampos Makatsoris","2013"
"197","Pushkar Maitra","2013"
"198","Andres Almazan","2013"
"199","Huw Pill","2013"
"200","Akpan Ekpo","2013"
"201","Pengjie Gao","2013"
"202","Hayong Yun","2013"
"203","Balázs Égert","2013"
"204","Lucija Muehlenbachs","2013"
"205","Joep Konings","2013"
"206","Shisong Qing","2013"
"207","Weining Wang","2013"
"208","Sanjai Bhagat","2013"
"209","Huijing Fu","2013"
"210","Zhichuan Li","2013"
"211","Ioanid Rosu","2013"
"212","Simon Halphen Boserup","2014"
"213","Sunjin Kim","2014"
"214","Hyungsik Roger Moon","2014"
"215","Viplav Saini","2014"
"216","Amrei Lahno","2014"
"217","André F. Veiga","2014"
"218","Rangarajan K. Sundaram","2014"
"219","Kari Sigurdsson","2014"
"220","Haizheng Li","2014"
"221","Zhenyu Lai","2014"
"222","Nicolas Magud","2014"
"223","Ejindu Ume","2014"
"224","Huaxia Rui","2014"
"225","Pegaret Pichler","2014"
"226","Jose Carrasco-Gallego","2014"
"227","Rudiger Bachman","2014"
"228","Dadhi Adhikari","2014"
"229","L. Randall Wray","2014"
"230","W.C.M. van Veen","2014"
"231","Bibek Adhikari","2014"
"232","Rozina Haque","2014"
"233","Leonard Kiefer","2014"
"234","Anzelika Zaiceva","2014"
"235","Amitrajeet Batabyal","2014"
"236","Yothin Jinjarak","2014"
"237","Donghoon Lee","2014"
"238","Myongjin Kim","2014"
"239","Seung-Gyu (Andrew) Sim","2014"
"240","Carsteb Hubensack","2014"
"241","Ata Can Bertay","2014"
"242","Tsutomu Watanabe","2014"
"243","Ophira Vishkin","2014"
"244","LaPorchia Collins","2014"
"245","Youchang Wu","2014"
"246","Hideo Owan","2014"
"247","Zhenzhen Sun","2014"
"248","B. Can Karahasan","2014"
"249","Léonce Ndikumana","2014"
"250","University of Kansas","2014"
"251","Yingdi Wang","2014"
"252","Diana Hancock","2014"
"253","Kristle Romero Cortes","2014"
"254","J David Cummins","2014"
"255","Shinichi Kamiya","2014"
"256","Codrina Rada","2014"
"257","Tunay Oguz","2014"
"258","Victor Matheson","2014"
"259","Jean-Charles Rochet","2014"
"260","A. H. van der Weijde","2014"
"261","R.J. Briggs","2014"
"262","Yulai Wan","2014"
"263","University of Memphis","2014"
"264","Malokele Nanivazo","2014"
"265","Cherly Grim","2014"
"266","Jón Steinsson","2014"
"267","Xiaoxia Shi","2014"
"268","Nesse Yildiz","2014"
"269","Jeromin Zettelmeyer","2014"
"270","Tomoé Bourdier","2014"
"271","Tanju Yorulmazer","2014"
"272","HughBoqun Wang","2014"
"273","Cédric Jean-Laurent Elie Gorinas","2014"
"274","Soohyung Lee","2014"
"275","Margarida Duarte","2014"
"276","Yingmei Cheng","2014"
"277","Jukka Pirttilä","2014"
"278","Vesile Kutlu-Koc","2014"
"279","Yeejin Jang","2014"
"280","Guofu Zhou","2014"
"281","Nicolas Ernesto Magud","2015"
"282","Zhihong Yu","2015"
"283","Anjeza Kadilli","2015"
"284","Victor Aguirregabiria","2015"
"285","Maoyong Fan","2015"
"286","Ugur Lel","2015"
"287","Nagpurnanand Prabhala","2015"
"288","Bochao Zhang","2015"
"289","Olivia Mitchell","2015"
"290","Yin-Wong Cheung","2015"
"291","Kuochih Huang","2015"
"292","Jikun Huang","2015"
"293","Leilei Shen","2015"
"294","Yongzheng Liu","2015"
"295","Ivan Moscati","2015"
"296","Risikat Oladoyin S. Dauda","2015"
"297","Sunčica Vujić","2015"
"298","Pingfan Hong","2015"
"299","Jan-Egbert Sturm","2015"
"300","Martín Uribe","2015"
"301","Youqing Fan","2015"
"302","Pengjie Gao","2015"
"303","Shuichiro Nishioka","2015"
"304","Debdulal Mallick","2015"
"305","Guofang Huang","2015"
"306","Miltiadis Makris","2015"
"307","Abhiroop Mukhopadhyay","2015"
"308","Julia M. Schwenkenberg","2015"
"309","Tarjei Havnes","2015"
"310","Tuomas Pekkarinen","2015"
"311","Ivan Fernandez-Val","2015"
"312","Stephan Lauermann","2015"
"313","Geetesh Bhardwaj","2015"
"314","Abderrezak Benhabib","2015"
"315","R.V. Bhavani","2015"
"316","Suting Hong","2015"
"317","Odilon Camara","2015"
"318","Yougou Zhang","2015"
"319","Zhongzhi Song","2015"
"320","Jiro Yoshida","2015"
"321","Sudipta Sarangi","2015"
"322","Shian-Yu Liao","2015"
"323","Ching-to Albert Ma","2015"
"324","Nicolas Pistolesi","2015"
"325","A. Mark Fendrick","2015"
"326","Danielken Molina","2015"
"327","Dong-Min Rieu","2015"
"328","K. Tamara Konetzka","2015"
"329","Almas Heshmati","2015"
"330","Mekongcho T. Metuge","2015"
"331","Julia Lane","2015"
"332","Yildiray Yildirim","2015"
"333","Qun Zhang","2015"
"334","Clément de Chaisemartin","2015"
"335","Avihai Lifschitz","2015"
"336","Cléo Chassonnery-Zaigouche","2015"
"337","Hoai-Luu Nguyen","2015"
"338","Ozgur Ince","2015"
"339","Prakarsh Singh","2015"
"340","John-Gabriel Licht","2015"
"341","Shunsuke Managi","2015"
"342","Diana Salas Coronado","2015"
"343","Sheen S. Levine","2015"
"344","F. Gregory Hayden","2015"
"345","Ivan Jaccard","2015"
"346","Yonghong An","2015"
"347","Daehyun Kim","2016"
"348","Jose Martinez","2016"
"349","Zhenyu Wang","2016"
"350","Jose Luis Peydro","2016"
"351","Guangliang Yang","2016"
"352","M.V. Lee Badgett","2016"
