"","author","year"
"185","Jose-Maria Fernandez","2013"
"186","Espen Moen","2013"
"187","Beia Spiller","2013"
"188","Damba Lkhagvasuren","2013"
"189","Julia I. Lane","2013"
"190","Viridiana Garcia","2013"
"191","Tomas Rodriguez Barraquer","2014"
"192","Sohnke m Bartram","2014"
"193","Dakshina G. De Silva","2014"
"194","Simon Gervais","2014"
"195","Baolian Wang","2014"
"196","Jerry Tsai","2014"
"197","Jean-Sebastien Fontaine","2014"
"198","Avanidhar Subrahmanyam","2014"
"199","Jun-Ji Shih","2014"
"200","H. Holly Wang","2014"
"201","Xiaobing Feng","2014"
"202","Beom Jun Kim","2014"
"203","M. Udara Peiris","2014"
"204","Vilsa Curto","2014"
"205","T.C.C. Lai","2014"
"206","C. McInnis-Bowers","2014"
"207","Jong-Ho Kim","2014"
"208","YinWong Cheung","2014"
"209","Kyungmin Kim","2014"
"210","University of Hull","2014"
"211","Sushanta K. Mallick","2014"
"212","Madanmohan Ghosh","2014"
"213","Baozhong Yang","2014"
"214","Jafar M. Olimov","2014"
"215","Haichao Fan","2014"
"216","Alpay Filiztekin","2014"
"217","Nooman Rebei","2014"
"218","Xuguang Sheng","2014"
"219","Andres Fernandez","2014"
"220","Yahong Zhang","2014"
"221","Jee-Yeon K. Lehmann","2014"
"222","Merih Sevilir","2014"
"223","Shihe Fu","2014"
"224","Yiseon Yoo","2014"
"225","Jungwon Yeo","2014"
"226","Ivan Jaccard","2014"
"227","Thouraya Triki","2014"
"228","Kerk Phillips","2014"
"229","J Tyler Leverty","2014"
"230","Raimond Maurer","2014"
"231","H. E. Frech, III","2014"
"232","Cesar Calderon","2014"
"233","Yoonseok Choi","2014"
"234","Ines Zapf","2014"
"235","Pim Heijnen","2014"
"236","V.A.C. van den Berg","2014"
"237","Yeon-Koo Che","2014"
"238","Rajashri Chakrabarti","2014"
"239","Björn Tyrefors-Hinnerich","2014"
"240","Zacharias Sautner","2014"
"241","Min-Dong Paul Lee","2014"
"242","J. Michael McWilliams","2014"
"243","Tin-Chun Lin","2014"
"244","Esben Schultz","2014"
"245","S. Brock Blomberg","2014"
"246","Shushanik Hakobyan","2014"
"247","J. Mulherin","2014"
"248","Jesus Hernandez","2014"
"249","Stephan Nuesch","2014"
"250","Samuli Knüpfer","2014"
"251","Vanitha Raguratham","2014"
"252","Françoise Carré","2014"
