author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,
Carolina Villegas-Sanchez,Productivity versus Competition Effects of Foreign Investment Within and Across Countries,University of Houston,Jan 08 2012,8:00 AM,"Hyatt Regency, McCormick",Econometric Society,"Trade, FDI and Recessions",F3,Peter Schott,Yale University,,,,,,,,,,,Carolina Villegas-Sanchez,Female,,,,,,NA,NA,NA,NA,NA,
Caroline Freund,China Trade Response to Exchange Rate,World Bank,Jan 06 2012,8:00 AM,"Hyatt Regency, Atlanta",American Economic Association,"Issues in Trade, Growth, and Macroeconomics",F4,Jing Zhang,University of Michigan,,,,,,,,,,,CAROLINE FREUND,Female,,,,,,NA,NA,NA,NA,NA,
Caroline Hoxby,The Management of Universities,Stanford University,Jan 07 2012,2:30 PM,"Hyatt Regency, Regency A",American Economic Association,Education Management and Economic Growth,L3,Stephen Machin,University College London,,,,,,,,,,,CAROLINE HOXBY,Female,,,,,,NA,NA,NA,NA,NA,
Carolyn Fischer,Alternative Climate Policies and Intertemporal Emissions Leakage,Resources for the Future,Jan 06 2012,10:15 AM,"Hyatt Regency, Columbus IJ",American Economic Association,Carbon Leakage,Q5,Lawrence Goulder,Stanford University,"Roberton Williams, III",University of Maryland,Ujjayant Chakravorty,University of Alberta,Brian Copeland,University of British Columbia,Mark Jacobsen,University of California-San Diego,,,CAROLYN FISCHER,Female,,,,,,NA,NA,NA,NA,NA,
Casey Rothschild,Optimal Taxation with Rent-Seeking,Wellesley College,Jan 08 2012,1:00 PM,"Hyatt Regency, Hong Kong",American Economic Association,Tax Incidence,H2,Jennifer Gravelle,Congressional Budget Office,,,,,,,,,,,Casey Rothschild,Male,,,,,,NA,NA,NA,NA,NA,
Catherine Koch,Do Banks Benefit from Internationalization? Revisiting the Market Power-Risk Nexus,University of Zurich,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus IJ",American Economic Association,The Economic Implact of Global Banking,G1,Alexander Popov,European Central Bank,Jorg Rocholl,European School of Management and Technology,Claudia Buch,University of Tubingen,Steven Ongena,Tilburg University,Florian Heider,European Central Bank,,,Catherine Koch,Female,,,,,,NA,NA,NA,NA,NA,
Catherine Tucker,"Technology, Age, and Shifting Privacy Concerns",Massachusetts Institute of Technology,Jan 07 2012,8:00 AM,"Hyatt Regency, Regency C",American Economic Association,"Digitization and New Research Directions: Copyright, Privacy, and User-Generated Content",O3,Joel Waldfogel,University of Minnesota,,,,,,,,,,,CATHERINE TUCKER,Female,,,,,,NA,NA,NA,NA,NA,
Catherine Tucker,Social Advertising,Massachusetts Institute of Technology,Jan 08 2012,10:15 AM,"Hyatt Regency, Wrigley",Econometric Society,Economics of Internet Markets,L1,Jonathan Levin,Stanford University,Preston McAfee,Research Yahoo!,Jonathan Baker,American Universityi,,,,,,,CATHERINE TUCKER,Female,,,,,,NA,NA,NA,NA,NA,
Catherine Tucker,Privacy Regulation and Market Structure,Massachusetts Institute of Technology,Jan 07 2012,8:00 AM,"Hyatt Regency, Buckingham",American Economic Association,"Quality, Information, and Regulation",L5,Marc Santugini,"Institute of Applied Economics and CIRPEE, HEC Montreal",Kevin Pflum,Ohio State University,Aditi Sengupta,Southern Methodist University,Marc Santugini,"Institute of Applied Economics and CIRPEE, HEC Montreal",James Campbell,University of Toronto,,,CATHERINE TUCKER,Female,,,,,,NA,NA,NA,NA,NA,
Catherine Wolfram,Dynamic Pricing of Electricity,University of California-Berkeley,Jan 06 2012,2:30 PM,"Hyatt Regency, Grand Ballroom A",American Economic Association,In Remembrance of Alfred E. Kahn: Fred Kahn’s Impact on Deregulation and Regulatory Reform,L5,Paul Joskow,Alfred P. Sloan Foundation and Massachusetts Institute of Technology,Sam Peltzman,University of Chicago,Roger Noll,Stanford University,,,,,,,Catherine Wolfram,Female,NBER Catherine Wolfram,,,,,NA,NA,NA,NA,NA,
Catherine Wolfram,Dynamic Pricing of Electricity,University of California-Berkeley,Jan 06 2012,2:30 PM,"Hyatt Regency, Grand Ballroom A",American Economic Association,In Remembrance of Alfred E. Kahn: Fred Kahn’s Impact on Deregulation and Regulatory Reform,L5,Paul Joskow,Alfred P. Sloan Foundation and Massachusetts Institute of Technology,Sam Peltzman,University of Chicago,Roger Noll,Stanford University,,,,,,,CATHERINE WOLFRAM,Female,,,,,,NA,NA,NA,NA,NA,
Cem Demiroglu,Works of Friction? Originator-Sponsor Affiliation and Losses on Mortgage-Backed Securities,University of Florida,Jan 08 2012,10:15 AM,"Swissotel, Zurich E",American Finance Association,Real Estate and Mortgages,G2,Timothy Riddiough,University of Wisconsin,Tomasz Piskorski,Columbia Business School,Robert Van Order,University of Michigan-Ann Arbor,Nancy Wallace,University of California-Berkeley,,,,,Cem Demiroglu,Male,,,,,,NA,NA,NA,NA,NA,
Cesare Fracassi,Lost in Translation? The Effect of Cultural Values on Mergers Around the World,University of Texas-Austin,Jan 06 2012,2:30 PM,"Hyatt Regency, Wrigley",Association of Financial Economists,M&As around the World,G3,Michael Weisbach,Ohio State University,Isil Erel,Ohio State University,Ronald Masulis,Australian Business School,S. Abraham David,Rutgers University and Yeshiva University,Alex Edmans,University of Pennsylvania,,,Cesare Fracassi,Male,,,,,,NA,NA,NA,NA,NA,
Cesare Fracassi,Shopping for Information? Diversification and the Network of Industries,University of Texas-Austin,Jan 07 2012,10:15 AM,"Swissotel, Zurich G",American Finance Association,"Mergers, Acquisitions and Buyouts 2",G3,David Robinson,Duke University,Randall Morck,University of Alberta,Gordon Phillips,University of Maryland,Amit Seru,University of Chicago,Kenneth Ahern,University of Michigan,,,Cesare Fracassi,Male,,,,,,NA,NA,NA,NA,NA,
Chad Syverson,Once and Done: Leveraging Behavioral Economics to Increase the Bottom Line of Non-Profits,University of Chicago,Jan 06 2012,10:15 AM,"Hyatt Regency, Crystal A",American Economic Association,Experiments in Firms,M5,Antoinette Schoar,Massachusetts Institute of Technology,,,,,,,,,,,CHAD SYVERSON,Male,,,,,,NA,NA,NA,NA,NA,
Chad Syverson,The Slow Growth of New Plants: Learning about Demand?,University of Chicago,Jan 07 2012,10:15 AM,"Hyatt Regency, Regency D",American Economic Association,Innovation and Growth,O4,Daron Acemoglu,Massachusetts Institute of Technology,,,,,,,,,,,CHAD SYVERSON,Male,,,,,,NA,NA,NA,NA,NA,
Chad Syverson,Using Team-Based Incentive Schemes to Induce Weight Loss: Evidence from a Large Scale Natural Field Experiment,University of Chicago,Jan 07 2012,12:30 PM,"Hyatt Regency, Buckingham",Health Economics Research Organization,Behavioral Economics and Health,I1,Michael Chernew,Harvard University,Kate Bundorf,Stanford University,Leslie John,Harvard University,Justin Sydnor,Universit of Wisconsin,,,,,CHAD SYVERSON,Male,,,,,,NA,NA,NA,NA,NA,
Chang-Tai Hsieh,The Allocation of Talent and U.S. Economic Growth,University of Chicago,Jan 07 2012,10:15 AM,"Hyatt Regency, Regency D",American Economic Association,Innovation and Growth,O4,Daron Acemoglu,Massachusetts Institute of Technology,,,,,,,,,,,CHANG-TAI HSIEH,Male,Â  CHANG-TAI HSIEH,,,,,NA,NA,NA,NA,NA,
Chang-Tai Hsieh,A Global View of Productivity Growth in China,University of Chicago,Jan 08 2012,10:15 AM,"Hyatt Regency, Skyway 260",American Economic Association,"Structural Change, Growth and Welfare in the Global Economy",F4,Kei-Mu Yi,Federal Reserve Bank of Minneapolis,Rachel Ngai,London School of Economics,Diego Restuccia,University of Toronto,Francisco Buera,Federal Reserve Bank of Minneapolis,Michael Waugh,New York University,,,CHANG-TAI HSIEH,Male,Â  CHANG-TAI HSIEH,,,,,NA,NA,NA,NA,NA,
Chao Fu,Capital Punishment and Deterrence: Understanding Disparate Results,University of Wisconsin-Madison,Jan 06 2012,10:15 AM,"Hyatt Regency, Regency C",American Economic Association,Model Selection,C5,Kenneth Wolpin,University of Pennsylvania,Michael Keane,University of Technology Sydney,Tao Zha,University of Minnesota,,,,,,,Chao Fu,Male,,,,,,NA,NA,NA,NA,NA,
Chao Wei,To Scrap or Not to Scrap: A Dynamic Discrete Choice Model of Vehicle Scrappage,George Washington University,Jan 06 2012,2:30 PM,"Hyatt Regency, Columbus G",American Economic Association,Environmental Economics,Q5,Richard V. Butler,Trinity University,,,,,,,,,,,Chao Wei,Female,,,,,,NA,NA,NA,NA,NA,
Charles Carlstrom,Privately Optimal Contracts and Sub-optimal Outcomes in a Model of Agency Costs,Federal Reserve Bank of Cleveland,Jan 07 2012,8:00 AM,"Hyatt Regency, Toronto",American Economic Association,Credit Frictions and Time-Variant Uncertainty,E2,Nathan Balke,Southern Methodist University and Federal Reserve Bank of Dallas,Enrique Martinez-Garcia,Federal Reserve Bank of Dallas,Sami Alpanda,Bank of Canada,Egon Zakrajsek,Federal Reserve Board,Nathan Balke,Southern Methodist University and Federal Reserve Bank of Dallas,,,CHARLES CARLSTROM,Male,,,,,,NA,NA,NA,NA,NA,
Charles Engel,Real Exchange Rate Adjustment In and Out of the Eurozone,University of Wisconsin-Madison,Jan 07 2012,10:15 AM,"Hyatt Regency, Regency B",American Economic Association,Currency Unions and Macroeconomic Policies,F4,Kenneth West,University of Wisconsin,Brent Neiman,University of Chicago,Jordi Gali,Universitat Pompeu Fabra,Andrew Rose,University of California-Berkeley,,,,,CHARLES ENGEL,Male,,,,,,NA,NA,NA,NA,NA,
Charles I. Jones,The Allocation of Talent and U.S. Economic Growth,Stanford University,Jan 07 2012,10:15 AM,"Hyatt Regency, Regency D",American Economic Association,Innovation and Growth,O4,Daron Acemoglu,Massachusetts Institute of Technology,,,,,,,,,,,CHARLES I. JONES,Male,,,,,,NA,NA,NA,NA,NA,
Charles M. Jones,Shorting at Close Range: A Tale of Two Types,Columbia University,Jan 08 2012,8:00 AM,"Swissotel, Zurich E",American Finance Association,"Liquidity, Trading, and Frictions - Empirical",G1,Albert Kyle,University of Maryland,TBA TBA,TBA,,,,,,,,,CHARLES M. JONES,Male,CHARLES JONES,,,,,NA,NA,NA,NA,NA,
Charles Mason,Why Do Firms Hold Oil Stockpiles?,University of Wyoming,Jan 06 2012,8:00 AM,"Swissotel, Vevey 1",Association of Environmental & Resource Economists,Fossil Fuel and Transportation,Q4,Stephen Holland,University of North Carolina-Greensboro,Jonathan Hughes,University of Colorado,James Sallee,University of Chicago,Shanjun Lee,Cornell University,Stephen Holland,University of North Carolina-Greensboro,,,CHARLES MASON,Male,,,,,,NA,NA,NA,NA,NA,
Charles Plott,Marshall and Walras: The Dynamics of Equilibration in the Continuous Double Auction Market,Caltech,Jan 07 2012,12:30 PM,"Hyatt Regency, Hong Kong",Economic Science Association,Market Dynamics,D4,Ryan Oprea,University of British Columbia,,,,,,,,,,,CHARLES PLOTT,Male,,,,,,NA,NA,NA,NA,NA,
Charles Sprenger,Uncertainty Equivalents: Testing the Limits of the Independence Axiom,Stanford University,Jan 06 2012,8:00 AM,"Hyatt Regency, Regency B",American Economic Association,The Foundations of Decision Making: Recent Developments,D8,Tatiana Kornienko,University of Edinburgh,Colin Camerer,California Institute of Technology,Emir Kamenica,University of Chicago,Luis Rayo,University of Utah,Marciano Siniscalchi,Northwestern University,,,Charles Sprenger,Male,,,,,,NA,NA,NA,NA,NA,
Chen Lin,Corporate Ownership Structure and Bank Loan Syndicate Structure,Chinese University of Hong Kong,Jan 06 2012,10:15 AM,"Swissotel, Zurich B",American Finance Association,Corporate Governance (Empirical) 2,G3,Michael Weisbach,Ohio State University,Mara Faccio,Purdue University,Kai Li,University of British Columbia,Taylor Nadauld,Brigham Young University,,,,,Chen Lin,Male,,,,,,NA,NA,NA,NA,NA,
Chiara Farronato,Sales Mechanisms in Online Markets: What Happened to Internet Auctions?,Stanford University,Jan 08 2012,10:15 AM,"Hyatt Regency, Wrigley",Econometric Society,Economics of Internet Markets,L1,Jonathan Levin,Stanford University,Preston McAfee,Research Yahoo!,Jonathan Baker,American Universityi,,,,,,,Chiara Farronato,Female,,,,,,NA,NA,NA,NA,NA,
Chong Xiang,"Offshoring, Transition, and Training: Evidence from Danish Matched Worker-Firm Data",Purdue University,Jan 07 2012,8:00 AM,"Hyatt Regency, Crystal A",American Economic Association,Trade and Labor Markets: Evidence from Matched Employer-Employee Data,F1,Robert Feenstra,University of California-Davis,Oleg Itskhoki,Princeton University,Mine Z. Senses,Johns Hopkins University,Kerem Cosar,University of Chicago,Marc Muendler,University of California-San Diego,,,Chong Xiang,Male,,,,,,NA,NA,NA,NA,NA,
Chris Timmins,A Theory-Based Approach to Hedonic Price Regressions with Time-Varying Unobserved Product Attributes: The Price of Pollution,Duke University,Jan 07 2012,12:30 PM,"Hyatt Regency, Grand Suite 5",Korea-America Economic Association,Recent Developments in Applied Microeconomics,D4,Byung-Joo Lee,University of Notre Dame,,,,,,,,,,,Chris Timmins,Male,,,,,,NA,NA,NA,NA,NA,
Christian Fons-Rosen,Productivity versus Competition Effects of Foreign Investment Within and Across Countries,Universitat Pompeu Fabra,Jan 08 2012,8:00 AM,"Hyatt Regency, McCormick",Econometric Society,"Trade, FDI and Recessions",F3,Peter Schott,Yale University,,,,,,,,,,,Christian Fons-Rosen,Male,,,,,,NA,NA,NA,NA,NA,
Christian Julliard,What is the Consumption-CAPM Missing? An Information-Theoretic Framework for the Analysis of Asset Pricing Models,London School of Economics & Political Science,Jan 07 2012,10:15 AM,"Swissotel, Zurich E",American Finance Association,Equity Risk Premium,G1,Wayne Ferson,Boston College,John Heaton,University of Chicago,Paul Schultz,University of Notre Dame,Timothy Simin,Pennsylvania State University,,,,,CHRISTIAN JULLIARD,Male,,,,,,NA,NA,NA,NA,NA,
Christian Merkl,Selective Hiring and Optimal Labor Market Policy,University of Erlangen-Nuremberg and Kiel Institute,Jan 06 2012,8:00 AM,"Hyatt Regency, Wright",Econometric Society,Macroeconomics of Labor Markets,J6,#NAME?,,,,,,,,,,,,CHRISTIAN MERKL,Male,,,,,,NA,NA,NA,NA,NA,
Christian Opp,Optimal Rating Contingent Regulation,University of Pennsylvania,Jan 06 2012,2:30 PM,"Hyatt Regency, Columbus CD",American Economic Association,Credit Rating Agencies: Incentives and Regulation,G2,Laura Veldkamp,New York University,Jonathan Parker,Northwestern University,Patrick Bolton,Columbia University,Zhiguo He,University of Chicago,Samuel Lee,New York University,,,Christian Opp,Male,,,,,,NA,NA,NA,NA,NA,
Christopher Timmins,Does the Quality of Public Transit Affect Commuters' Response to Gasoline Price Changes?,Duke University,Jan 06 2012,8:00 AM,"Swissotel, Vevey 1",Association of Environmental & Resource Economists,Fossil Fuel and Transportation,Q4,Stephen Holland,University of North Carolina-Greensboro,Jonathan Hughes,University of Colorado,James Sallee,University of Chicago,Shanjun Lee,Cornell University,Stephen Holland,University of North Carolina-Greensboro,,,CHRISTOPHER TIMMINS,Male,,,,,,NA,NA,NA,NA,NA,
Christopher Woodruff,Searching for the Source of Savings: Deposit Collectors in Sri Lanka,University of Warwick,Jan 08 2012,1:00 PM,"Hyatt Regency, Acapulco",American Economic Association,Experiments on Household and Business Finance,O1,Nathan Fiala,World Bank,Nathan Fiala,World Bank,Christopher Woodruff,University of Warwick,Bilal Zia,World Bank,Xavier Gine,World Bank,,,Christopher Woodruff,Male,,,,,,NA,NA,NA,NA,NA,
Cindy Soo,How Financial Literacy Affects Household Wealth Accumulation,University of Pennsylvania,Jan 06 2012,10:15 AM,"Hyatt Regency, Regency A",American Economic Association,The Effects of Financial Education and Financial Literacy,A2,B. Douglas Bernheim,Stanford University,Justine Hastings,Brown University,William Walstad,University of Nebraska-Lincoln,Urvi Neelakantan,Federal Reserve Bank of Richmond,Annamaria Lusardi,George Washington University,,,Cindy Soo,Female,,,,,,NA,NA,NA,NA,NA,
Claudia Ruiz Ortega,From Pawn Shops to Banks: The Impact of Formal Credit on Informal Households,University of California-Los Angeles,Jan 06 2012,2:30 PM,"Hyatt Regency, Hong Kong",American Economic Association,Alternative Credit and Consumer Rationality,G2,Marianne Bertrand,Chicago Booth School of Business,Stefano DellaVigna,University of California-Berkeley,Mark Jenkins,University of Pennsylvania,Annamaria Lusardi,Dartmouth College,Anna Paulson,Federal Reserve Bank of Chicago,,,Claudia Ruiz Ortega,Female,,,,,,NA,NA,NA,NA,NA,
Claudio Ferraz,Corrupting Learning: Evidence from Missing Federal Education Funds in Brazil,PUC-Rio,Jan 08 2012,10:15 AM,"Hyatt Regency, Columbus EF",American Economic Association,Corruption,O1,Sendhil Mullainathan,Harvard University,Paul Niehaus,University of California-San Diego,Claudio Ferraz,PUC-Rio,Gustavo Bobonis,University of Toronto,Mushfiq Mobarak,Yale School of Management,Sandip Sukhtankar,Dartmouth College,CLAUDIO FERRAZ,Male,,,,,,NA,NA,NA,NA,NA,
Claudio Tebaldi,The Relative Leverage Premium,Bocconi University,Jan 07 2012,2:30 PM,"Swissotel, Zurich B",American Finance Association,Asset Pricing Theory 2,G1,Pietro Veronesi,University of Chicago,Dimitri Vayanos,London School of Economics,Juhani Linnainmaa,University of Chicago,Vito Gala,London Business School,Andrea L. Eisefeldt,University of California-Los Angeles,,,Claudio Tebaldi,Male,,,,,,NA,NA,NA,NA,NA,
Clemens Sialm,Complex Mortgages,University of Texas-Austin,Jan 08 2012,10:15 AM,"Swissotel, Zurich E",American Finance Association,Real Estate and Mortgages,G2,Timothy Riddiough,University of Wisconsin,Tomasz Piskorski,Columbia Business School,Robert Van Order,University of Michigan-Ann Arbor,Nancy Wallace,University of California-Berkeley,,,,,CLEMENS SIALM,Male,,,,,,NA,NA,NA,NA,NA,
Clemens Sialm,Spillover Effects in Mutual Fund Companies,University of Texas-Austin,Jan 06 2012,10:15 AM,"Swissotel, Zurich G",American Finance Association,Mutual Fund Incentives,G2,Lubos Pastor,University of Chicago,Utpal Bhattacharya,Indiana University-Bloomington,Pedro Matos,University of Southern California,Bing Liang,University of Massachusetts-Amherst,,,,,CLEMENS SIALM,Male,,,,,,NA,NA,NA,NA,NA,
Clement Joubert,The value of remarriage: welfare effects of divorce legalization,University of North Carolina-Chapel Hill,Jan 06 2012,8:00 AM,"Hyatt Regency, Columbus IJ",American Economic Association,Empirical Labor Economics (J),,Petra Todd,University of Pennsylvania,,,,,,,,,,,Clement Joubert,Male,,,,,,NA,NA,NA,NA,NA,
Clifford Winston,,Brookings Institution,Jan 06 2012,2:30 PM,"Hyatt Regency, Grand Ballroom A",American Economic Association,In Remembrance of Alfred E. Kahn: Fred Kahn’s Impact on Deregulation and Regulatory Reform,L5,Paul Joskow,Alfred P. Sloan Foundation and Massachusetts Institute of Technology,Sam Peltzman,University of Chicago,Roger Noll,Stanford University,,,,,,,Clifford Winston,Male,,,,,,NA,NA,NA,NA,NA,
Colin Mayer,Regulatory Sanctions and Reputational Damage in Financial Markets,University of Oxford,Jan 06 2012,10:15 AM,"Swissotel, Zurich E",American Finance Association,Financial Regulation and Policy,G2,Chester Spatt,Carnegie Mellon University,Stewart Mayhew,Cornerstone Research,Cindy Alexander,U.S. Securities and Exchange Commission,Brett Green,Northwestern University and University of California-Berkeley,Francesco Sangiorgi,Stockholm School of Economics,,,COLIN MAYER,Male,,,,,,NA,NA,NA,NA,NA,
Colleen Flaherty Manchester,What’s My Account Really Worth? The Effect of Lifetime Income Disclosure on Retirement Savings,University of Minnesota,Jan 08 2012,8:00 AM,"Hyatt Regency, Toronto",American Economic Association,Informing Household Saving Decisions: Plan Features and Interventions,H3,Annamaria Lusardi,Dartmouth College,James Choi,Yale University,Scott Weisbenner,University of Illinois,Anya C. Savikhin,University of Chicago,,,,,COLLEEN FLAHERTY MANCHESTER,Female,,,,,,NA,NA,NA,NA,NA,
Costas Arkolakis,Staggered Adjustments and Trade Dynamics,Yale University,Jan 06 2012,2:30 PM,"Hyatt Regency, Regency C",American Economic Association,International Trade and Macroeconomics,F4,Jonathan Eaton,Pennsylvania State University,Kim Ruhl,New York University,Brent Neiman,University of Chicago,George Alessandria,Federal Reserve Bank of Philadelphia,,,,,COSTAS ARKOLAKIS,Male,,,,,,NA,NA,NA,NA,NA,
Craig Doidge,The U.S. Left Behind: The Rise of IPO Activity Around the World,University of Toronto,Jan 07 2012,2:30 PM,"Swissotel, Zurich G",American Finance Association,Law and Finance,G3,Vojislav Maksimovic,University of Maryland,Jay Ritter,University of Florida,Josh Lerner,Harvard University,B. Espen Eckbo,Dartmouth College,Tracy Wang,University of Minnesota-Twin Cities,,,CRAIG DOIDGE,Male,,,,,,NA,NA,NA,NA,NA,
Craig Doidge,"Taxes, Valuation, and Organizational Structure",University of Toronto,Jan 08 2012,8:00 AM,"Swissotel, Zurich B",American Finance Association,Capital Structure and Firm Organization,G3,Antoinette Schoar,Massachusetts Institute of Technology,Ilya Strebulaev,Stanford University,James Hines,University of Michigan Law School,Jarrad Harford,University of Washington,Yaniv Grinstein,Cornell University,,,CRAIG DOIDGE,Male,,,,,,NA,NA,NA,NA,NA,
Craig Garthwaite,The Doctor Might See You Now: The Supply Side Effects of Public Health Insurance Expansions,Northwestern University,Jan 08 2012,10:15 AM,"Hyatt Regency, Columbian",International Health Economics Association,The Economics of Health Care Reform and Technological Change,I1,Mark Duggan,University of Pennsylvania,Heidi Williams,Massachusetts Institute of Technology,Kosali Simon,Indiana University,Ben Handel,University of California-Berkeley,Jon Kolstad,University of Pennsylvania,,,Craig Garthwaite,Male,,,,,,NA,NA,NA,NA,NA,
Craig Olson,Teacher Pay and Health Benefits: Evidence from Wisconsin and Illinois,University of Illinois-Urbana-Champaign,Jan 07 2012,10:15 AM,"Palmer House Hilton, Salons 7-9",Labor & Employment Relations Association,The Great Debate about the Public Sector,J1,"David Lewin, University of California-Los Angeles, and Harry Katz",Cornell University,Bonnie Castrey,Mediator/Arbitrator,Lisa M. Lynch,Brandeis University,,,,,,,Craig Olson,Male,,,,,,NA,NA,NA,NA,NA,
Cristina Arellano,Financial Markets and Fluctuations in Uncertainty,Federal Reserve Bank of Minneapolis,Jan 08 2012,10:15 AM,"Hyatt Regency, Columbus IJ",American Economic Association,Does Uncertainty Matter for Business Cycles?,E3,Giuseppe Moscarini,Yale University,,,,,,,,,,,CRISTINA ARELLANO,Female,,,,,,NA,NA,NA,NA,NA,
Cristina Arellano,Default and the Maturity Structure in Sovereign Bonds,Federal Reserve Bank of Minneapolis,Jan 07 2012,8:00 AM,"Hyatt Regency, Field",Econometric Society,Sovereign Bond Risk,F3,Sergio Rebelo,Northwestern University,Mark Aguiar,University of Rochester,Adrien Verdelhan,Massachusetts Institute of Technology,Philipp Schnabl,New York University,Anna Cieslak,Northwestern University,,,CRISTINA ARELLANO,Female,,,,,,NA,NA,NA,NA,NA,
Cristina Arellano,Linkages across Sovereign Debt Markets,Federal Reserve Bank of Minneapolis,Jan 06 2012,2:30 PM,"Hyatt Regency, Regency C",American Economic Association,International Trade and Macroeconomics,F4,Jonathan Eaton,Pennsylvania State University,Kim Ruhl,New York University,Brent Neiman,University of Chicago,George Alessandria,Federal Reserve Bank of Philadelphia,,,,,CRISTINA ARELLANO,Female,,,,,,NA,NA,NA,NA,NA,
Cynthia Kinnan,"Kinship and Financial Networks, Formal Financial Access and Risk Reduction",Northwestern University,Jan 07 2012,10:15 AM,"Hyatt Regency, Toronto",American Economic Association,Family Structure and Intra-household Bargaining: Causes and Consequences,Y9,Erica Field,Duke University,Santosh Anagol,University of Pennsylvania,Elizabeth Brainard,Brandeis University,Margaret McConnell,Harvard University,Nancy Qian,Yale University,,,Cynthia Kinnan,Female,,,,,,NA,NA,NA,NA,NA,
Dalida Kadyrzhanova,"Agency Costs of Idiosyncratic Volatility, Corporate Governance, and Investment",University of Maryland,Jan 08 2012,1:00 PM,"Swissotel, Zurich E",American Finance Association,Corporate Governance (Empirical) 1,G3,Jeffrey Coles,Arizona State University (ASU),Christa Bouwman,Case Western Reserve University,Artyom Durnev,McGill University,Dirk Jenter,Stanford University,Henri Servaes,London Business School,,,DALIDA KADYRZHANOVA,Female,,,,,,NA,NA,NA,NA,NA,
Dana Goldman,Drug Shopping and Use in the Donut Hole,University of Southern California,Jan 07 2012,2:30 PM,"Hyatt Regency, Crystal A",Health Economics Research Organization/American Economic Association,Medicare and Prescription Drugs,I1,Donald Yett,University of Southern California,Mark Duggan,University of Pennsylvania,Martin Gaynor,Carnegie Mellon University,Jay Bhattacharya,Stanford University,,,,,DANA GOLDMAN,Male,,,,,,NA,NA,NA,NA,NA,
Dana Kiku,"The Good, Bad, and Volatility Beta: A Generalized CAPM",University of Pennsylvania,Jan 08 2012,10:15 AM,"Swissotel, Zurich C",American Finance Association,Macro Finance,G1,Amir Yaron,University of Pennsylvania,Stavros Panageas,University of Chicago,Stijn Van Nieuwerburgh,New York University,Lars Lochstoer,Columbia University,Hanno Lustig,University of California-Los Angeles,,,Dana Kiku,Female,,,,,,NA,NA,NA,NA,NA,
Daniel Carvalho,Lending Relationships and the Effect of Bank Distress: Evidence from the 2007-2008 Financial Crisis,University of Southern California,Jan 06 2012,8:00 AM,"Hyatt Regency, Field",Econometric Society,Credit Supply During the Financial Crisis,G0,Amir Sufi,University of Chicago,Manju Puri,Duke University,Toni Whited,University of Rochester,Philip Strahan,Boston College,,,,,Daniel Carvalho,Male,,,,,,NA,NA,NA,NA,NA,
Daniel Diermeier,Procedural Choice in Majoritarian Organizations,Northwestern University,Jan 06 2012,8:00 AM,"Hyatt Regency, Soldier Field",American Economic Association,Policy Dynamics and Legislative Institutions,D7,Hülya Eraslan,Johns Hopkins University,,,,,,,,,,,DANIEL DIERMEIER,Male,,,,,,NA,NA,NA,NA,NA,
Daniel Hartley,Within-city Variation in Urban Decline: The Case of Detroit,Federal Reserve Bank of Cleveland,Jan 06 2012,10:15 AM,"Hyatt Regency, Gold Coast",American Economic Association,Very Local House Price Dynamics,R2,Fernando Ferreira,University of Pennsylvania,Matthew Notowidigdo,University of Chicago,Matthew Kahn,University of California-Los Angeles,Christopher Mayer,Columbia University,,,,,Daniel Hartley,Male,,,,,,NA,NA,NA,NA,NA,
Daniel Kessler,Reforming the Tax Preference for Employer Health Insurance,Stanford University,Jan 08 2012,1:00 PM,"Hyatt Regency, Columbus EF",National Tax Association,Taxation and Health Insurance,H2,James Poterba,Massachusetts Institute of Technology,Mark Pauly,University of Pennsylvania,Kosali Simon,Indiana University,Matthew Notowidigdo,University of Chicago,,,,,DANIEL KESSLER,Male,,,,,,NA,NA,NA,NA,NA,
Daniel Levy,Potterian Economics,"Bar-Ilan University, Emory University, and RCEA",Jan 07 2012,8:00 PM,"Hyatt Regency, Crystal B",American Economic Association,The Economics Humor Session in Honor of Caroline Postelle Clotfelter,Z1,Orley Ashenfelter,Princeton University,,,,,,,,,,,DANIEL LEVY,Male,,,,,,NA,NA,NA,NA,NA,
Daniel Paravisini,Dissecting the Effect of Credit Supply on Trade: Evidence from Matched Credit-Export Data,Columbia University,Jan 06 2012,8:00 AM,"Hyatt Regency, Field",Econometric Society,Credit Supply During the Financial Crisis,G0,Amir Sufi,University of Chicago,Manju Puri,Duke University,Toni Whited,University of Rochester,Philip Strahan,Boston College,,,,,DANIEL PARAVISINI,Male,,,,,,NA,NA,NA,NA,NA,
Daniel Phaneuf,Disentangling the Property Value Impacts of Environmental Contamination from Locally Undesirable Land Uses,North Carolina State University,Jan 08 2012,1:00 PM,"Swissotel, Vevey 1",Association of Environmental & Resource Economists,New Directions in Urban Land Use Models and Land Use Impacts,Q5,Randall Walsh,University of Pittsburgh,Corey Lang,University of Rhode Island,Daniel Kaffine,Colorado School of Mines,Howard Chong,Cornell University,,,,,DANIEL PHANEUF,Male,,,,,,NA,NA,NA,NA,NA,
