author,paper_title,author_affiliation,date,time,location,association,session_title,session_jel_code,session_chair,session_chair_affiliation,discussant_1,discussant_1_affiliation,discussant_2,discussant_2_affiliation,discussant_3,discussant_3_affiliation,discussant_4,discussant_4_affiliation,discussant_5,discussant_5_affiliation,author.y,gender,alternative_1,alternative_2,alternative_3,alternative_4,alternative_5,X,X.1,X.2,X.3,X.4,
Alan Krueger,The Demand for Health Insurance Among Uninsured Americans,Princeton University,Jan 08 2012,1:00 PM,"Hyatt Regency, Columbus EF",National Tax Association,Taxation and Health Insurance,H2,James Poterba,Massachusetts Institute of Technology,Mark Pauly,University of Pennsylvania,Kosali Simon,Indiana University,Matthew Notowidigdo,University of Chicago,,,,,ALAN KRUEGER,Male,,,,,,NA,NA,NA,NA,NA,
Albert Marcet,House Price Booms and the Current Account,London School of Economics,Jan 07 2012,2:30 PM,"Swissotel, Vevey 3",American Real Estate & Urban Economic Association/American Economic Association,Housing and the Macroeconomy,E3,Francois Ortalo-Magne,University of Wisconsin,David Andolfatto,Federal Reserve Bank of St. Louis,Erwan Quintin,University of Wisconsin,Aurel Hizmo,New York University,,,,,ALBERT MARCET,Male,,,,,,NA,NA,NA,NA,NA,
Alberto Martin,Bubbly Business Cycles,CREI and Universitat Pompeu Fabra,Jan 08 2012,8:00 AM,"Hyatt Regency, Columbus EF",American Economic Association,Bubbles and Financial Crisis,E3,Pengfei Wang,HKUST,Zheng Liu,Federal Reserve Bank of San Francisco,Alberto Martin,CREI and Universitat Pompeu Fabra,Pengfei Wang,HKUST,Christian Hellwig,University of California-Los Angeles,,,ALBERTO MARTIN,Male,,,,,,NA,NA,NA,NA,NA,
Alberto Martin,"Bubbles, Business Cycles and Growth",Universitat Pompeu Fabra,Jan 06 2012,10:15 AM,"Hyatt Regency, Stetson Suite FG",Society for Computational Economics,Computational Macro and Financial Market Imperfections,E5,Martin Ellison,University of Oxford,Matthias Paustian,Bank of England,Roger Farmer,University of California-Los Angeles,Matteo Iacoviello,Federal Reserve Board,,,,,ALBERTO MARTIN,Male,,,,,,NA,NA,NA,NA,NA,
Aldo Rustichini,The Decision Theory of OCEAN,University of Minnesota,Jan 06 2012,8:00 AM,"Hyatt Regency, Regency B",American Economic Association,The Foundations of Decision Making: Recent Developments,D8,Tatiana Kornienko,University of Edinburgh,Colin Camerer,California Institute of Technology,Emir Kamenica,University of Chicago,Luis Rayo,University of Utah,Marciano Siniscalchi,Northwestern University,,,Aldo Rustichini,Male,,,,,,NA,NA,NA,NA,NA,
Alejandro Izquierdo,Scarring Recessions and Credit Constraints: Evidence from Colombian Firm Dynamics,InterAmerican Development Bank,Jan 08 2012,10:15 AM,"Swissotel, Vevey 2",Association for Comparative Economic Studies/American Economic Association,"Institutions, Crises, and Creative Destruction",O1,John Haltiwanger,University of Maryland and NBER,Jonathan Haskel,Imperial College London,John J. Stevens,Federal Reserve Board,Francis Kramarz,CREST,Eric J. Bartelsman,Free University of Amsterdam,,,ALEJANDRO IZQUIERDO,Male,,,,,,NA,NA,NA,NA,NA,
Alessandra Voena,German-Jewish Emigres and U.S. Invention,Stanford University,Jan 06 2012,10:15 AM,"Hyatt Regency, Skyway 265",Cliometrics Society,Market Innovations in Historical Perspective,O3,Margaret Levenstein,University of Michigan,Margaret Levenstein,University of Michigan,Caroline Fohlin,Johns Hopkins University,,,,,,,ALESSANDRA VOENA,Female,,,,,,NA,NA,NA,NA,NA,
Alessandro Pavan,Price Discrimination in Many-to-Many Matching Markets,Northwestern University,Jan 08 2012,10:15 AM,"Hyatt Regency, Wrigley",Econometric Society,Economics of Internet Markets,L1,Jonathan Levin,Stanford University,Preston McAfee,Research Yahoo!,Jonathan Baker,American Universityi,,,,,,,ALESSANDRO PAVAN,Male,,,,,,NA,NA,NA,NA,NA,
Alessandro Riboni,Dissent at the FOMC,University of Montreal,Jan 07 2012,8:00 AM,"Hyatt Regency, Columbus EF",American Economic Association,Monetary Policy Decision-Making by Committees: Managing Risks versus Managing Uncertainty,E5,Francesco Mongelli,European Central Bank and Goethe University Frankfurt,Alexander Jung,European Central Bank,Francisco Ruge-Murcia,University of Montreal,Jan-Marc Berk,De Nederlandsche Bank,Beata Bierut,De Nederlandsche Bank,,,Alessandro Riboni,Male,,,,,,NA,NA,NA,NA,NA,
Alex Bryson,How Does Share Ownership Affect Employee Behaviour? Evidence from a Multinational Corporation,NIESR,Jan 07 2012,8:00 AM,"Hyatt Regency, Columbus G",American Economic Association,Labor Economics,J0,Virginia Wilcox-Gok,Northern Illinois University,,,,,,,,,,,ALEX BRYSON,Male,,,,,,NA,NA,NA,NA,NA,
