"","author","year"
"186","Hyun-Woong Park","2012"
"187","C.-Y. Cynthia Lin","2012"
"188","Yanqun Zhang","2012"
"189","Jose Berrospide","2012"
"190","Byung-Cheol Kim","2012"
"191","Rodney Green","2012"
"192","Ahmend Rahman","2012"
"193","Hanno N. Lustig","2012"
"194","Tanakorn Makaew","2012"
"195","Berhanu Nega","2012"
"196","Lixiu Zhang","2012"
"197","Joyee Deb","2012"
"198","Matthijs R. Wildenbeest","2012"
"199","Swarna S. Vepa","2012"
"200","Zine Barka","2012"
"201","Zhun Xu","2012"
"202","Annemie Maertens","2012"
"203","Zhenxing Huang","2012"
"204","Miguel Portela","2012"
"205","Joaquín Poblete","2012"
"206","Soku Byoun","2012"
"207","Dexin Zhou","2012"
"208","Vasso Ioannidou","2012"
"209","Hayong Yun","2012"
"210","Ozgur Ergungor","2012"
"211","Yildiray Yildirim","2012"
"212","Evzen Kočenda","2012"
"213","Matias Damian Cattaneo","2012"
"214","Daifeng He","2012"
"215","R. Tamara Konetzka","2012"
"216","Gunseli Tumer-Alkan","2012"
"217","Gassesse Siliadin","2012"
"218","African Development Bank","2012"
"219","Chunyan Hao","2012"
"220","Jean-François Houde","2012"
"221","Zahi Ben-David","2012"
"222","J. Bradford DeLong","2012"
"223","Hefei Wang","2012"
"224","Iciar Dominguez Lacasa","2012"
"225","Luis Locay","2012"
"226","Xinxin Chen","2012"
"227","Tommoaso Monacelli","2012"
"228","Ilke Van Beveren","2012"
"229","Hylke Vandenbussche","2012"
"230","Zirui Song","2012"
"231","Zhonghe Li","2012"
"232","Vasym Volosovych","2012"
"233","Kyungchul Song","2012"
"234","Shreef Allaboudy","2012"
"235","Chahir Zaki","2012"
"236","Tilman Bruck","2012"
"237","Fadhel Kaboub","2012"
"238","Nabamita Dutta","2012"
"239","K. Chitra Devi","2012"
"240","Kyoo-il Kim","2012"
"241","Sunku Hahn","2012"
"242","Kyung-Woo Lee","2012"
"243","Lucjan Orlowski","2012"
"244","Linguère Mbaye","2012"
"245","Monica Hartmann","2012"
"246","Jinzhuo Zhao","2012"
"247","Harjoat Bhamra","2012"
"248","R. Jason Faberman","2012"
"249","C. N. V. Krishnan","2012"
"250","Wen-Chi Liao","2012"
"251","Subhayu Bandyopadhyay","2012"
"252","Tae-Hee Jo","2012"
"253","Hsing-Hsiang Huang","2012"
"254","University of Wisconsin-Milwaukee","2012"
"255","Chulhee Lee","2012"
"256","Lavan Mahadeva","2012"
"257","Bouteldja Abdelnacer","2012"
"258","Almila Burgac","2012"
"259","H. Allen Klaiber","2012"
"260","Aner Sela","2012"
"261","Mathijs Van Dijk","2012"
"262","Shin-Ichi Nishiyama","2012"
"263","Hirokuni Iiboshi","2012"
"264","Olivia S Mitchell","2012"
"265","Victor Shlychkov","2012"
"266","Naihobe Gonzalez","2012"
"267","Nandkumar Nayar","2012"
"268","Talis J. Putnins","2012"
"269","Kazuto Sumita","2012"
"270","Gokhan Torna","2012"
"271","W. Scott Frame","2012"
"272","Suchitra JY","2012"
"273","Asuman Ozdaglar","2012"
"274","Youngwoo Rho","2012"
"275","Hyo-Yong Sung","2012"
"276","J. David Brown","2012"
"277","Kaumudi Misra","2012"
"278","Julia Henly","2012"
"279","Jesus Hernandez","2012"
"280","Refet S. Gürkaynak","2012"
"281","Burçin Kısacıkoğlu","2012"
"282","Ishani Tewari","2012"
"283","Andres E. Elberg","2012"
"284","Marno Verbeek","2012"
"285","Yuanji Wen","2012"
"286","Ludger Woessmann","2012"
"287","Mevlude Akbulut-Yuksel","2012"
"288","J. Ryan Lamare","2012"
"289","Yuxiu Zhang","2013"
"290","Hiau Looi Kee","2013"
"291","Heiwai Tang","2013"
"292","Rikhil Bhavnani","2013"
"293","Guilhem Cassan","2013"
"294","Chunhua Lan","2013"
"295","Kiplan Womack","2013"
"296","Tingyu Zhou","2013"
"297","Gang-Zhi Fan","2013"
"298","Hartmut Lehmann","2013"
"299","Subhrendu K. Pattanayak","2013"
"300","Félix Muñoz-García","2013"
"301","V. Bhaskar","2013"
"302","Zhentao Shi","2013"
"303","Márcio Garcia","2013"
"304","Kyuil Chung","2013"
"305","Hail Park","2013"
"306","Sile Padraigin O'Dorchai","2013"
"307","Platon Tinios","2013"
"308","Binzhen Wu","2013"
