"","author","year"
"186","Rudai Yang","2012"
"187","Qingyuan Du","2012"
"188","Carsten Burhop","2012"
"189","Kyoo il Kim","2012"
"190","Zaifu Yang","2012"
"191","Yu-Chin Hsu","2012"
"192","Miguel A. Delgado","2012"
"193","Yoonseok Lee","2012"
"194","Theofanis Tsoulouhas","2012"
"195","Tazewell V. Hurst III","2012"
"196","Baoline Chen","2012"
"197","Xingwang Qian","2012"
"198","Haibo Xu","2012"
"199","Loriano Mancini","2012"
"200","Pierre-André Chiappori","2012"
"201","Fuhito Kojima","2012"
"202","Po-Hsuan Hsu","2012"
"203","Dongmei Li","2012"
"204","Z. Nuray Guner","2012"
"205","Coady Wing","2012"
"206","Ginka Borisova","2012"
"207","Leng Lee","2012"
"208","Le Wang","2012"
"209","Krislert Samphantharak","2012"
"210","Hongjun Yan","2012"
"211","Jinfan Zhang","2012"
"212","Heski Bar-Isaac","2012"
"213","Koshi Endo","2012"
"214","Subei Li","2012"
"215","Chengo Hu","2012"
"216","Xiaokai Li","2012"
"217","Minqi Li","2012"
"218","Ingvild Almås","2012"
"219","Sanders Chang","2012"
"220","Sónia Torres","2012"
"221","Aico van Vuuren","2012"
"222","Leonard Mirman","2012"
"223","Lucjan T. Orlowski","2012"
"224","Toralf Pusch","2012"
"225","Erdogan Bakir","2012"
"226","Marinko Skare","2012"
"227","Mingwei Liu","2012"
"228","Leonce Ndikumana","2012"
"229","Juan-Pablo Nicolini","2012"
"230","Eeshani Kandpal","2012"
"231","Samuli Knüpfer","2012"
"232","Merih Sevilir","2012"
"233","Swarn Chatterjee","2012"
"234","Jose Martinez","2012"
"235","Luosha Du","2012"
"236","Shayak Sarkar","2012"
"237","Madanmohan Ghosh","2012"
"238","Austan D. Goolsbee","2012"
"239","Shakeeb Khan","2012"
"240","Fida Karam","2012"
"241","Tomas Sjostrom","2012"
"242","Mehrene Larudee","2012"
"243","Sanjukta Roy","2012"
"244","B. P. Chandramohan","2012"
"245","Jay-Pil Choi","2012"
"246","Seonghoon Jeon","2012"
"247","Taeyoon Sung","2012"
"248","A. J. Malliaris","2012"
"249","Léonce Ndikumana","2012"
"250","Harounan Kazianga","2012"
"251","Shizuka Nishikawa","2012"
"252","Satyajit Ghosh","2012"
"253","Areerat Kichkha","2012"
"254","Carsten Lange","2012"
"255","Fahlino Sjuib","2012"
"256","Refet S Gurkaynak","2012"
"257","Archawa Paweenawat","2012"
"258","Amiyatosh K. Purnanandam","2012"
"259","Fenghua Song","2012"
"260","Thi Minh-Phuong Ngo","2012"
"261","Seiro Ito","2012"
"262","J. Barkley Rosser","2012"
"263","Menzie Chinn","2012"
"264","Rodney J. Garratt","2012"
"265","Benamar Abdelhak","2012"
"266","Kaustav Misra","2012"
"267","Tin-Chun Lin","2012"
"268","LaVaughn M. Henry","2012"
"269","V. Kerry Smith","2012"
"270","Yangbo Du","2012"
"271","Cuong Nguyen","2012"
"272","Tatsuyoshi Matsumae","2012"
"273","Ryoichi Namba","2012"
"274","Yulei Luo","2012"
"275","Jorg Rocholl","2012"
"276","Neeltje van Horen","2012"
"277","Renata Heilman","2012"
"278","Konan Chan","2012"
"279","Qinghai Wang","2012"
"280","Denitsa Stefanova","2012"
"281","Jiro Yoshida","2012"
"282","Marieme Lo","2012"
"283","Junghyung Park","2012"
"284","Mariassunta Giannetti","2012"
"285","Hyun-Sook Kim","2012"
"286","Pengjie Gao","2012"
"287","Jiekun Huang","2012"
"288","Helge Peukert","2012"
"289","Diana L. Strassmann","2012"
"290","Svenn Jensen","2012"
"291","Muhamet Yildiz","2012"
"292","Lieu Hazelwood","2012"
"293","U. Udo Umoh","2012"
"294","Rongning Wu","2012"
"295","Rocardo Correa","2012"
"296","Fenella Carpena","2012"
"297","Se-Jik Kim","2012"
"298","Arnildo Correa","2012"
"299","Tugkan Tuzun","2012"
"300","Josheph Gyourko","2012"
"301","WenLan Qian","2012"
"302","Ciriyam Jayaprakash","2012"
"303","Xiangping Liu","2012"
"304","Quoc-Anh Do","2012"
"305","Aureo de Paula","2012"
"306","HuiHua Nie","2012"
"307","Ainhoa Urtasum","2012"
"308","R. Glenn Hubbard","2012"
"309","Codrina Rada Von Arnim","2012"
"310","J.M. Ian Salas","2013"
"311","J. Peter Neary","2013"
"312","Vijayendra Rao","2013"
"313","M Dolores Collado","2013"
"314","Veronica Rappoport","2013"
"315","Markku Kaustia","2013"
"316","H. Shawn Mobbs","2013"
"317","Anzelika Zaiceva","2013"
"318","Aloisio Pessoa Araujo","2013"
"319","Shuyang Sheng","2013"
"320","Simon Board","2013"
"321","Edeltraud Hanappi-Egger","2013"
"322","Sanjukta Chaudhuri","2013"
"323","J. Adam Cobb","2013"
"324","Jaeseung Kim","2013"
"325","Leonard Greenhalgh","2013"
"326","Jiawen Yang","2013"
"327","Deepankar Basu","2013"
"328","Xinshen Diao","2013"
"329","Nazaire Houssou","2013"
"330","Futoshi Yamauchi","2013"
"331","Keirjiro Otsuka","2013"
"332","Yaohui Zhao","2013"
"333","Tae-hwan Rhee","2013"
"334","E. Ray Dorsey","2013"
"335","Jose Faias","2013"
"336","Tore Leite","2013"
"337","Avanidhar Subrahmanyam","2013"
"338","Qianqiu Liu","2013"
"339","J. Bradley Karl","2013"
"340","J. David Cummins","2013"
"341","Tzuting Lin","2013"
"342","Erivelthon Santos","2013"
"343","Qiming Wang","2013"
"344","Kose John","2013"
"345","Tuan-Hwee Sng","2013"
"346","Syngjoo Choi","2013"
"347","Hilde C. Bjornland","2013"
"348","Sheheryar Banuri","2013"
"349","Anusua Datta","2013"
"350","Kosali Simon","2013"
"351","Zhongyi Wang","2013"
"352","Ariun Ishdorj","2013"
"353","Biplab Ghosh","2013"
"354","Wu-kuang Cun","2013"
"355","Sucharita Sinha Mukherjee","2013"
"356","Myeong-Su Yun","2013"
"357","Sharun Mukand","2013"
"358","Mufaddal Baxamusa","2013"
"359","Kiat Ying Seah","2013"
"360","Neeltje van Horen","2013"
"361","Wenyi Shen","2013"
"362","Victor Aguirregabiria","2013"
"363","Luis Castro","2013"
"364","Matteusz Filipski","2013"
"365","Guiying (Laura) Wu","2013"
"366","Peichu Xie","2013"
"367","Liugang Sheng","2013"
"368","Yongmin Chen","2013"
"369","Thesia I. Garner","2013"
"370","Ozkan Eren","2013"
"371","Madhuparna Kolay","2013"
"372","Pengcheng Wan","2013"
"373","Fangming Xu","2013"
"374","Huainan Zhao","2013"
