,author,year,
177,Shumi M. Akhtar II,2012,Female
178,Baozhong Yang,2012,Male
179,Sreedhar T. Bharath,2012,Male
180,Jose M. Marin,2012,Male
181,M. Martin Boyer,2012,Male
182,J. David Cummins,2012,Male
183,Jinzhao Chen,2012,Male
184,Sokbae (Simon) Lee,2012,Male
185,Yoon-Jae Whang,2012,Male
186,Hyun-Woong Park,2012,Male
187,C.-Y. Cynthia Lin,2012,Female
188,Yanqun Zhang,2012,Male
189,Jose Berrospide,2012,Male
190,Byung-Cheol Kim,2012,Male
191,Rodney Green,2012,Male
192,Ahmend Rahman,2012,Male
193,Hanno N. Lustig,2012,Male
194,Tanakorn Makaew,2012,Male
195,Berhanu Nega,2012,Male
196,Lixiu Zhang,2012,Male
197,Joyee Deb,2012,Female
198,Matthijs R. Wildenbeest,2012,Male
199,Swarna S. Vepa,2012,Female
200,Zine Barka,2012,Female
201,Zhun Xu,2012,Male
202,Annemie Maertens,2012,Female
203,Zhenxing Huang,2012,Male
204,Miguel Portela,2012,Male
205,Joaquín Poblete,2012,Male
206,Soku Byoun,2012,Male
207,Dexin Zhou,2012,Male
208,Vasso Ioannidou,2012,Female
209,Hayong Yun,2012,Male
210,Ozgur Ergungor,2012,Male
211,Yildiray Yildirim,2012,Male
212,Evzen Kočenda,2012,Male
213,Matias Damian Cattaneo,2012,Male
214,Daifeng He,2012,Female
215,R. Tamara Konetzka,2012,Female
216,Gunseli Tumer-Alkan,2012,Female
217,Gassesse Siliadin,2012,Male
219,Chunyan Hao,2012,Female
220,Jean-François Houde,2012,Male
221,Zahi Ben-David,2012,Male
222,J. Bradford DeLong,2012,Male
223,Hefei Wang,2012,Female
224,Iciar Dominguez Lacasa,2012,Female
225,Luis Locay,2012,Male
226,Xinxin Chen,2012,Female
227,Tommoaso Monacelli,2012,Male
228,Ilke Van Beveren,2012,Female
229,Hylke Vandenbussche,2012,Female
230,Zirui Song,2012,Male
231,Zhonghe Li,2012,Female
232,Vasym Volosovych,2012,Male
233,Kyungchul Song,2012,Male
234,Shreef Allaboudy,2012,Male
235,Chahir Zaki,2012,Male
236,Tilman Bruck,2012,Male
237,Fadhel Kaboub,2012,Male
238,Nabamita Dutta,2012,Male
239,K. Chitra Devi,2012,Female
240,Kyoo-il Kim,2012,Male
241,Sunku Hahn,2012,Male
242,Kyung-Woo Lee,2012,Male
243,Lucjan Orlowski,2012,Male
244,Linguère Mbaye,2012,Female
245,Monica Hartmann,2012,Female
246,Jinzhuo Zhao,2012,Male
247,Harjoat Bhamra,2012,Male
248,R. Jason Faberman,2012,Male
249,C. N. V. Krishnan,2012,Male
250,Wen-Chi Liao,2012,Female
251,Subhayu Bandyopadhyay,2012,Male
252,Tae-Hee Jo,2012,Male
253,Hsing-Hsiang Huang,2012,Male
255,Chulhee Lee,2012,Male
256,Lavan Mahadeva,2012,Male
257,Bouteldja Abdelnacer,2012,Male
258,Almila Burgac,2012,Female
260,Aner Sela,2012,Male
261,Mathijs Van Dijk,2012,Male
262,Shin-Ichi Nishiyama,2012,Male
263,Hirokuni Iiboshi,2012,Male
264,Olivia S Mitchell,2012,Female
265,Victor Shlychkov,2012,Male
266,Naihobe Gonzalez,2012,Female
267,Nandkumar Nayar,2012,Male
268,Talis J. Putnins,2012,Male
269,Kazuto Sumita,2012,Male
270,Gokhan Torna,2012,Male
271,W. Scott Frame,2012,Male
272,Suchitra JY,2012,Female
273,Asuman Ozdaglar,2012,Female
274,Youngwoo Rho,2012,Male
275,Hyo-Yong Sung,2012,Female
276,J. David Brown,2012,Male
277,Kaumudi Misra,2012,Female
278,Julia Henly,2012,Female
279,Jesus Hernandez,2012,Male
280,Refet S. Gürkaynak,2012,Male
281,Burçin Kısacıkoğlu,2012,Male
282,Ishani Tewari,2012,Female
