,author,year,
863,Dinghong Yi,2016,Male
864,Tzu-Ting Yang,2016,Male
866,Eskil Forsell,2016,Male
867,Maxim Pinkovskiy,2016,Male
868,Petri Hukkanen,2016,Male
871,Charles-Henri Weymuller,2016,Male
872,Hong Zhang,2016,Male
873,Stephan Mueller,2016,Male
874,Panu Kalmi,2016,Male
876,Omrane Guedhami,2016,Male
877,Mariassunta Giannetti,2016,Female
878,Mengxin Zhao,2016,Female
879,Tuomas Takalo,2016,Male
880,Asu Ozdaglar,2016,Female
881,Adugna Lemi,2016,Male
883,Intan Hamdan-Livramento,2016,Female
885,Liangshu Qi,2016,Female
886,Monica Garcia-Perez,2016,Female
887,Mostak Ahamed,2016,Male
888,Qihong Liu,2016,Male
889,Robynn Cox,2016,Female
891,Xiaoou Liu,2016,Female
892,simon Halphen Boserup,2016,Male
893,Luis Omar Herrera,2016,Male
895,Nageeb Ali,2016,Male
896,Catalin Stefanescu,2016,Female
897,Simon Weber,2016,Male
898,Narasimhan Jegadeesh,2016,Male
899,Lalitha Naveen,2016,Female
900,Weihua Zhao,2016,Female
901,C.F. Sirmans,2016,Male
902,Qun Wu,2016,Male
903,Olfa Maalaoui Chun,2016,Male
905,Lant Pritchett,2016,Male
906,Srijit Mishra,2016,Male
907,K. V. Ramaswamy,2016,Male
908,Kanda Naknoi,2016,Female
910,Ctirad Slavik,2016,Male
911,Hakki Yazici,2016,Male
912,Wenchao Xu,2016,Male
913,Zeynal Karaca,2016,Male
914,Hyunseung Oh,2016,Male
915,Uta Meier-Graewe,2016,Female
916,Fo Kodjo Dzinyefa Aflagah,2016,Male
917,Ulf Zölitz,2016,Male
918,Marieke Vandeweyer,2016,Female
919,Carvalho Jose Raimundo,2016,Male
920,Yinghua He,2016,Male
921,Peiran Jiao,2016,Male
923,Jacobus Cilliers,2016,Male
924,Ibrahim Kasirye,2016,Male
925,Sattar Mansi,2016,Male
926,Minqi Li,2016,Male
927,Chuliang Luo,2016,Male
928,Bodo Knoll,2016,Male
929,Hongda Zhong,2016,Male
932,Yuxi Wang,2016,Female
933,Konstantine Lyubimov,2016,Male
934,Pierre-Guillaume Méon,2016,Male
935,Gyongyi Loranth,2016,Female
936,Konan Chan,2016,Male
937,Yu-jane Liu,2016,Female
938,Yongok Choi,2016,Male
939,Stéphane Verani,2016,Female
940,A. Erinc Yeldan,2016,Male
943,Julia Thomas,2016,Female
944,Fabian Lindner,2016,Male
945,Simon Sturn,2016,Male
946,Shanker Satyanath,2016,Male
947,Jose Pizarro,2016,Male
949,Aazam Virani,2016,Male
950,Juan-Pedro Gomez,2016,Male
951,Xudong An,2016,Male
952,Deepraj Mukherjee,2016,Male
953,Antoon Spithoven,2016,Male
954,Saraly Andrade de Sa,2016,Female
955,Anqi Li,2016,Female
956,Trond Olsen,2016,Male
957,Tatsushi Oka,2016,Female
958,Miikka Rokkanen,2016,Male
959,Matias Cattaneo,2016,Male
960,Marinho Bertanha,2016,Male
961,Yu-Wei Hsieh,2016,Male
962,Tianpeng Zhou,2018,Male
964,Teng Zhang,2018,Male
965,Fangzhou Liu,2018,Female
966,Ca Nguyen,2018,Female
967,Hsuan Fu,2018,Female
968,Victor Chow,2018,Male
969,Jiacui Li,2018,Male
970,Pingle Wang,2018,Male
971,Joop Huij,2018,Male
972,Haohan Ren,2018,Male
973,Ailin Dong,2018,Female
974,Runjing Lu,2018,Female
975,Kaushalendra Kishore,2018,Male
976,S. Mehmet Ozsoy,2018,Male
977,Alisdair Mckay,2018,Male
978,Neele Balke,2018,Female
979,François Velde,2018,Male
980,Yarine Fawaz,2018,Female
981,Rajashri Chakrabarti,2018,Female
982,Julia Lane,2018,Female
983,Md Emdadul Islam,2018,Male
984,Siyi Shen,2018,Female
986,Bjorn Imbierowicz,2018,Male
987,Falk Brauning,2018,Male
988,Maik Schmeling,2018,Male
989,Samuli Knüpfer,2018,Male
991,Mingming Pan,2018,Female
992,SeHyoun Ahn,2018,Male
993,S. Anukriti,2018,Female
994,Siwan Anderson,2018,Female
996,Hans-Martin von Gaudecker,2018,Male
997,Yin-Wong Cheung,2018,Male
998,Jamein Cunningham,2018,Male
1000,Leming Lin,2018,Male
1001,Hongdong Guo,2018,Male
1002,Seung-Keun Martinez,2018,Male
1003,Marieke Kleemans,2018,Female
1004,Andres Donangelo,2018,Male
1007,Yanyou Chen,2018,Male
1008,Sailesh Tanna,2018,Male
1009,Mehtabul Azam,2018,Male
1010,Dweepobotee Brahma,2018,Female
1014,Vilsa Curto,2018,Female
1015,Haldun Anil,2018,Male
1016,Jerry Nickelsburg,2018,Male
1019,Boyoung Seo,2018,Female
1020,Adrian Lopes,2018,Male
1021,Pak-Sing Choi,2018,Male
1022,Neepa Gaekwad Babulal,2018,Female
1023,Nanivazo Malokele,2018,Female
1024,Mbaye Diene,2018,Male
1025,Adedoyin Adesina,2018,Female
1026,Na'ama Shenhav,2018,Female
1027,Piergiorgio Alessandri,2018,Male
1029,YongKyu Gam,2018,Male
1031,Zacharias Sautner,2018,Male
1032,Chendi Zhang,2018,Female
1033,Po-Hsuan Hsu,2018,Male
1034,Zifeng Feng,2018,Male
1035,Stanimira Milcheva,2018,Female
1039,Lingjiong Zhu,2018,Male
1040,Tunay Oguz,2018,Male
1041,Maoyong Fan,2018,Male
1042,Luise Görges,2018,Female
1043,Tansel Yilmaser,2018,Male
1044,Signe-Mary McKernan,2018,Female
1045,Hongkil Kim,2018,Male
1046,Vardges Levonyan,2018,Male
1047,Sorapop Kiatpongsan,2018,Male
1048,Cecila Gaubert,2018,Female
1049,Luofu Ye,2018,Male
1050,Yesol Huh,2018,Female
1051,Ruidi Huang,2018,Male
1052,Ivan Ivanov,2018,Male
1053,Kegon Tan,2018,Male
1054,Nauro Campos,2018,Male
1055,Zhuan Xie,2018,Male
1056,Bertel Schjerning,2018,Male
1057,Avinatan Hassidim,2018,Male
1058,Jose Luis Fillat,2018,Male
1059,Ott Toomet,2018,Male
1060,Hwagyun Hagen Kim,2018,Male
1061,Yoosoon Chang,2018,Female
1062,Changsik Kim,2018,Male
1065,Douglason Omotor,2018,Male
1066,Jose Alberto Guerra Sr,2018,Male
1067,Bibek Adhikari,2018,Male
1068,M. Ayhan Kose,2018,Male
1069,Yangru Wu,2018,Male
1071,Zhaodong (Ken) Zhong,2018,Male
1073,Joonki Noh,2018,Male
1074,Kuntara Pukthuanthong,2018,Female
1076,Li-Shiun Chen,2018,Female
1077,Pengfei Han,2018,Male
1078,Arjada Bardhi,2018,Female
1080,Imil Nurutdinov,2018,Male
1081,Ruey Tsay,2018,Male
1082,Na Wang,2018,Female
1083,Kyungmin Lee,2018,Male
1084,Ivan Gambus,2018,Male
1085,Rajaram Krishnan,2018,Male
1086,Viswanath S. R,2018,Male
1087,Xiaojun Wang,2018,Male
1088,Rubal Dua,2018,Male
1090,Raimundo Soto,2018,Male
1092,Kari E.R. Heerman,2018,Female
1093,Biplob Chowdhury,2018,Male
1094,Nagaratnam Jeyasreedharan,2018,Male
1095,Jianxin Wang,2018,Male
1096,Himabindu Himabindu Lakkaraju,2018,Female
1097,Seyyed Ali Zeytoon Nejad Moosavian,2018,Male
1098,Soohyung Lee,2018,Female
1099,Mahvash S. Qureshi,2018,Female
1100,Cevat Aksoy,2018,Male
1101,Sianne Vijay,2018,Female
1102,Bige Kahraman,2018,Female
1103,Kuang Kuang Deng,2018,Female
1106,Wangyang Lai,2018,Male
1107,Julapa Jagtiani,2018,Female
1108,Brendan Daley,2018,Male
1109,Natália Bracarense,2018,Female
1110,Julia Le Blanc,2018,Female
1111,Tianqi Gan,2018,Male
1112,Cesar E. Tamayo,2018,Male
1113,Veronica Frisancho,2018,Female
1114,Haoyu Gao,2018,Male
1115,Moqi Groen-Xu,2018,Female
1116,Soohun Kim,2018,Male
1119,Yoshiki Shimizu,2018,Male
1120,H. Banzhaf,2018,Male
1121,Matej Bajgar,2018,Male
1123,Zhuoqiong Charlie Chen,2018,Male
1124,Ayse Ozgur Pehlivan,2018,Female
1125,Nicolas Schutz,2018,Male
1126,Shiko Maruyama,2018,Male
1127,Johanna Kokot,2018,Female
1129,Risto Herrala,2018,Male
1130,Xiangshi Liu,2018,Female
1131,Leonard Goff,2018,Male
1133,Simon Rother,2018,Male
1134,Yadav Gopalan,2018,Male
1135,I. J. Alexander Dyck,2018,Male
1137,Dowell Myers,2018,Male
1139,Solomiya Shpak,2018,Female
1141,Zohreh Emami,2018,Female
1142,Anujit Chakraborty,2018,Male
1143,Sida Peng,2018,Male
1144,Luis Enrique Candelaria,2018,Male
1145,Venke Furre Haaland,2018,Female
1146,Kanghyock Koh,2018,Male
1147,J. Michael Collins,2018,Male
1148,Fafanyo Asiseh,2018,Female
1149,Vidhura Tennekoon,2018,Male
1150,Warn N. Lekfuangfu,2018,Female
1151,Dieu-Donne Donald Emmanuel,2018,Male
1152,Jörn Boehnke,2018,Male
1153,Jorg Weber,2018,Male
1155,Shangming Yang,2018,Male
1156,Yanying Chen,2018,Female
1157,Yiyi Bai,2018,Female
1158,Paul-Olivier Klein,2018,Male
1159,Wolfram Elsner,2018,Male
1160,Adqas Afzal,2018,Male
1161,Guofang Huang,2018,Male
1163,Khaladdin Rzayev,2019,Male
1164,Miguel Anton,2019,Male
1165,Woongsun Yoo,2019,Male
1166,Jincheng Tong,2019,Male
1167,Jannic Alexander Cutura,2019,Male
1168,Mengming Dong,2019,Male
1169,Ingomar Krohn,2019,Male
1170,Sang-Ook (Simon) Shin,2019,Male
1171,Chi-Yang Tsou,2019,Male
1172,Chenjie Xu,2019,Male
1173,Haofei Zhang,2019,Male
1174,Fabian Brunner,2019,Male
1175,Sichen Shen,2019,Female
1176,Hong Zou,2019,Male
1177,Yuguo Liu,2019,Male
1178,K. Victor Chow,2019,Male
1179,In Ji Jang,2019,Female
1180,Hwagyun (Hagen) Kim,2019,Male
1181,Shaoting Pi,2019,Male
1182,Oleksandr Shcherbakov,2019,Male
1183,Gregers Nytoft Rasmussen,2019,Male
1184,Thummim Cho,2019,Male
1185,Rojhat Avsar,2019,Male
1186,Radhakrishnan Gopalan,2019,Male
1187,Saktinil Roy,2019,Male
1188,Weixiao Wu,2019,Female
1189,Xuepeng Liu,2019,Male
1190,Aaditya Mattoo,2019,Male
1191,Edwyna Harris,2019,Female
1192,Esfandiar Maasoumi,2019,Male
1193,Wenhua Di,2019,Female
1194,Haiyong Liu,2019,Male
1195,Nursel Aydiner-Avsar,2019,Female
1198,Josepa (Pepita) Miquel-Florensa,2019,Female
1199,Zixuan Kevin Wang,2019,Male
1200,Aadhaar Verma,2019,Male
1202,Yichen Su,2019,Male
1203,Nistha Sinha,2019,Female
1204,Tomas Paleta,2019,Male
1205,Oleksandr Shepotylo,2019,Male
1206,Suryadipta Roy,2019,Male
1209,Jiasun Li,2019,Male
1210,Xingtan Zhang,2019,Male
1211,Goulven Rubin,2019,Male
1212,Patricia Frances Apps,2019,Female
1213,Jose M. Berrospide,2019,Male
1214,Illenin Kondo,2019,Male
1216,A. Nayena Blankson,2019,Female
1217,Jimmeka Guillory,2019,Female
1218,Shiqi Xing,2019,Male
1219,Debasri Mukherjee,2019,Female
1220,Ruoding Shi,2019,Female
1221,Nazire Nergiz Dincer,2019,Female
1222,Kuan-Heng Chen,2019,Male
1223,Taufiq Carnegie Dawood,2019,Male
1224,Mayuri Chaturvedi,2019,Female
1225,Lingwei Wu,2019,Female
1227,Shengmao Cao,2019,Male
1228,Ketki Sheth,2019,Female
1229,Yusufcan Masatlioglu,2019,Male
1230,Agnes Benassy-Quere,2019,Female
1232,Jose Luis Peydro,2019,Male
1233,Jiaxing You,2019,Male
1234,Minwen Li,2019,Female
1236,Zeqiong Huang,2019,Female
1237,Miaomiao Yu,2019,Female
1238,Ruomeng Liu,2019,Male
1239,Eunkyu Lee,2019,Male
1240,Changyu Yang,2019,Male
1243,Mallesh Pai,2019,Male
1245,Jieping Ye,2019,Male
1246,Lingyo Zhang,2019,Male
1247,Yutec Sun,2019,Male
1248,Miguel Garcia-Posada,2019,Male
1249,Moundir Lassassi,2019,Male
1250,Agustin Hurtado,2019,Male
1252,Phumsith Mahasuweerachai,2019,Male
1253,Anucha Mahariwirasami,2019,Female
1254,Ciamac Moallemi,2019,Male
1255,Xuetao Huang,2019,Female
1257,Juhani Linnainmaa,2019,Male
1258,Tse-Chun Lin,2019,Male
1259,Marie-Aude Laguna,2019,Female
1262,Jiafeng Chen,2019,Male
1263,Joao Brogueira de Sousa,2019,Male
1264,Sudipto Karmakar,2019,Male
1266,Hideaki Miyajima,2019,Male
1268,Chacko George,2019,Male
1269,Sumire Stanislawski,2019,Female
1270,Wuyang Hu,2019,Male
1271,Zexuan Liu,2019,Male
1272,Diana Farrell,2019,Female
1273,Hong Ma,2019,Male
1274,Stéphane Dupraz,2019,Male
1275,Jón Steinsson,2019,Male
1276,Yanhao Wei,2019,Male
1277,Dorinth Van Dijk,2019,Male
1278,Monica Capra,2019,Female
1279,Zhongjian Lin,2019,Male
1280,Hyungseok Joo,2019,Female
1281,Hidehiko Matsumoto,2019,Male
1282,Ragan Petrie,2019,Female
1283,J. J. Prescott,2019,Male
1284,Lakitquana Leal,2019,Female
1285,Shinichi Kamiya,2019,Male
1286,Oscar David Barrera Rodriguez,2019,Male
1287,Hangjun Yang,2019,Male
1288,Yanhao Wang,2019,Male
1289,Kwaw S. Andam,2019,Male
1290,Faaiqa Hartley,2019,Female
1291,Jørgen Modalsli,2019,Male
1292,Fareena Noor Malhi,2019,Female
1293,Hanbat Jeong,2019,Male
1294,Badi H. Baltagi,2019,Male
1295,Hyungsik Roger Moon,2019,Male
1296,Thiagu Ranganathan,2019,Male
1297,Charity-Joy Acchairdo,2019,Female
1298,G. Dirk Mateer,2019,Male
1299,Chandini Sankaran,2019,Female
1300,Hang-Wei Hao,2019,Male
1301,Per-Anders Edin,2019,Male
1302,Tiernan Evans,2019,Female
1303,Patricia I. Ritter,2019,Female
1304,Shifrah Aron-Dine,2019,Female
1305,Stanimir Markov,2019,Male
1306,Chongyu Wang,2019,Male
1307,Hyun-Soo Choi,2019,Male
1309,Haoming Liu,2019,Male
1310,Jingfeng Lu,2019,Male
1311,Liguo Lin,2019,Male
1312,Hanbin Yang,2019,Male
1313,Cassiano Alves,2019,Male
1314,Perihane Badr,2019,Female
1315,Racha Ramadan,2019,Female
1316,Swarnava Biswas,2019,Male
1317,Balint Horvath,2019,Male
1318,Yalin Gunduz,2019,Male
1320,Victor Orozco,2019,Male
1321,Hartmut Egger,2019,Male
1322,Shuting (Sophia) Hu,2019,Female
1323,Sugata Ray,2019,Male
1324,Selale Tuzel,2019,Female
1325,Tadeja Gracner,2019,Female
1327,Balasz Egert,2019,Male
1328,Ariaster Baumgratz Chimeli,2019,Male
1329,Xiaobo He,2019,Male
1330,Yatang Lin,2019,Female
1333,Goncalo Faria,2019,Male
1334,Michalis Nikiforos,2019,Male
1335,Narayani Sritharan,2019,Female
1336,Jerry Hausman,2019,Male
1337,Stéphane Lavertu,2019,Male
1338,Sriya Anbil,2019,Female
1339,Jorrit Zwijnenburg,2019,Male
1340,L. Rachel Ngai,2019,Female
1341,Junjian Yi,2019,Male
1342,Alois Stutzer,2019,Male
1344,Jotikasthira Chotibhak,2019,Male
1345,Yoshio Nozawa,2019,Male
1346,Allaudeen Hameed,2019,Male
1348,Shihao Gu,2019,Male
1351,Schery Bokhari,2019,Male
1352,Yinuo Zhang,2019,Male
1353,Yadawendra Singh,2019,Male
1354,Luis Opazo,2019,Male
1355,Nicolas Lepage-Saucier,2019,Male
1356,Jevay Grooms,2019,Female
1357,Ozgur Orhangazi,2019,Male
1358,Qiongda Zhao,2019,Male
1359,Clément Bellet,2019,Male
1360,Nikanor Volkov,2019,Male
1361,Keyang Yang,2019,Male
1362,Weijia Li,2019,Male
1363,Gérard Roland,2019,Male
1364,Shiyu Bo,2019,Male
1365,Liuchun Deng,2019,Male
1366,Boqun Wang,2019,Male
1367,Haoyang Li,2019,Male
1368,Jung-Hyun Ahn,2019,Male
1369,Toru Kitagawa,2019,Male
1370,Zhengfei Yu,2019,Male
1371,Indivar Dutta-Gupta,2019,Male
