"author","gender"
"Aaron Popp","Male"
"Aaron Mehrotra","Male"
"Aaron Schiff","Male"
"Abdallah AlHassan","Male"
"Abdul B. Kamara","Male"
"Abel Valenzuela","Male"
"Abhay Devasthale","Male"
"Adam V. Reed","Male"
"Adam Rose","Male"
"Adam Seth Litwin","Male"
"Adeleke Salami","Male"
"Adriana Camacho","Female"
"Adrienne Lucas","Female"
"Aisha Thompson","Female"
"Ajit Zacharias","Male"
"Ajit Sinha","Male"
"Akiko Watanabe","Female"
"Al Campbell","Male"
"Alain Monfort","Male"
"Alan L. Olmstead","Male"
"Alan Sutherland","Male"
"Alan Fox","Male"
"Albert Menkveld","Male"
"Albert Park","Male"
"Albert Siaz","Male"
"Albert J Lee","Male"
"Alberto Davila","Male"
"Alec Smith","Male"
"Alejandro Hoyos","Male"
"Alessandra Guariglia","Female"
"Alex Yuskavage","?"
"Alexander Golub","Male"
"Alexander J.S. Colvin","Male"
"Alexander Popov","Male"
"Alexander Field","Male"
"Alexander Muravyev","Male"
"Alexander Vostroknutov","Male"
"Alexander Chudik","Male"
"Alexander Westkamp","Male"
"Alexandru Nichifor","Male"
"Alexei Zhdanov","?"
"Alfred Galichon","Male"
"Alfred Lameli","Male"
"Alfredo Burlando","Male"
"Ali Kutan","?"
"Alison Sexton","Female"
"Alistair Munro","Male"
"Allen C. Head","Male"
"Allen Head","Male"
"Allen Sinai","Male"
"Alok Kumar","Male"
"Alvin Headen","Male"
"Alvin E. Roth","Male"
"Alyson C. Ma","Female"
"Alyssa Schneebaum","Female"
"Amanda Tattersall","Female"
"Amanda L. Ross","Female"
"Amanda Ross","Female"
"Amanda E Kowalski","Female"
"Amelie F. Constant","Female"
"Amir E. Khandani","Male"
"Amit Batabyal","Male"
"Amitava Dutt","Male"
"Amy Higginbotham","Female"
"Amy Ando","Female"
"Amy Rauer","Female"
"Amy K. Dittmar","Female"
"An Yan","?"
"Ana Espinola-Arredondo","Female"
"Anastasia S. Zervou","Female"
"Anca Cristea","Female"
"Anders Böhlmark","Male"
"Andre Shevchenko","Male"
"Andre Guttler","Male"
"Andre Mollick","Male"
"Andre C. Silva","Male"
"Andrea L. Rice","?"
"Andrea Ferraro","?"
"Andreas Kontoleon","Male"
"Andreas D. Pape","Male"
"Andrej Svorencik","Male"
"Andrew R. Hanson","Male"
"Andrew T. Levin","Male"
"Andrew Vassallo","Male"
"Andrew Perumal","Male"
"Andrew J Felton","Male"
"Andrew Beck","Male"
"Andrew Sharpe","Male"
"Andrew F. Brimmer","Male"
"Andrew Hill","Male"
"Andrew Hussey","Male"
"Andrew T. Hill","Male"
"Andrew F. Newman","Male"
"Andrew Spieler","Male"
"Andrew Cohen","Male"
"Andrew Friedson","Male"
"Andrey Ukhov","Male"
"Andriy Bodnaruk","Male"
"Andriy Norets","Male"
"Andy Naranjo","Male"
"Angela Maddaloni","Female"
"Angela CM de Oliveira","Female"
"Angela Cipollone","Female"
"Angelo Ranaldo","Male"
"Angie Low","Female"
"Anh L. Tran","?"
"Anita M. McGahan","Female"
"Anita Tuladhar","Female"
"Anita Kottwitz","Female"
"Ankur Pareek","Male"
"Ann Mari May","Female"
"Ann E. Harrison","Female"
"Ann E. Davis","Female"
"Anna Paulson","Female"
"Anna Klimina","Female"
"Anna Shostya","Female"
"Anna Vignoles","Female"
"Annabelle Krause","Female"
"Annette Hofmann","Female"
"Annette Jorgensen","Female"
"Anson Ho","Male"
"Anthony Kofi Osei-Fosu","Male"
"Anthony D. May","Male"
"Anthony Landry","Male"
"Anthony Neuberger","Male"
"Anthony Atkinson","Male"
"Anthony Sanders","Male"
"Anthony W. Lynch","Male"
"Antoine Dechezleprêtre","Male"
"Anton Nakov","Male"
"Antonio E. Bernardo","Male"
"Antonio Mello","Male"
"Antonio Fatás","Male"
"Antonio Galvao","Male"
"Anurag N Banerjee","Male"
"Aparna Mathur","Female"
"Ari Van Assche","?"
"Ariane Szafarz","Female"
"Ariel Avgar","?"
"Arjan Verschoor","Male"
"Armon Rezai","Male"
"Arne Henningsen","Male"
"Art Durney","?"
"Art Durnev","?"
"Artem Prokhorov","Male"
"Arthur Lewbel","Male"
"Arthur H. Goldsmith","Male"
"Arthur A. Eubank, II","Male"
"Arthur A. Eubank, Jr","Male"
"Arthur Robson","Male"
"Arturo Ramirez Verdugo","Male"
"Arun Sarkar","Male"
"Arzu Ozoguz","Female"
"Asher Wolinsky","Male"
"Ashley Winston","Female"
"Audrey Laporte","Female"
"Augustin K Fosu","Male"
"Aurelie Charles","Female"
"Avichai Snir","Male"
"Ayako Matsuda","Female"
"Azamat Abdymomunov","Male"
"Bang Dang Nguyen","?"
"Barbara Ostdiek","Female"
"Barbara Phipps","Female"
"Barry Hirsch","Male"
"Bart M. Lambrecht","Male"
"Bart Golsteyn","Male"
"Bartley R. Danielsen","?"
"Beatrice Roussillon","Female"
"Ben Gillen","Male"
"Ben Scafidi","Male"
"Benjamin M. Gramig","Male"
"Benjamin Karney","Male"
"Benjamin Senauer","Male"
"Benjamin Scheick","Male"
"Benjamin Friedman","Male"
"Benjamin Charles Iverson","Male"
"Bennie Waller","?"
"Bent E. Sorensen","?"
"Berk A. Sensoy","Male"
"Bernard Yin Yeung","Male"
"Bernard Salanie","Male"
"Bernard Fortin","Male"
"Bernard Sinclair-Desgagne","Male"
"Bernhard Silli","Male"
"Beth Kiester","Female"
"Beth Freeborn","Female"
"Betty C Daniel","Female"
"Beverly J. Lapham","Female"
"Beverly Lapham","Female"
"Bevin Ashenmiller","?"
"Bo Liu","?"
"Bob Williams","Male"
"Bongani Motsa","Male"
"Bonnie T. Meszaros","Female"
"Bora Durdu","?"
"Brandy Lipton","Female"
"Brenda J. Kirby","Female"
"Brent C Smith","Male"
"Brett O'Hara","?"
"Brian Moore","Male"
"Brian Duncan","Male"
"Brian Hatch","Male"
"Brian W Sloboda","Male"
"Brian C. Hill","Male"
"Brian McManus","Male"
"Brian A. Jacob","Male"
"Brian Roe","Male"
"Brian E. Robinson","Male"
"Brian Cheyne","Male"
"Brooke Helppie","Female"
"Brooks Robinson","?"
"Bruce Kaufman","Male"
"Bruce C. Petersen","Male"
"Bruce Ian Carlin","Male"
"Bruce D. Grundy","Male"
"Bruce K. Johnson","Male"
"Bryan C. McCannon","Male"
"Bryan W. Roberts","Male"
"Burton Weisbrod","Male"
"Campbell Harvey","?"
"Caren Grown","Female"
"Carl Johan Dalgaard","Male"
"Carles Vergara-Alert","?"
"Carlo D’Ippoliti","Male"
"Carlos Seiglie","Male"
"Carlos Aguiar de Medeiros","Male"
"Carlos Rodriguez Castelan","Male"
"Carlos J. Asarta","Male"
"Carol Dawn Petersen","Female"
"Carol A Robbins","Female"
"Carol Graham","Female"
"Carola Frege","Female"
"Carolina Castilla","Female"
"Caroline Jardet","Female"
"Carolyn A. Dehring","Female"
"Carolyn Dimitri","Female"
"Cassandra D. Marshall","Female"
"Catalina Amuedo-Dorantes","Female"
"Catherine Greene","Female"
"Catherine Eckel","Female"
"Cathy J. Bradley","Female"
"Cecilia Machado","Female"
"Cedric Ceulemans","Male"
"Chad Meyerhoefer","Male"
"Charles J. Whalen","Male"
"Charles Whalen","Male"
"Charles Becker","Male"
"Charles Ka Yui Leung","Male"
"Charles Jeszeck","Male"
"Charles Sims","Male"
"Cheryl Long","Female"
"Chris Udry","Male"
"Chris Kirby","Male"
"Chris Tilly","Male"
"Chris Clark","Male"
"Christa H.S. Bouwman","Female"
"Christian Grisse","Male"
"Christian Heyerdahl-LArsen","Male"
"Christian Heyerdahl-Larsen","Male"
"Christian Riis","Male"
"Christian Hellwig","Male"
"Christian Henning","Male"
"Christian E. Weller","Male"
"Christian Bjornskov","Male"
"Christian Grundl","Male"
"Christian Daude","Male"
"Christian T. Lundblad","Male"
"Christina Hilmer","Female"
"Christine Binzel","Female"
"Christine Farias","Female"
"Christoph M. Schmidt","Male"
"Christoph Fischer","Male"
"Christophe Chamley","Male"
"Christophe Godlewski","Male"
"Christophe Rault","Male"
"Christophe Spaenjers","Male"
"Christophe Gouel","Male"
"Christopher K. Polk","Male"
"Christopher Taylor","Male"
"Christopher F. Parmeter","Male"
"Christopher A Sims","Male"
"Christopher Pflaum","Male"
"Christopher J. Malloy","Male"
"Christopher Chabris","Male"
"Christopher O'Leary","Male"
"Christopher Turner","Male"
"Christopher Flinn","Male"
"Christopher Gunn","Male"
"Christopher Rider","Male"
"Christos N. Pitelis","Male"
"Christos Shiamptanis","Male"
"Christos Kotsogiannis","Male"
"Chuan Rose Liao","Male"
"Claude Diebolt","?"
"Claudia Custodio","Female"
"Claudine Gartenberg","Female"
"Claudio Raddatz","Male"
"Claudio Soto","Male"
"Clayton R. Featherstone","Male"
"Clifford B. Donn","Male"
"Colin A Cushman","Male"
"Colin Camerer","Male"
"Cong Wang","?"
"Conny Olovsson","Female"
"Conrad S. Ciccotello","Male"
"Constantinos Syropoulos","Male"
"Cory Koedel","?"
"Cory Capps","?"
"Craig W. Holden","Male"
"Craig M. Lewis","Male"
"Cristian Huse","Male"
"Cristina Fuentes-Albero","Female"
"Cynthia Rogers","Female"
"Dale Belman","?"
"Dalibor Stevanovic","Male"
"Damien Sheehan-Connor","Male"
"Dan Levin","Male"
"Dan Phaneuf","Male"
"Dan Vu Cao","Male"
"Dan Benjamin","Male"
"Dan Houser","Male"
"Dan Bernhardt","Male"
"Dana Chandler","?"
"Dandan Zhang","?"
"Danial P. Asmat","Male"
"Daniel Karney","Male"
"Daniel Schunk","Male"
"Daniel B. Bergstresser","Male"
"Daniel McFadden","Male"
"Daniel S. Hosken","Male"
"Daniel Ferreira","Male"
"Daniel Traca","Male"
"Daniel A. Lawver","Male"
"Daniel Houser","Male"
"Daniel M. Sturm","Male"
"Daniel J. Bradley","Male"
"Daniel Tong","Male"
"Daniel Garrett","Male"
