,author,year,Gender,
168,Malokele Nanivazo,2013,F,
169,Leonce Ndikumana,2013,M,
170,Jooyeoun Suh,2013,F,
171,Ruiqing Miao,2013,M,
172,Aubhik Khan,2013,M,
173,Bilgehan Karabay,2013,M,
174,University of Dubai,2013,??,Transcription error
175,Patricia Justino,2013,F,
176,Sung-Jin Cho,2013,M,
177,Luis Brandao Marques,2013,M,
178,Ines Drumond,2013,F,
179,Donghoon Lee,2013,M,
180,Vikramaditya Khanna,2013,M,
181,E. Kim,2013,M,
182,Linke Zhu,2013,M,
183,Thouraya Triki,2013,F,
184,Kosali I. Simon,2013,F,
185,Jose-Maria Fernandez,2013,M,
186,Espen Moen,2013,M,
187,Beia Spiller,2013,F,
188,Damba Lkhagvasuren,2013,M,
189,Julia I. Lane,2013,F,
190,Viridiana Garcia,2013,F,
191,Tomas Rodriguez Barraquer,2014,M,
192,Sohnke m Bartram,2014,M,
193,Dakshina G. De Silva,2014,M,
194,Simon Gervais,2014,M,
195,Baolian Wang,2014,M,
196,Jerry Tsai,2014,M,
197,Jean-Sebastien Fontaine,2014,M,
198,Avanidhar Subrahmanyam,2014,M,
199,Jun-Ji Shih,2014,M,
200,H. Holly Wang,2014,F,
201,Xiaobing Feng,2014,F,
202,Beom Jun Kim,2014,M,
203,M. Udara Peiris,2014,M,
204,Vilsa Curto,2014,F,
205,T.C.C. Lai,2014,M,
206,C. McInnis-Bowers,2014,F,
207,Jong-Ho Kim,2014,M,
208,YinWong Cheung,2014,M,
209,Kyungmin Kim,2014,M,
210,University of Hull,2014,??,Transcription error
211,Sushanta K. Mallick,2014,M,
212,Madanmohan Ghosh,2014,M,
213,Baozhong Yang,2014,M,
214,Jafar M. Olimov,2014,M,
215,Haichao Fan,2014,M,
216,Alpay Filiztekin,2014,M,
217,Nooman Rebei,2014,M,
218,Xuguang Sheng,2014,M,
219,Andres Fernandez,2014,M,
220,Yahong Zhang,2014,F,
221,Jee-Yeon K. Lehmann,2014,F,
222,Merih Sevilir,2014,F,
223,Shihe Fu,2014,M,
224,Yiseon Yoo,2014,F,
225,Jungwon Yeo,2014,F,
226,Ivan Jaccard,2014,M,
227,Thouraya Triki,2014,F,
228,Kerk Phillips,2014,M,
229,J Tyler Leverty,2014,M,
230,Raimond Maurer,2014,M,
231,"H. E. Frech, III",2014,M,
232,Cesar Calderon,2014,M,
233,Yoonseok Choi,2014,M,
234,Ines Zapf,2014,F,
235,Pim Heijnen,2014,M,
236,V.A.C. van den Berg,2014,M,
237,Yeon-Koo Che,2014,M,
238,Rajashri Chakrabarti,2014,F,
239,Björn Tyrefors-Hinnerich,2014,M,
240,Zacharias Sautner,2014,M,
241,Min-Dong Paul Lee,2014,M,
242,J. Michael McWilliams,2014,M,
243,Tin-Chun Lin,2014,M,
244,Esben Schultz,2014,M,
245,S. Brock Blomberg,2014,M,
246,Shushanik Hakobyan,2014,M,
247,J. Mulherin,2014,M,
248,Jesus Hernandez,2014,M,
249,Stephan Nuesch,2014,M,
250,Samuli Knüpfer,2014,M,Samuli Knupfer
251,Vanitha Raguratham,2014,F,
252,Françoise Carré,2014,F,Francoise Carre
253,Asuman Ozdaglar,2014,F,
254,B. Kelsey Jack,2014,F,
255,Zongwu Cai,2014,M,
256,Andres Erosa,2014,M,
257,Håkan Selin,2014,M,Hakan Selin
258,Hong Ru,2014,M,
259,Hongyu Liu,2014,M,
260,Joao Carlos Macieira,2014,M,
261,Anqi Li,2014,F,
262,Josse-Luis Peydro,2015,M,
263,Helene Bourguignon,2015,F,
264,Chunhua Lan,2015,F,
265,Zacharias Sautner,2015,M,
266,Meijun Qian,2015,F,
267,Jianqing Ruan,2015,M,
268,Yaping Wang,2015,M,
269,Hyungsik Roger Moon,2015,M,
270,Maigeng Zhou,2015,M,
271,B. Kelsey Jack,2015,F,
272,Joseba Martinez,2015,F,
273,Minwen Li,2015,F,
274,Sangho Yi,2015,M,
275,Pavol Povala,2015,M,
276,Miguel A. Melendez-Jimenez,2015,M,
277,Bichaka Fayissa,2015,M,
278,Guohua Feng,2015,M,
279,Amitrajeet A. Batabyal,2015,M,
280,University of Hull,2015,??,Transcription error
281,Orley Ashenfelter,2015,M,
282,Graton M. Gathright,2015,M,
283,Pratish Patel,2015,M,
284,Md. Nazmul Ahsan,2015,M,
285,Wolfram Elsner,2015,M,
286,Yinghua He,2015,M,
287,Yaohui Zhao,2015,F,
288,Willemien Kets,2015,F,
289,Jerry Hionis,2015,M,
290,Yiping Huang,2015,M,
291,Jinwen Xu,2015,F,
292,Simon Wiederhold,2015,M,
293,Tsui-Fang Lin,2015,F,
294,Hadiye Aslan,2015,F,
295,María Teresa Martínez-García,2015,F,Maria Teresa Martinez-Garcia
296,Luosha Du,2015,F,
297,Xinshen Diao,2015,F,
298,Jose Ursua,2015,M,
299,Li-an Zhou,2015,M,
300,Shilin Zheng,2015,M,
301,Shrabani Saha,2015,F,
302,Tat-kei Lai,2015,M,
303,Mizuki Komura,2015,F,
304,J. Y. Suchitra,2015,F,
305,Jooyeon Son,2015,F,
306,Areerat Kichkha,2015,F,
307,Diana Knyazeva,2015,F,
308,Jeno Pal,2015,M,
309,African Development Bank,2015,??,transcription error
310,Faical Akaichi,2015,M,
311,Guangliang Le,2015,M,
312,Antung A. Liu,2015,M,
313,W. David Bradford,2015,M,
314,Afrasiab Mirzayand,2015,M,
315,Raul Caruso,2015,M,
316,Jose L. Fillat,2015,M,
317,Shou Yang,2015,M,
318,Woei-Chyuan Wong,2015,M,
319,Fuhito Kojima,2015,M,
320,Ciamac Maoallemi,2015,M,
321,Chunyu Yang,2015,M,
322,Hanjiang Zhang,2015,F,
323,Sohnke Bartram,2015,M,
324,Diana Hancock,2015,F,
325,Climent Quintana-Domeque,2015,M,
326,Chardin Wese Simen,2015,M,
327,Drik Devos,2015,M,
328,Shofiqur Rahman,2015,M,
329,Panu Kalmi,2015,M,
330,Polona Domadenik,2015,F,
331,Janez Prašnikar,2015,M,Janez Prasnikar
332,Marnix Amand,2015,M,
333,Zhenjiang Qin,2016,M,
334,Xiongchuan Lai,2016,M,
335,Ayhab Saad,2016,M,
336,Sahoko Kaji,2016,F,
337,Chunying Xie,2016,F,
338,Johanna Mollerstrom,2016,F,
339,Qianqian Yu,2016,F,
340,Yongqiang Chu,2016,M,
341,Boqian Jiang,2016,M,
342,M. Kate Bundorf,2016,F,
