,author,year,gender
186,Rudai Yang,2012,M
187,Qingyuan Du,2012,M
188,Carsten Burhop,2012,M
189,Kyoo il Kim,2012,M
190,Zaifu Yang,2012,M
191,Yu-Chin Hsu,2012,M
192,Miguel A. Delgado,2012,M
193,Yoonseok Lee,2012,M
194,Theofanis Tsoulouhas,2012,M
195,Tazewell V. Hurst III,2012,M
196,Baoline Chen,2012,F
197,Xingwang Qian,2012,M
198,Haibo Xu,2012,M
199,Loriano Mancini,2012,M
200,Pierre-AndrÃ© Chiappori,2012,M
201,Fuhito Kojima,2012,M
202,Po-Hsuan Hsu,2012,M
203,Dongmei Li,2012,F
204,Z. Nuray Guner,2012,F
205,Coady Wing,2012,M
206,Ginka Borisova,2012,F
207,Leng Lee,2012,M
208,Le Wang,2012,M
209,Krislert Samphantharak,2012,M
210,Hongjun Yan,2012,M
211,Jinfan Zhang,2012,M
212,Heski Bar-Isaac,2012,M
213,Koshi Endo,2012,
214,Subei Li,2012,
215,Chengo Hu,2012,
216,Xiaokai Li,2012,
217,Minqi Li,2012,M
218,Ingvild AlmÃ¥s,2012,F
219,Sanders Chang,2012,M
220,SÃ_nia Torres,2012,F
221,Aico van Vuuren,2012,M
222,Leonard Mirman,2012,M
223,Lucjan T. Orlowski,2012,M
224,Toralf Pusch,2012,M
225,Erdogan Bakir,2012,M
226,Marinko Skare,2012,M
227,Mingwei Liu,2012,M
228,Leonce Ndikumana,2012,M
229,Juan-Pablo Nicolini,2012,M
230,Eeshani Kandpal,2012,F
231,Samuli KnÃ_pfer,2012,M
232,Merih Sevilir,2012,F
233,Swarn Chatterjee,2012,M
234,Jose Martinez,2012,M
235,Luosha Du,2012,F
236,Shayak Sarkar,2012,M
237,Madanmohan Ghosh,2012,M
238,Austan D. Goolsbee,2012,M
239,Shakeeb Khan,2012,M
240,Fida Karam,2012,F
241,Tomas Sjostrom,2012,M
242,Mehrene Larudee,2012,F
243,Sanjukta Roy,2012,F
244,B. P. Chandramohan,2012,M
245,Jay-Pil Choi,2012,M
246,Seonghoon Jeon,2012,M
247,Taeyoon Sung,2012,M
248,A. J. Malliaris,2012,M
249,LÃ©once Ndikumana,2012,M
250,Harounan Kazianga,2012,M
251,Shizuka Nishikawa,2012,F
252,Satyajit Ghosh,2012,M
253,Areerat Kichkha,2012,F
254,Carsten Lange,2012,M
255,Fahlino Sjuib,2012,M
256,Refet S Gurkaynak,2012,M
257,Archawa Paweenawat,2012,M
258,Amiyatosh K. Purnanandam,2012,M
259,Fenghua Song,2012,M
260,Thi Minh-Phuong Ngo,2012,F
261,Seiro Ito,2012,M
262,J. Barkley Rosser,2012,M
263,Menzie Chinn,2012,M
264,Rodney J. Garratt,2012,M
265,Benamar Abdelhak,2012,M
266,Kaustav Misra,2012,M
267,Tin-Chun Lin,2012,M
268,LaVaughn M. Henry,2012,M
269,V. Kerry Smith,2012,M
270,Yangbo Du,2012,M
271,Cuong Nguyen,2012,
272,Tatsuyoshi Matsumae,2012,M
273,Ryoichi Namba,2012,M
274,Yulei Luo,2012,M
275,Jorg Rocholl,2012,M
276,Neeltje van Horen,2012,F
277,Renata Heilman,2012,F
278,Konan Chan,2012,M
279,Qinghai Wang,2012,M
280,Denitsa Stefanova,2012,F
281,Jiro Yoshida,2012,M
282,Marieme Lo,2012,F
283,Junghyung Park,2012,F
284,Mariassunta Giannetti,2012,F
285,Hyun-Sook Kim,2012,F
286,Pengjie Gao,2012,M
287,Jiekun Huang,2012,M
288,Helge Peukert,2012,M
289,Diana L. Strassmann,2012,F
290,Svenn Jensen,2012,M
291,Muhamet Yildiz,2012,M
292,Lieu Hazelwood,2012,
293,U. Udo Umoh,2012,
294,Rongning Wu,2012,M
295,Rocardo Correa,2012,M
296,Fenella Carpena,2012,F
297,Se-Jik Kim,2012,M
298,Arnildo Correa,2012,M
299,Tugkan Tuzun,2012,M
300,Josheph Gyourko,2012,M
301,WenLan Qian,2012,F
302,Ciriyam Jayaprakash,2012,M
303,Xiangping Liu,2012,
