"","author","year","gender"
"55","Robynn Cox",2011,"F"
"56","Ragan Petrie",2011,"F"
"57","Sohini Paul",2011,"F"
"58","Ott Toomet",2011,"M"
"59","Arnstein Mykletun",2011,"M"
"60","Jean-Sebastien Michel",2011,"M"
"61","Dogan Tirtiroglu",2011,"M"
"62","Harjeet Bhabra",2011,"M"
"63","Evsen Turkay",2012,"F"
"64","Firouz Gahvari",2012,"M"
"65","Pohan Fong",2012,"M"
"66","Ruy Lama",2012,"M"
"67","Temel Taskin",2012,"M"
"68","I. J. Alexander Dyck",2012,"M"
"69","Giullaume Hollard",2012,"M"
"70","Péter Kondor",2012,"M"
"71","Lixin Colin Xu",2012,"M"
"72","Tilman Borgers",2012,"M"
"73","Gurdip S. Bakshi",2012,"M"
"74","Jiaping Qiu",2012,"M"
"75","T. Mandy Tham",2012,"F"
"76","Krishnamurthy Iyer",2012,"M"
"77","Xuguang (Simon) Sheng",2012,"M"
"78","Biswo Poudel",2012,"M"
"79","Charles-Olivier Amedee--Manesme",2012,"M"
"80","Yin-Wong Cheung",2012,"M"
"81","Maxim Mironov",2012,"M"
"82","Xudong An",2012,"M"
"83","P. Sai-wing Ho",2012,"M"
"84","Jose Luis Moraga-Gonzalez",2012,"M"
"85","Babur I. De los Santos",2012,"M"
"86","Fenaba Addo",2012,"F"
"87","Garett Jones",2012,"M"
"88","Jaap Weel",2012,"M"
"89","Jan-Marc Berk",2012,"M"
"90","Hedibert F. Lopez",2012,"M"
"91","Zhaoxia Xu",2012,"F"
"92","Yongheng Deng",2012,"M"
"93","Enno Mammen",2012,"M"
"94","Rudiger Bachmann",2012,"M"
"95","Zhiwei Xu",2012,"M"
"96","Maharouf Oyolola",2012,"M"
"97","Youchang Wu",2012,"M"
"98","Nigar Hashimzade",2012,"F"
"99","Parantap Basu",2012,"M"
"100","Tzu-Ying Daphne Chen",2012,"M"
"101","Yulei He",2012,"M"
"102","Yoosoon Chang",2012,"F"
"103","Ithak Harpaz",2012,"M"
"104","Seung-Gyu Sim",2012,"M"
"105","M. Tugrul Vehbi",2012,"M"
"106","Marieta Velikova",2012,"F"
"107","Norihiko Yamano",2012,"M"
"108","Radhakrishnan Gopalan",2012,"M"
"109","Rukmani Gounder",2012,"F"
"110","Rajshri Jayaraman",2012,"F"
"111","Kivilcim M. Ozcan",2012,"F"
"112","Aysegul Dinccag",2012,"F"
"113","M. Hakan Berument",2012,"M"
"114","Javaeria Qureshi",2012,"F"
"115","Kyungmin Kim",2012,"M"
"116","Pierre-Andre Chiappori",2012,"M"
"117","Evridiki Tsounta",2012,"F"
"118","M. Belen Sbrancia",2012,"F"
"119","S. Ali Abbas",2012,"M"
"120","Jörg Rocholl",2012,"M"
"121","Nilopa Shah",2012,"F"
"122","Kieu Trang Nguyen",2012,"F"
"123","Xiangmin (Helen) Liu",2012,"F"
"124","Nicolas Schutz",2013,"M"
"125","Patten Mahler",2013,"M"
"126","Andrés Romeu",2013,"M"
"127","Hanzhe Zhang",2013,"M"
"128","Hanwei Huang",2013,"M"
"129","Chun-Yu Ho",2013,"M"
"130","Suhua Tian",2013,"F"
"131","Danièle Meulders",2013,"F"
"132","Zhichun Jenny Ying",2013,"F"
"133","Tomas Dvorak",2013,"M"
"134","Lujing Su",2013,"F"
"135","Iciar Dominguez Lacasa",2013,"F"
"136","Ji-Liang Shiu",2013,"M"
"137","Hildegunn Kyvik Nordas",2013,"F"
"138","Jose Cordero",2013,"M"
"139","Guangzhong Li",2013,"M"
"140","Yangru Wu",2013,"M"
"141","Kaustav Misra",2013,"M"
"142","Mywish Maredia",2013,"F"
"143","Adrian Stoian",2013,"M"
"144","Alois Stutzer",2013,"M"
"145","Orsetta Causa",2013,"F"
"146","Oguzhan Ozbas",2013,"M"
"147","Bjorn Eraker",2013,"M"
"148","Ainhoa Aparicio Fenoll",2013,"F"
"149","Aureo de Paula",2013,"M"
"150","Lígia Pinto",2013,"F"
"151","Patricia Ruggles",2013,"F"
"152","Sjoerd van Bekkum",2013,"M"
"153","Leonce Bargeron",2013,"M"
"154","Malherbe Frederic",2013,"M"
"155","Migiwa Tanaka",2013,"F"
"156","Aysit Tansel",2013,"F"
"157","Nicolás M. Depetris Chauvin",2013,"M"
"158","Ivan P. Png",2013,"M"
"159","Xingliang Ma",2013,"M"
"160","Guanming Shi",2013,"F"
"161","Iftekhar Hasan",2013,"M"
"162","Western Michigan University",2013,"??"
"163","Loriano Mancini",2013,"M"
"164","Eiichiro Kazumori",2013,"M"
"165","Yixiao Sun",2013,"M"
"166","Wooyoung Lim",2013,"M"
"167","Malokele Nanivazo",2013,"F"
"168","Leonce Ndikumana",2013,"M"
"169","Jooyeoun Suh",2013,"F"
"170","Ruiqing Miao",2013,"M"
"171","Aubhik Khan",2013,"M"
"172","Bilgehan Karabay",2013,"M"
"173","University of Dubai",2013,"??"
"174","Patricia Justino",2013,"F"
"175","Sung-Jin Cho",2013,"M"
"176","Luis Brandao Marques",2013,"M"
"177","Ines Drumond",2013,"F"
"178","Donghoon Lee",2013,"M"
"179","Vikramaditya Khanna",2013,"M"
"180","E. Kim",2013,"M"
"181","Linke Zhu",2013,"M"
"182","Thouraya Triki",2013,"F"
"183","Kosali I. Simon",2013,"F"
"184","Jose-Maria Fernandez",2013,"M"
"185","Espen Moen",2013,"M"
"186","Beia Spiller",2013,"F"
"187","Damba Lkhagvasuren",2013,"M"
"188","Julia I. Lane",2013,"F"
"189","Viridiana Garcia",2013,"F"
"190","Tomas Rodriguez Barraquer",2014,"M"
"191","Sohnke m Bartram",2014,"M"
"192","Dakshina G. De Silva",2014,"M"
"193","Simon Gervais",2014,"M"
"194","Baolian Wang",2014,"M"
"195","Jerry Tsai",2014,"M"
"196","Jean-Sebastien Fontaine",2014,"M"
"197","Avanidhar Subrahmanyam",2014,"M"
"198","Jun-Ji Shih",2014,"M"
"199","H. Holly Wang",2014,"F"
"200","Xiaobing Feng",2014,"F"
"201","Beom Jun Kim",2014,"M"
"202","M. Udara Peiris",2014,"M"
"203","Vilsa Curto",2014,"F"
"204","T.C.C. Lai",2014,"M"
"205","C. McInnis-Bowers",2014,"F"
"206","Jong-Ho Kim",2014,"M"
"207","YinWong Cheung",2014,"M"
"208","Kyungmin Kim",2014,"M"
"209","University of Hull",2014,"??"
"210","Sushanta K. Mallick",2014,"M"
"211","Madanmohan Ghosh",2014,"M"
"212","Baozhong Yang",2014,"M"
"213","Jafar M. Olimov",2014,"M"
"214","Haichao Fan",2014,"M"
"215","Alpay Filiztekin",2014,"M"
"216","Nooman Rebei",2014,"M"
"217","Xuguang Sheng",2014,"M"
"218","Andres Fernandez",2014,"M"
"219","Yahong Zhang",2014,"F"
"220","Jee-Yeon K. Lehmann",2014,"F"
"221","Merih Sevilir",2014,"F"
"222","Shihe Fu",2014,"M"
"223","Yiseon Yoo",2014,"F"
"224","Jungwon Yeo",2014,"F"
"225","Ivan Jaccard",2014,"M"
"226","Thouraya Triki",2014,"F"
"227","Kerk Phillips",2014,"M"
"228","J Tyler Leverty",2014,"M"
"229","Raimond Maurer",2014,"M"
"230","H. E. Frech, III",2014,"M"
"231","Cesar Calderon",2014,"M"
"232","Yoonseok Choi",2014,"M"
"233","Ines Zapf",2014,"F"
"234","Pim Heijnen",2014,"M"
"235","V.A.C. van den Berg",2014,"M"
"236","Yeon-Koo Che",2014,"M"
"237","Rajashri Chakrabarti",2014,"F"
"238","Björn Tyrefors-Hinnerich",2014,"M"
"239","Zacharias Sautner",2014,"M"
"240","Min-Dong Paul Lee",2014,"M"
"241","J. Michael McWilliams",2014,"M"
"242","Tin-Chun Lin",2014,"M"
"243","Esben Schultz",2014,"M"
"244","S. Brock Blomberg",2014,"M"
"245","Shushanik Hakobyan",2014,"M"
"246","J. Mulherin",2014,"M"
"247","Jesus Hernandez",2014,"M"
"248","Stephan Nuesch",2014,"M"
"249","Samuli Knüpfer",2014,"M"
"250","Vanitha Raguratham",2014,"F"
"251","Françoise Carré",2014,"F"
"252","Asuman Ozdaglar",2014,"F"
"253","B. Kelsey Jack",2014,"F"
"254","Zongwu Cai",2014,"M"
"255","Andres Erosa",2014,"M"
"256","Håkan Selin",2014,"M"
"257","Hong Ru",2014,"M"
"258","Hongyu Liu",2014,"M"
"259","Joao Carlos Macieira",2014,"M"
"260","Anqi Li",2014,"F"
"261","Josse-Luis Peydro",2015,"M"
"262","Helene Bourguignon",2015,"F"
"263","Chunhua Lan",2015,"F"
"264","Zacharias Sautner",2015,"M"
"265","Meijun Qian",2015,"F"
"266","Jianqing Ruan",2015,"M"
"267","Yaping Wang",2015,"M"
"268","Hyungsik Roger Moon",2015,"M"
"269","Maigeng Zhou",2015,"M"
"270","B. Kelsey Jack",2015,"F"
"271","Joseba Martinez",2015,"F"
"272","Minwen Li",2015,"F"
"273","Sangho Yi",2015,"M"
"274","Pavol Povala",2015,"M"
"275","Miguel A. Melendez-Jimenez",2015,"M"
"276","Bichaka Fayissa",2015,"M"
"277","Guohua Feng",2015,"M"
"278","Amitrajeet A. Batabyal",2015,"M"
"279","University of Hull",2015,"??"
"280","Orley Ashenfelter",2015,"M"
"281","Graton M. Gathright",2015,"M"
"282","Pratish Patel",2015,"M"
"283","Md. Nazmul Ahsan",2015,"M"
"284","Wolfram Elsner",2015,"M"
"285","Yinghua He",2015,"M"
"286","Yaohui Zhao",2015,"F"
"287","Willemien Kets",2015,"F"
"288","Jerry Hionis",2015,"M"
"289","Yiping Huang",2015,"M"
"290","Jinwen Xu",2015,"F"
"291","Simon Wiederhold",2015,"M"
"292","Tsui-Fang Lin",2015,"F"
"293","Hadiye Aslan",2015,"F"
"294","María Teresa Martínez-García",2015,"F"
"295","Luosha Du",2015,"F"
"296","Xinshen Diao",2015,"F"
"297","Jose Ursua",2015,"M"
"298","Li-an Zhou",2015,"M"
"299","Shilin Zheng",2015,"M"
"300","Shrabani Saha",2015,"F"
"301","Tat-kei Lai",2015,"M"
"302","Mizuki Komura",2015,"F"
"303","J. Y. Suchitra",2015,"F"
"304","Jooyeon Son",2015,"F"
"305","Areerat Kichkha",2015,"F"
"306","Diana Knyazeva",2015,"F"
"307","Jeno Pal",2015,"M"
"308","African Development Bank",2015,"??"
"309","Faical Akaichi",2015,"M"
"310","Guangliang Le",2015,"M"
"311","Antung A. Liu",2015,"M"
"312","W. David Bradford",2015,"M"
"313","Afrasiab Mirzayand",2015,"M"
"314","Raul Caruso",2015,"M"
"315","Jose L. Fillat",2015,"M"
"316","Shou Yang",2015,"M"
"317","Woei-Chyuan Wong",2015,"M"
"318","Fuhito Kojima",2015,"M"
"319","Ciamac Maoallemi",2015,"M"
"320","Chunyu Yang",2015,"M"
"321","Hanjiang Zhang",2015,"F"
"322","Sohnke Bartram",2015,"M"
"323","Diana Hancock",2015,"F"
"324","Climent Quintana-Domeque",2015,"M"
"325","Chardin Wese Simen",2015,"M"
"326","Drik Devos",2015,"M"
"327","Shofiqur Rahman",2015,"M"
"328","Panu Kalmi",2015,"M"
"329","Polona Domadenik",2015,"F"
"330","Janez Prašnikar",2015,"M"
"331","Marnix Amand",2015,"M"
"332","Zhenjiang Qin",2016,"M"
"333","Xiongchuan Lai",2016,"M"
"334","Ayhab Saad",2016,"M"
"335","Sahoko Kaji",2016,"F"
"336","Chunying Xie",2016,"F"
"337","Johanna Mollerstrom",2016,"F"
"338","Qianqian Yu",2016,"F"
"339","Yongqiang Chu",2016,"M"
"340","Boqian Jiang",2016,"M"
"341","M. Kate Bundorf",2016,"F"
"342","Maik Schmeling",2016,"M"
"343","Sohnke M. Bartram",2016,"M"
"344","Péter Harasztosi",2016,"M"
"345","Deming Luo",2016,"M"
"346","Yunfa Zhu",2016,"M"
"347","Binay Adhikari",2016,"M"
"348","Hanjiang Zhang",2016,"F"
"349","Been-Lon Chen",2016,"M"
"350","Arunish Chawla",2016,"M"
"351","Jose Maria Barrero",2016,"M"
"352","Kalena Cortes",2016,"F"
"353","Özgür Orhangazi",2016,"M"
"354","Mahelet G. Fikru",2016,"F"
"355","Miguel Delgado Helleseter",2016,"M"
"356","Kailing Shen",2016,"F"
"357","Dilyana Dimova",2016,"F"
"358","Berhanu Nega",2016,"M"
"359","Fuhito Kojima",2016,"M"
"360","Thorsteinn Thorgeirsson",2016,"M"
"361","Núria Rodríguez-Planas",2016,"F"
"362","Bingbing Dong",2016,"M"
"363","Lixin Colin Xu",2016,"M"
"364","Shaomeng Jia",2016,"M"
"365","Shu-Heng Chen",2016,"M"
"366","University of Hull Business School",2016,"??"
"367","Benkler Yochai",2016,"M"
"368","Jadrian Wooten",2016,"M"
"369","Joao Pereira",2016,"M"
"370","Tuukka Saarimaa",2016,"M"
"371","Falk Brauning",2016,"M"
"372","B. Espen Eckbo",2016,"M"
"373","Nicolas Duquette",2016,"M"
"374","Sabyasachi Kar",2016,"M"
"375","Rochester Institute of Technology",2016,"??"
"376","Ozlem Bedre-Defolie",2016,"F"
"377","Francesc Rodriguez-Tous",2016,"M"
"378","Chaning Jang",2016,"M"
"379","Zhihong Yu",2016,"M"
"380","Yuqin Huang",2016,"F"
"381","Jose Fillat",2016,"M"
"382","Jarko Fidrmuc",2016,"M"
"383","Anek Belbase",2016,"M"
"384","Arunima Sinha",2016,"F"
"385","Jarl Kallberg",2016,"M"
"386","Henriëtte Prast",2016,"F"
"387","Sanjukta Chaudhuri",2016,"F"
"388","Jiti Gao",2016,"M"
"389","Diana Bonfim",2016,"F"
"390","Theophile T. Azomahou",2016,"M"
"391","Shih-Fen Cheng",2016,"M"
"392","Jean-Edouard Colliard",2016,"M"
"393","Thummim Cho",2016,"M"
"394","Hyun-Soo Choi",2016,"M"
"395","Dewan Mostafizur Rahman",2018,"M"
"396","Qianqian Huang",2018,"F"
"397","S.Lakshmi Naaraayanan",2018,"M"
"398","Simon Straumann",2018,"M"
"399","Ingomar Krohn",2018,"M"
"400","Simanti Banerjee",2018,"F"
"401","Xiliang Zhang",2018,"M"
"402","Sudhindra Sharma",2018,"M"
"403","Jean-Edouard Colliard",2018,"M"
"404","Xiangyu Guo",2018,"M"
"405","Raimond Maurer",2018,"M"
"406","F. Gregory Hayden",2018,"M"
"407","Rojhat B. Avsar",2018,"M"
"408","María Loreto Biehl",2018,"F"
"409","María Cortelezzi",2018,"F"
"410","Yiwu Zeng",2018,"M"
"411","Akhisa Kato",2018,"M"
"412","Zhongyan Zhu",2018,"M"
"413","Jinqi Ye",2018,"F"
"414","Tuomas Sandholm",2018,"M"
"415","Ragan Petrie",2018,"F"
"416","Po-Chun Huang",2018,"M"
"417","T.J. Rakitan",2018,"M"
"418","Johanna Bockman",2018,"F"
"419","V.V. Chari",2018,"M"
"420","Nicolas Inostroza",2018,"M"
"421","Brigham Walker",2018,"M"
"422","Kamiar Mohaddes",2018,"M"
"423","R. Vincent Pohl",2018,"M"
"424","Kosali Simon",2018,"F"
"425","Rosta Farzan",2018,"F"
"426","Simon Siegenthaler",2018,"M"
"427","Lixin Ye",2018,"M"
"428","Diana Bonfim",2018,"F"
"429","Thesia I. Garner",2018,"F"
"430","Zhun Xu",2018,"M"
"431","Tianshu Li",2018,"M"
"432","Rajshree Agarwal",2018,"F"
"433","Jarko Fidrmuc",2018,"M"
"434","Iikka Korhonen",2018,"M"
"435","Qingnan Xie",2018,"F"
"436","Hong Ma",2018,"M"
"437","Takuo Sugaya",2018,"M"
"438","Wenlan Luo",2018,"M"
"439","Haishan Yuan",2018,"M"
"440","Tumer Kapan",2018,"M"
"441","Taejin Kim",2018,"M"
"442","Wenting Ma",2018,"F"
"443","Battista Severgnini",2018,"M"
"444","Youngki Shin",2018,"M"
"445","P. Sai-wing Ho",2018,"M"
"446","Sushanta K. Mallick",2018,"M"
"447","Udichibarna Bose",2018,"F"
"448","Serafeim Tsoukas",2018,"M"
"449","T. Norman Van Cott",2018,"M"
"450","Keshar Ghimire",2018,"M"
"451","Zhangfeng Jin",2018,"M"
"452","Haizhou Huang",2018,"M"
"453","Matías Giaccobasso",2018,"M"
"454","Reshad Ahsan",2018,"M"
"455","Reshmaan Hussam",2018,"M"
"456","Jeongmin Lee",2018,"F"
"457","Petur O. Jonsson",2018,"M"
"458","Alois Stutzer",2018,"M"
"459","Chuanyi Guo",2018,"M"
"460","Huberto Ennis",2018,"M"
"461","Hongyan Li",2018,"F"
"462","Zhaohui Li",2018,"??"
"463","Chunzhou Mu",2018,"F"
"464","Alpay Filiztekin",2018,"M"
"465","Ayhab Saad",2018,"M"
"466","Imanol Arrieta Ibarra",2018,"M"
"467","Zhuang Hao",2018,"M"
"468","Trond Olsen",2018,"M"
"469","Karligash Kenjegalieva",2018,"F"
"470","Daeyong Lee",2018,"M"
"471","Choongryul Yang",2018,"M"
"472","J. Michael McWilliams",2018,"M"
"473","Sehoon Kim",2018,"M"
"474","Shusen Qi",2018,"M"
"475","Keiichi Kawai",2018,"M"
"476","Jaeseung Kim",2018,"M"
"477","Fabricius Somogyi",2019,"M"
"478","Po-Hsuan Hsu",2019,"M"
"479","Haiyan Pang",2019,"F"
"480","Talis Putnins",2019,"M"
"481","Xiaoyu Zhang",2019,"??"
"482","Brigham Walker",2019,"M"
"483","Miaojie Yu",2019,"M"
"484","Maritta Paloviita",2019,"F"
"485","Zacharias Sautner",2019,"M"
"486","Hong Zhang",2019,"M"
"487","Michalis Drouvelis",2019,"M"
"488","Litan Wang",2019,"F"
"489","Kokouvi Tewou",2019,"M"
"490","Yuhta Ishii",2019,"M"
"491","Manollis Galenianos",2019,"M"
"492","Antti Kauhanen",2019,"M"
"493","Breyon Williams",2019,"M"
"494","Dezso Szalay",2019,"M"
"495","Tomas Williams",2019,"M"
"496","Kangzhen Xie",2019,"M"
"497","José Tavares",2019,"M"
"498","Solomiya Shpak",2019,"F"
"499","W. Robert Brazelton",2019,"M"
"500","Jeongmin Lee",2019,"F"
"501","Gerel Oyun",2019,"F"
"502","Moamen Gouda",2019,"M"
"503","Nicolas Wood",2019,"M"
"504","Haigang Zhou",2019,"M"
"505","Chahir Zaki",2019,"M"
"506","Bichaka Fayissa",2019,"M"
"507","Xinyu Fan",2019,"M"
"508","Averi Chakrabarti",2019,"F"
"509","Stephan Maurer",2019,"M"
"510","Brendan Perry",2019,"M"
"511","Shaiza Qayyum",2019,"F"
"512","Jamein Cunningham",2019,"M"
"513","Hsi-Wei Wang",2019,"M"
"514","Yasutoshi Noshita",2019,"M"
"515","Dorothée Brécard",2019,"F"
"516","Botond Koszegi",2019,"M"
"517","Miguel Gouveia",2019,"M"
"518","Gertjan Verdickt",2019,"M"
"519","Cecere Grazia",2019,"M"
"520","Hideo Owan",2019,"M"
"521","Zhihong Yu",2019,"M"
"522","Khaing Zaw",2019,"F"
"523","Cortnie Shupe",2019,"F"
"524","Uttara Balakrishnan",2019,"F"
"525","Cagatay Bircan",2019,"M"
"526","Narasimhan Jegadeesh",2019,"M"
"527","Qifei Zhu",2019,"M"
"528","Jiagnze Bian",2019,"M"
"529","S Fleur W. Meddens",2019,"F"
"530","Yongjoon Park",2019,"M"
"531","Ott Toomet",2019,"M"
"532","Chun-Yu Ho",2019,"M"
"533","Fabian Amico",2019,"M"
"534","Yueming (Lucy) Qiu",2019,"F"
"535","Pompeo Della Posta",2019,"M"
"536","Yongcheol Shin",2019,"M"
"537","Awudu Abdulai",2019,"M"
"538","Tomaz Cajner",2019,"M"
"539","Xuelin Li",2019,"M"
"540","Qinghai Wang",2019,"M"
"541","Zdravka Todorova",2019,"F"
"542","Zhigang Tao",2019,"M"
"543","Louis-Philippe Morin",2019,"M"
"544","Simon Quemin",2019,"M"
"545","Chenyue Hu",2019,"F"
"546","Oguzhan Karakas",2019,"M"
"547","Vihang Errunza",2019,"M"
"548","Shuyao Yang",2019,"F"
"549","Naoka Hara",2019,"F"
"550","Nahim Zahur",2019,"M"
"551","Songfa Zhong",2019,"M"
"552","Yufeng Han",2019,"M"
"553","Yongqiang Chu",2019,"M"
"554","Xiaoqing Zhou",2019,"F"
"555","JJ Arias",2019,"M"
"556","Phanindra V. Wunnava",2019,"M"
"557","Erdogan Bakir",2019,"M"
"558","Uros Petronijevic",2019,"M"
"559","Zhenyu Gao",2019,"M"
"560","Lelys Ileana Dinarte",2019,"F"
"561","Meradee Tangvatcharapong",2019,"F"
"562","Hongjun Yan",2019,"M"
"563","Kee-Hong Bae",2019,"M"
"564","Huijun Wang",2019,"F"
"565","Yufeng Sun",2019,"M"
"566","Yingquan Song",2011,"M"
"567","Girijasankar Mallik",2011,"M"
"568","Hays Golden",2011,"M"
"569","Ishani Tewari",2011,"F"
"570","W. Kip Viscusi",2011,"M"
"571","Nlson Camanho",2011,"M"
"572","Pragyan Deb",2011,"M"
"573","Hanno N. Lustig",2011,"M"
"574","Sendhi Mullainathan",2011,"M"
"575","Stuti Khemani",2011,"F"
"576","Godsway Cudjoe",2011,"M"
"577","Iciar Dominguez Lacasa",2011,"F"
"578","R. Vijay Krishna",2011,"M"
"579","Kyungmin Kim",2011,"M"
"580","Gunseli Berik",2011,"F"
"581","Lídia Farré",2011,"F"
"582","Francesc Ortega",2011,"M"
"583","Junjian Yi",2011,"M"
"584","Narayana Kocherlakota",2011,"M"
"585","Yoshifumi Konishi",2011,"M"
"586","Danling Jiang",2011,"F"
"587","Oguzhan Ozbas",2011,"M"
"588","Zacharias Sautner",2011,"M"
"589","Ngoc-Khanh Tran",2011,"M"
"590","Yingchun Liu",2011,"F"
"591","Ruijue Peng",2011,"F"
"592","Kiat Ying Seah",2011,"F"
"593","Zackary Hawley",2011,"M"
"594","Jarl G. Kallberg",2011,"M"
"595","Luis Felipe Céspedes",2011,"M"
"596","Vinish Kathuria",2011,"M"
"597","Guoen Liu",2011,"M"
"598","Daifeng He",2011,"F"
"599","Seung-Hyun Hong",2011,"M"
"600","Cahit Guven",2011,"M"
"601","Rukmani Gounder",2011,"F"
"602","M. Majbouri",2011,"M"
"603","Inhyuck \Steve\ Ha",2011,"M"
"604","Monica Hartmann",2011,"F"
"605","Shaianne T. Osterreich",2011,"F"
"606","Thankom G. Arun",2011,"M"
"607","Atrayee Ghosh Roy",2011,"F"
"608","Zhigang Li",2011,"M"
"609","Le Wang",2011,"M"
"610","Faustine Perrin",2011,"F"
"611","Xinya Zhang",2011,"F"
"612","Derekh Cornwell",2011,"M"
"613","Yew-Kwang Ng",2011,"M"
"614","Yunwei Gai",2011,"M"
"615","T. Aldrich Finegan",2011,"M"
"616","L. Randall Wray",2011,"M"
"617","Kosali Simon",2011,"F"
"618","Xiao-yuan Dong",2011,"F"
"619","Nidhiya Menon",2011,"M"
"620","Ranjula Bali Swain",2011,"F"
"621","Jouchi Nakajima",2011,"M"
"622","Stefie Schurer",2011,"F"
"623","Miguel Martinez Lucio",2011,"M"
"624","J. David Brown",2011,"M"
"625","Jörg Mayer",2011,"M"
"626","Ulf Rinne",2011,"M"
"627","Belton Fleisher",2011,"M"
"628","Suqin Ge",2011,"F"
"629","Kellin Chandler Stanfield",2011,"M"
"630","Yu-Wei Hsieh",2011,"M"
"631","M. Urquiola",2011,"M"
"632","Victor Rios Rull",2011,"M"
"633","Donggyu Sul",2011,"M"
"634","Orley Ashenfelter",2011,"M"
"635","Julia Cage",2011,"F"
"636","Renata Kosova",2011,"F"
"637","Jose Fernandez",2011,"M"
"638","Jialin Yu",2011,"M"
"639","G. Mujtaba Mian",2011,"M"
"640","Jooyeoun Suh",2011,"F"
"641","Keshab Bhattarai",2011,"M"
"642","Mathijs Cosemans",2011,"M"
"643","Xiaoxia Shi",2011,"F"
"644","Kyoungwon Seo",2011,"M"
"645","Xiangmin (Helen) Liu",2011,"F"
"646","Semoon Chang",2011,"M"
"647","Léonce Ndikumana",2011,"M"
"648","Ta-Chen Wang",2011,"M"
"649","Johanna Francis",2011,"F"
"650","Yongzheng Liu",2011,"M"
"651","Leonard Waverman",2011,"M"
"652","Mariassunta Giannetti",2011,"F"
"653","Gharad Bryan",2011,"M"
"654","Kalena E. Cortes",2011,"F"
"655","Iuliana Pascu",2011,"F"
"656","Adlar J. Kim",2011,"M"
"657","Narasimhan Jegadeesh",2011,"M"
"658","Jorg Rocholl",2011,"M"
"659","Xiaozu Wang",2011,"M"
"660","W. Robert Brazelton",2011,"M"
"661","Myeong-Su Yun",2011,"M"
"662","Saibal Kar",2011,"M"
"663","Xiaoshu Xu",2011,"F"
"664","Lixin Ye",2011,"M"
"665","Stephan Lauermann",2011,"M"
"666","Jaap H. Abbring",2011,"M"
"667","Bartholomew Moore",2011,"M"
"668","Jose Signoret",2011,"M"
"669","Ivan Ariel de Jesus",2011,"M"
"670","Simon Gervais",2011,"M"
"671","Ayca Ozdogan",2011,"F"
"672","Nisvan Erkal",2011,"F"
"673","Ayelen Banegas",2011,"F"
"674","Matias Braun",2011,"M"
"675","Debraj Ray",2011,"M"
"676","Jin-Huei Yeh",2011,"M"
"677","Ruey S. Tsay",2011,"M"
"678","Radhakrishnan Gopalan",2011,"M"
"679","Kazuto Sumita",2011,"M"
"680","M. Shahid Ebrahim",2011,"M"
"681","Hartmut Lehmann",2011,"M"
"682","Anne-Gael Vaubourg",2011,"F"
"683","J. Scott Holladay",2011,"M"
"684","Hsien-Ming Lien",2011,"M"
"685","Heski Bar-Isaac",2011,"M"
"686","Viegi Nicola",2011,"M"
"687","F. Andrew Hanssen",2011,"M"
"688","Hwan-sik Choi",2011,"M"
"689","Lorens Helmchen",2011,"M"
"690","N. Meltem Daysal",2011,"F"
"691","Chander K Velu",2011,"M"
"692","Jose Anchorena",2011,"M"
"693","Hong Liu",2011,"M"
"694","Jose Fillat",2011,"M"
"695","Sheharyar Bokhari",2011,"M"
